Fecha,2015,2016,2017,2018,2019,2020,2021,2022,INE2018
2020-03-05,1257.41,1256.82,1116.8,1331.35,1305.05,1256.38,1228.1,1207.19,1172
2020-03-06,1336.74,1181.2,1134.88,1385.63,1318.68,1253.32,1222.1,1236.1,1172
2020-03-07,1306.65,1269.44,1256.02,1340.69,1275,1225.73,1132.33,1181.18,1172
2020-03-08,1264.91,1252.28,1221.33,1340.59,1197.26,1198.85,1187.71,1208.3,1172
2020-03-09,1334.39,1264.91,1225.84,1353.65,1201.01,1174.61,1261.57,1235.44,1172
2020-03-10,1313.65,1221.43,1221.39,1320.13,1159.59,1290.11,1173.44,1286.44,1172
2020-03-11,1327.81,1264,1144.53,1289.2,1214.52,1366.18,1222.44,1270.26,1172
2020-03-12,1297.63,1305.89,1140.3,1298.85,1268.37,1360.48,1241.25,1249.4,1172
2020-03-13,1307.51,1241.05,1099.65,1348.12,1197.08,1475.28,1247.49,1139.76,1172
2020-03-14,1276.95,1212.6,1216.82,1324.56,1146.54,1457.56,1075.8,1170.58,1172
2020-03-15,1088.13,1304.11,1115.96,1327.83,1202.87,1471.34,1227.92,1296.95,1172
2020-03-16,1215.8,1282.04,1104.51,1290.83,1241.49,1508.73,1209.8,1290.36,1172
2020-03-17,1203.71,1307.61,1216.18,1273.06,1093.52,1606.7,1181.25,1226.76,1172
2020-03-18,1260.6,1381.76,1155.72,1135.76,1152.87,1695.2,1197.99,1297.84,1172
2020-03-19,1215.98,1279.99,1114.83,1139.41,1206.51,1815.39,1173.52,1173.8,1172
2020-03-20,1251.97,1253.03,1194.52,1254.01,1176.46,2055.11,1130.52,1146.38,1172
2020-03-21,1165.59,1180.06,1180.84,1315.5,1212.36,2167.15,1093.57,1168.33,1172
2020-03-22,1170.83,1224.22,1201.39,1265.62,1185.28,2207.87,1140.16,1213.89,1172
2020-03-23,1211.55,1303.66,1130.5,1289.69,1114.04,2512.22,1203.7,1318.24,1172
2020-03-24,1226.96,1202.01,1153.59,1302.75,1141.15,2760.82,1208.85,1221.81,1172
2020-03-25,1222.86,1202.18,1103.1,1189.97,1138.63,2889.92,1248.19,1330.68,1172
2020-03-26,1186.17,1175.87,1063,1265.09,1241.67,2832.69,1278.89,1246.04,1172
2020-03-27,1255.12,1103.66,1105.75,1285.18,1190.39,3076.99,1157.13,1104.62,1172
2020-03-28,1287.79,1148.09,1200.25,1307.19,1223.32,3040.27,1093.08,1127.72,1172
2020-03-29,1123.3,1198.64,1186.51,1290.27,1199.65,2884.11,1174.45,1298.31,1172
2020-03-30,1258.26,1275.87,1107.69,1261.98,1224.14,3025.16,1244.6,1284.12,1172
2020-03-31,1305.82,1254.18,1174,1131.44,1118.82,3209.51,1264.48,1249.08,1172
2020-04-01,1270.71,1226.64,1168.9,1183.13,1205.58,3144.39,1189.19,1241.2,1172
2020-04-02,1140.67,1227.37,1055.55,1225.31,1157.6,2986.47,1166.67,1221.92,1172
2020-04-03,1155.24,1198.75,1110.23,1218.76,1228.1,2968.11,1193.53,1144.87,1172
2020-04-04,1112.33,1227.52,1147.05,1254.57,1171.86,2669.06,1066.53,1180.58,1172
2020-04-05,1164.65,1205.03,1117.7,1281.47,1212.73,2737.98,1214.12,1262.75,1172
2020-04-06,1145.35,1169.84,1203.05,1241.63,1245.31,2653.76,1192.5,1214.89,1172
2020-04-07,1128.61,1160.03,1104.23,1244.58,1078.45,2739.42,1228.47,1335.65,1172
2020-04-08,1128.58,1154.34,1150.73,1139.49,1169.33,2603.01,1129.82,1315.56,1172
2020-04-09,1209,1095.94,1082.61,1166.87,1111.45,2393.89,1233.41,1252.33,1172
2020-04-10,1159.87,1110.19,1143.66,1241.65,1226.69,2350.68,1168.42,1206.51,1172
2020-04-11,1198.84,1186.88,1216.89,1218.87,1175.16,2230.95,1054.57,1324.77,1172
2020-04-12,1041.6,1145.13,1202.53,1274.08,1204.06,2124.69,1165.51,1283.11,1172
2020-04-13,1119.97,1175.26,1088.02,1233.81,1172.55,2092.36,1097.18,1340.7,1172
2020-04-14,1131.1,1186.18,1117.87,1206.45,1132.49,2052.52,1210.34,1256.19,1172
2020-04-15,1196.44,1196.09,1058.28,1155.56,1219.56,1961.04,1189.19,1188.19,1172
2020-04-16,1185.36,1127.15,1078.55,1124.5,1204.25,1835.24,1198.56,1181.16,1172
2020-04-17,1168.53,1000.19,1060.13,1240.77,1155.67,1880.77,1124.54,1186.53,1172
2020-04-18,1160.89,1139.06,1107.16,1168.4,1197.37,1775.42,1079.2,1215.51,1172
