nacional,NA,NA,NA,all,todos,all,todos,2018-04-19,1220
nacional,NA,NA,NA,all,todos,all,todos,2018-04-20,1087
nacional,NA,NA,NA,all,todos,all,todos,2018-04-21,1033
nacional,NA,NA,NA,all,todos,all,todos,2018-04-22,1049
nacional,NA,NA,NA,all,todos,all,todos,2018-04-23,1023
nacional,NA,NA,NA,all,todos,all,todos,2018-04-24,1039
nacional,NA,NA,NA,all,todos,all,todos,2018-04-25,1107
nacional,NA,NA,NA,all,todos,all,todos,2018-04-26,1065
nacional,NA,NA,NA,all,todos,all,todos,2018-04-27,1135
nacional,NA,NA,NA,all,todos,all,todos,2018-04-28,1036
nacional,NA,NA,NA,all,todos,all,todos,2018-04-29,933
nacional,NA,NA,NA,all,todos,all,todos,2018-04-30,943
nacional,NA,NA,NA,all,todos,all,todos,2018-05-01,1010
nacional,NA,NA,NA,all,todos,all,todos,2018-05-02,940
nacional,NA,NA,NA,all,todos,all,todos,2018-05-03,1049
nacional,NA,NA,NA,all,todos,all,todos,2018-05-04,989
nacional,NA,NA,NA,all,todos,all,todos,2018-05-05,1035
nacional,NA,NA,NA,all,todos,all,todos,2018-05-06,997
nacional,NA,NA,NA,all,todos,all,todos,2018-05-07,1055
nacional,NA,NA,NA,all,todos,all,todos,2018-05-08,1115
nacional,NA,NA,NA,all,todos,all,todos,2018-05-09,1007
nacional,NA,NA,NA,all,todos,all,todos,2018-05-10,1077
nacional,NA,NA,NA,all,todos,all,todos,2018-05-11,1043
nacional,NA,NA,NA,all,todos,all,todos,2018-05-12,1014
nacional,NA,NA,NA,all,todos,all,todos,2018-05-13,934
nacional,NA,NA,NA,all,todos,all,todos,2018-05-14,1003
nacional,NA,NA,NA,all,todos,all,todos,2018-05-15,1000
nacional,NA,NA,NA,all,todos,all,todos,2018-05-16,1033
nacional,NA,NA,NA,all,todos,all,todos,2018-05-17,1046
nacional,NA,NA,NA,all,todos,all,todos,2018-05-18,1048
nacional,NA,NA,NA,all,todos,all,todos,2018-05-19,1042
nacional,NA,NA,NA,all,todos,all,todos,2018-05-20,968
nacional,NA,NA,NA,all,todos,all,todos,2018-05-21,989
nacional,NA,NA,NA,all,todos,all,todos,2018-05-22,999
nacional,NA,NA,NA,all,todos,all,todos,2018-05-23,1070
nacional,NA,NA,NA,all,todos,all,todos,2018-05-24,1079
nacional,NA,NA,NA,all,todos,all,todos,2018-05-25,1044
nacional,NA,NA,NA,all,todos,all,todos,2018-05-26,1020
nacional,NA,NA,NA,all,todos,all,todos,2018-05-27,932
nacional,NA,NA,NA,all,todos,all,todos,2018-05-28,1011
nacional,NA,NA,NA,all,todos,all,todos,2018-05-29,995
nacional,NA,NA,NA,all,todos,all,todos,2018-05-30,1012
nacional,NA,NA,NA,all,todos,all,todos,2018-05-31,991
nacional,NA,NA,NA,all,todos,all,todos,2018-06-01,1060
nacional,NA,NA,NA,all,todos,all,todos,2018-06-02,939
nacional,NA,NA,NA,all,todos,all,todos,2018-06-03,943
nacional,NA,NA,NA,all,todos,all,todos,2018-06-04,899
nacional,NA,NA,NA,all,todos,all,todos,2018-06-05,1030
nacional,NA,NA,NA,all,todos,all,todos,2018-06-06,953
nacional,NA,NA,NA,all,todos,all,todos,2018-06-07,987
nacional,NA,NA,NA,all,todos,all,todos,2018-06-08,975
nacional,NA,NA,NA,all,todos,all,todos,2018-06-09,1036
nacional,NA,NA,NA,all,todos,all,todos,2018-06-10,892
nacional,NA,NA,NA,all,todos,all,todos,2018-06-11,969
nacional,NA,NA,NA,all,todos,all,todos,2018-06-12,944
nacional,NA,NA,NA,all,todos,all,todos,2018-06-13,1006
nacional,NA,NA,NA,all,todos,all,todos,2018-06-14,975
nacional,NA,NA,NA,all,todos,all,todos,2018-06-15,1054
nacional,NA,NA,NA,all,todos,all,todos,2018-06-16,965
nacional,NA,NA,NA,all,todos,all,todos,2018-06-17,916
nacional,NA,NA,NA,all,todos,all,todos,2018-06-18,999
nacional,NA,NA,NA,all,todos,all,todos,2018-06-19,1036
nacional,NA,NA,NA,all,todos,all,todos,2018-06-20,1026
nacional,NA,NA,NA,all,todos,all,todos,2018-06-21,1104
nacional,NA,NA,NA,all,todos,all,todos,2018-06-22,1042
nacional,NA,NA,NA,all,todos,all,todos,2018-06-23,1038
nacional,NA,NA,NA,all,todos,all,todos,2018-06-24,1047
nacional,NA,NA,NA,all,todos,all,todos,2018-06-25,1040
nacional,NA,NA,NA,all,todos,all,todos,2018-06-26,1080
nacional,NA,NA,NA,all,todos,all,todos,2018-06-27,1059
nacional,NA,NA,NA,all,todos,all,todos,2018-06-28,1053
nacional,NA,NA,NA,all,todos,all,todos,2018-06-29,1088
nacional,NA,NA,NA,all,todos,all,todos,2018-06-30,987
nacional,NA,NA,NA,all,todos,all,todos,2018-07-01,958
nacional,NA,NA,NA,all,todos,all,todos,2018-07-02,963
nacional,NA,NA,NA,all,todos,all,todos,2018-07-03,1009
nacional,NA,NA,NA,all,todos,all,todos,2018-07-04,971
nacional,NA,NA,NA,all,todos,all,todos,2018-07-05,1015
nacional,NA,NA,NA,all,todos,all,todos,2018-07-06,1028
nacional,NA,NA,NA,all,todos,all,todos,2018-07-07,953
nacional,NA,NA,NA,all,todos,all,todos,2018-07-08,1013
nacional,NA,NA,NA,all,todos,all,todos,2018-07-09,964
nacional,NA,NA,NA,all,todos,all,todos,2018-07-10,1082
nacional,NA,NA,NA,all,todos,all,todos,2018-07-11,1033
nacional,NA,NA,NA,all,todos,all,todos,2018-07-12,1017
