Fecha,2013-02-22,2013-03-25,2013-04-25,2013-06-11,2013-09-11,2013-09-26,2013-11-04,2014-02-10,2014-02-20,2014-03-20,2014-05-05,2014-05-21,2014-07-01,2014-07-21,2014-09-26,2014-11-28,2015-01-14,2015-01-27,2015-03-25,2015-04-24,2015-05-22,2015-06-24,2015-07-30,2015-09-21,2015-10-22,2015-11-24,2015-12-16,2016-01-25,2016-02-26,2016-04-16,2016-05-26,2016-06-26,2016-08-10,2016-09-23,2016-11-18,2017-01-18,2017-03-03,2017-05-10,2017-06-30,2017-09-01,2017-11-02,2017-11-27,2017-12-14,2017-12-20,2018-01-22,2018-02-28,2018-04-12,2018-05-11,2018-06-19,2018-08-01,2018-08-16,2018-09-28,2018-10-18,2018-11-21,2018-12-20,2019-01-18,2019-02-25,2019-03-25,2019-05-05,2019-05-21,2019-06-19,2019-07-26,2019-10-09,2019-11-20,2020-01-29,2020-02-19,2020-03-24,2020-04-28,2020-06-02,2020-07-29,2020-08-20,2020-09-21,2020-10-23,2020-11-20,2020-12-17,2021-01-22,2021-02-19,2021-03-23,2021-04-23,2021-05-21,2021-06-22,2021-07-21,2021-08-27,2021-09-22,2021-10-22,2021-11-18,2021-12-21,2022-01-21,2022-02-22,2022-03-18,2022-04-20,2022-05-24,2022-06-18,2022-07-20,2022-08-18,2022-09-20
1997,349506,349506,349506,349506,349506,349506,349507,349507,349507,349507,349507,349507,349507,349507,349510,349518,349518,349518,349518,349518,349518,349518,349518,349518,349527,349527,349527,349527,349527,349527,349527,349527,349527,349527,349528,349528,349528,349528,349528,349529,349529,349529,349529,349529,349529,349530,349530,349530,349530,349530,349530,349530,349530,349531,349531,349531,349531,349531,349532,349532,349532,349532,349532,349532,349532,349532,349532,349532,349532,349532,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533,349533
1998,360468,360468,360468,360468,360469,360469,360469,360471,360471,360471,360471,360471,360471,360471,360472,360472,360472,360472,360472,360472,360472,360472,360472,360472,360476,360476,360476,360476,360476,360476,360476,360476,360476,360476,360476,360476,360476,360476,360476,360476,360477,360477,360477,360477,360477,360477,360477,360477,360478,360478,360479,360479,360480,360481,360481,360481,360481,360481,360484,360484,360484,360484,360484,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485,360485
1999,371598,371598,371598,371598,371598,371598,371598,371601,371601,371601,371601,371601,371601,371601,371601,371606,371606,371606,371606,371606,371606,371606,371606,371606,371614,371614,371614,371614,371615,371615,371615,371615,371615,371615,371615,371615,371615,371615,371615,371615,371615,371615,371615,371615,371615,371616,371616,371617,371617,371617,371618,371618,371619,371619,371619,371619,371619,371619,371621,371621,371621,371621,371621,371623,371623,371623,371623,371623,371623,371623,371623,371623,371623,371623,371624,371624,371624,371624,371624,371624,371624,371624,371624,371624,371624,371624,371624,371624,371624,371624,371624,371624,371624,371624,371624,371624
2000,360344,360344,360344,360345,360345,360346,360346,360346,360346,360346,360347,360347,360347,360347,360347,360354,360354,360354,360357,360357,360357,360357,360357,360357,360360,360360,360360,360360,360360,360360,360360,360360,360360,360360,360360,360360,360360,360360,360360,360360,360360,360360,360360,360360,360360,360361,360361,360362,360362,360363,360363,360363,360363,360364,360364,360364,360364,360364,360365,360365,360366,360366,360367,360367,360367,360367,360367,360367,360367,360367,360368,360368,360368,360368,360369,360369,360369,360369,360369,360369,360369,360369,360369,360369,360369,360369,360369,360370,360370,360370,360370,360370,360370,360370,360370,360370
2001,333620,333620,333620,333620,333620,333620,333620,333622,333623,333623,333623,333624,333624,333627,333627,333627,333627,333627,333628,333629,333629,333629,333629,333629,333629,333629,333629,333629,333629,333629,333629,333629,333629,333629,333629,333629,333629,333629,333629,333630,333630,333631,333631,333631,333631,333631,333631,333632,333633,333633,333633,333633,333633,333633,333633,333633,333634,333634,333636,333636,333636,333636,333637,333640,333640,333640,333640,333640,333640,333640,333640,333640,333640,333640,333640,333640,333640,333640,333640,333640,333640,333640,333640,333641,333641,333641,333641,333641,333641,333641,333641,333641,333641,333641,333641,333642
2002,327620,327620,327621,327621,327621,327623,327623,327623,327623,327623,327623,327623,327624,327625,327628,327629,327629,327629,327630,327630,327630,327630,327630,327630,327630,327630,327630,327630,327630,327630,327630,327631,327631,327631,327631,327631,327631,327631,327632,327633,327633,327633,327633,327633,327633,327633,327633,327633,327635,327635,327635,327635,327635,327636,327636,327636,327636,327636,327638,327638,327638,327638,327638,327638,327638,327638,327638,327638,327638,327638,327639,327639,327639,327639,327639,327639,327639,327639,327639,327639,327640,327640,327640,327640,327640,327640,327640,327640,327640,327641,327641,327642,327642,327642,327642,327643
2003,384139,384139,384141,384141,384142,384143,384144,384145,384146,384146,384147,384147,384148,384152,384157,384171,384171,384171,384172,384172,384172,384172,384172,384172,384172,384172,384172,384172,384172,384173,384173,384173,384173,384173,384173,384173,384173,384173,384174,384174,384174,384174,384174,384175,384175,384175,384175,384176,384176,384176,384176,384176,384176,384177,384179,384179,384180,384180,384181,384183,384184,384184,384186,384186,384186,384186,384186,384186,384186,384186,384186,384186,384186,384186,384188,384188,384188,384188,384188,384188,384188,384188,384188,384188,384188,384188,384188,384188,384188,384188,384188,384188,384188,384188,384188,384188
2004,372523,372523,372523,372523,372523,372527,372527,372529,372529,372529,372530,372530,372530,372530,372534,372538,372539,372539,372539,372539,372539,372539,372539,372539,372540,372540,372540,372540,372540,372540,372540,372540,372541,372542,372543,372546,372546,372547,372547,372548,372548,372548,372548,372553,372553,372553,372553,372554,372554,372554,372554,372554,372554,372556,372558,372558,372561,372561,372562,372562,372562,372562,372563,372564,372564,372564,372564,372564,372564,372564,372564,372564,372564,372564,372564,372564,372564,372564,372564,372564,372564,372564,372569,372569,372569,372569,372569,372569,372569,372569,372569,372569,372569,372569,372569,372569
2005,373335,373335,373335,373336,373336,373337,373337,373340,373340,373341,373341,373341,373341,373341,373341,373342,373342,373342,373342,373342,373342,373342,373342,373342,373343,373343,373344,373344,373345,373345,373345,373345,373347,373347,373360,373361,373361,373361,373362,373363,373364,373364,373364,373366,373366,373366,373369,373370,373370,373374,373374,373374,373374,373376,373377,373377,373377,373377,373381,373381,373382,373382,373383,373386,373386,373386,373386,373387,373387,373387,373387,373387,373387,373387,373387,373387,373387,373387,373387,373387,373387,373387,373393,373393,373393,373393,373393,373393,373393,373393,373393,373393,373393,373393,373393,373393
2006,372547,372547,372548,372549,372549,372552,372552,372554,372555,372556,372556,372556,372556,372557,372558,372560,372560,372560,372561,372562,372562,372562,372562,372562,372562,372562,372562,372562,372562,372562,372562,372562,372563,372563,372593,372593,372593,372593,372594,372596,372597,372597,372597,372600,372600,372600,372600,372600,372601,372606,372607,372607,372607,372610,372612,372613,372614,372614,372616,372616,372616,372616,372619,372622,372622,372622,372623,372626,372626,372626,372626,372626,372626,372626,372626,372626,372626,372626,372626,372627,372627,372627,372634,372634,372634,372634,372636,372636,372636,372636,372636,372636,372636,372636,372636,372636
