15 Navarra, Comunidad Foral de;2020-02-27;0
16 País Vasco;2020-02-27;0
17 Rioja, La;2020-02-27;0
01 Andalucía;2020-02-28;0
02 Aragón;2020-02-28;0
03 Asturias, Principado de;2020-02-28;0
04 Balears, Illes;2020-02-28;0
05 Canarias;2020-02-28;0
06 Cantabria;2020-02-28;0
08 Castilla - La Mancha;2020-02-28;0
07 Castilla y León;2020-02-28;0
09 Cataluña;2020-02-28;0
18 Ceuta;2020-02-28;0
10 Comunitat Valenciana;2020-02-28;0
11 Extremadura;2020-02-28;0
12 Galicia;2020-02-28;0
13 Madrid, Comunidad de;2020-02-28;0
19 Melilla;2020-02-28;0
14 Murcia, Región de;2020-02-28;0
15 Navarra, Comunidad Foral de;2020-02-28;0
16 País Vasco;2020-02-28;0
17 Rioja, La;2020-02-28;0
01 Andalucía;2020-02-29;0
02 Aragón;2020-02-29;0
03 Asturias, Principado de;2020-02-29;0
04 Balears, Illes;2020-02-29;0
05 Canarias;2020-02-29;0
06 Cantabria;2020-02-29;0
08 Castilla - La Mancha;2020-02-29;0
07 Castilla y León;2020-02-29;0
09 Cataluña;2020-02-29;0
18 Ceuta;2020-02-29;0
10 Comunitat Valenciana;2020-02-29;0
11 Extremadura;2020-02-29;0
12 Galicia;2020-02-29;0
13 Madrid, Comunidad de;2020-02-29;0
19 Melilla;2020-02-29;0
14 Murcia, Región de;2020-02-29;0
15 Navarra, Comunidad Foral de;2020-02-29;0
16 País Vasco;2020-02-29;0
17 Rioja, La;2020-02-29;0
01 Andalucía;2020-03-01;0
02 Aragón;2020-03-01;0
03 Asturias, Principado de;2020-03-01;0
04 Balears, Illes;2020-03-01;0
05 Canarias;2020-03-01;0
06 Cantabria;2020-03-01;0
08 Castilla - La Mancha;2020-03-01;0
07 Castilla y León;2020-03-01;0
09 Cataluña;2020-03-01;0
18 Ceuta;2020-03-01;0
10 Comunitat Valenciana;2020-03-01;0
11 Extremadura;2020-03-01;0
12 Galicia;2020-03-01;0
13 Madrid, Comunidad de;2020-03-01;0
19 Melilla;2020-03-01;0
14 Murcia, Región de;2020-03-01;0
15 Navarra, Comunidad Foral de;2020-03-01;0
16 País Vasco;2020-03-01;0
17 Rioja, La;2020-03-01;0
01 Andalucía;2020-03-02;0
02 Aragón;2020-03-02;0
03 Asturias, Principado de;2020-03-02;0
04 Balears, Illes;2020-03-02;0
05 Canarias;2020-03-02;0
06 Cantabria;2020-03-02;0
08 Castilla - La Mancha;2020-03-02;0
07 Castilla y León;2020-03-02;0
09 Cataluña;2020-03-02;0
18 Ceuta;2020-03-02;0
10 Comunitat Valenciana;2020-03-02;0
11 Extremadura;2020-03-02;0
12 Galicia;2020-03-02;0
13 Madrid, Comunidad de;2020-03-02;0
19 Melilla;2020-03-02;0
14 Murcia, Región de;2020-03-02;0
15 Navarra, Comunidad Foral de;2020-03-02;0
16 País Vasco;2020-03-02;0
17 Rioja, La;2020-03-02;0
01 Andalucía;2020-03-03;0
02 Aragón;2020-03-03;0
03 Asturias, Principado de;2020-03-03;0
04 Balears, Illes;2020-03-03;0
05 Canarias;2020-03-03;0
06 Cantabria;2020-03-03;0
08 Castilla - La Mancha;2020-03-03;0
07 Castilla y León;2020-03-03;0
09 Cataluña;2020-03-03;0
18 Ceuta;2020-03-03;0
10 Comunitat Valenciana;2020-03-03;0
11 Extremadura;2020-03-03;0
12 Galicia;2020-03-03;0
13 Madrid, Comunidad de;2020-03-03;0
19 Melilla;2020-03-03;0
14 Murcia, Región de;2020-03-03;0
15 Navarra, Comunidad Foral de;2020-03-03;0
16 País Vasco;2020-03-03;0
17 Rioja, La;2020-03-03;0
01 Andalucía;2020-03-04;0
02 Aragón;2020-03-04;0
03 Asturias, Principado de;2020-03-04;0
04 Balears, Illes;2020-03-04;0
05 Canarias;2020-03-04;0
06 Cantabria;2020-03-04;0
08 Castilla - La Mancha;2020-03-04;0
07 Castilla y León;2020-03-04;0
09 Cataluña;2020-03-04;0
18 Ceuta;2020-03-04;0
10 Comunitat Valenciana;2020-03-04;0
11 Extremadura;2020-03-04;0
12 Galicia;2020-03-04;0
13 Madrid, Comunidad de;2020-03-04;0
19 Melilla;2020-03-04;0
14 Murcia, Región de;2020-03-04;0
15 Navarra, Comunidad Foral de;2020-03-04;0
16 País Vasco;2020-03-04;0
17 Rioja, La;2020-03-04;0
01 Andalucía;2020-03-05;0
02 Aragón;2020-03-05;0
03 Asturias, Principado de;2020-03-05;0
04 Balears, Illes;2020-03-05;0
05 Canarias;2020-03-05;0
06 Cantabria;2020-03-05;0
08 Castilla - La Mancha;2020-03-05;0
07 Castilla y León;2020-03-05;0
09 Cataluña;2020-03-05;0
18 Ceuta;2020-03-05;0
10 Comunitat Valenciana;2020-03-05;0
11 Extremadura;2020-03-05;0
12 Galicia;2020-03-05;0
13 Madrid, Comunidad de;2020-03-05;0
19 Melilla;2020-03-05;0
14 Murcia, Región de;2020-03-05;0
15 Navarra, Comunidad Foral de;2020-03-05;0
16 País Vasco;2020-03-05;0
17 Rioja, La;2020-03-05;0
01 Andalucía;2020-03-06;0
02 Aragón;2020-03-06;0
03 Asturias, Principado de;2020-03-06;0
04 Balears, Illes;2020-03-06;0
05 Canarias;2020-03-06;0
06 Cantabria;2020-03-06;0
