;zscore;nbc;pnb;excess;si;hnr;lnr;Austria;Belgium;Denmark;Estonia;Finland;France;Germany (Berlin);Germany (Hesse);Greece;Hungary;Ireland;Italy;Luxembourg;Malta;Netherlands;Norway;Portugal;Spain;Sweden;Switzerland;UK (England);UK (Northern Ireland);UK (Scotland);UK (Wales)
2018-42;-2.1;48838;49958.67;-1120.68;52123.51;51037.26;48887.78;-0.34;0.05;-1.22;-0.5;-1.27;-1.16;-1.48;0.02;0.1;0.31;0.69;-0.48;0.51;-1.22;-0.49;-0.13;-0.12;0.24;-1.88;-1.12;-2.33;-1.37;-2.29;0.03
2018-43;-2.13;49316;50462.83;-1146.84;52645.13;51550.13;49383.28;-0.54;-0.77;-0.74;0.28;-1.16;-0.95;0.33;-1.27;0.71;0.21;-0.78;-0.42;-2.19;1.21;-1.65;-2.19;0.28;-0.07;-0.32;-0.86;-2.18;-2.01;-0.41;-1.54
2018-44;0.66;51337;50973.72;363.27;53177.49;52071.72;49883.54;0.24;-1.34;0.17;-0.7;-0.68;-0.36;0.24;-1.09;0.87;0;-0.64;-0.04;0.15;-1.64;-0.25;1.26;0.64;1.78;-0.08;-0.22;0.15;-0.62;0.38;0.8
2018-45;0.63;51837;51484.02;352.97;53713.02;52594.58;50381.39;-0.86;0.51;-0.48;-2.42;-1.05;0.52;-0.07;-0.71;0.34;-0.02;1.15;-0.06;2.25;1.25;-0.74;-0.35;1.41;2.4;-1.75;-0.63;-0.3;-1.98;0.24;-0.81
2018-46;-1.6;51094;51986.21;-892.22;54243.54;53110.88;50869.6;-0.27;-0.45;-1.73;-1.55;-2.37;-0.84;-1.09;-2.09;1.32;0.14;-0.4;0.09;-1.04;0.21;-1.53;-1.18;0.69;1.75;-3.82;-1.17;-2.05;-1.39;-1.03;0.7
2018-47;-1.24;51771;52472.66;-701.67;54760.87;53612.69;51340.82;-0.89;-0.06;-0.43;-1.1;-2.8;-0.69;0.98;-0.67;1.5;0.57;-0.16;1.03;0.15;-1.1;-0.7;-2.01;0.21;1.08;-4.24;-0.66;-2.04;-1.69;-2.09;-0.23
2018-48;-0.06;52902;52935.76;-33.77;55256.4;54091.93;51787.94;-0.99;0.16;-0.62;-1.63;-1.44;-0.58;-0.08;-0.4;0.63;0.59;-0.69;0.69;-1.35;0.37;-0.36;0.27;0.7;1.13;-0.75;0.04;-0.99;-1.11;0.3;-0.25
2018-49;0.39;53598;53368.09;229.9;55721.58;54540.61;52204.11;0.64;0.9;1.4;-0.33;-1.12;-1.8;0.34;-0.21;1.35;0.8;-0.19;1.56;-1.08;0.62;0.09;0.84;0.76;0.8;-0.83;1.31;-1.28;-0.39;-0.31;-0.62
2018-50;0.22;53897;53762.6;134.39;56148.16;54951.07;52582.83;0.18;1.26;0.2;-0.2;-1.25;-1.73;-1.84;-1.08;1.6;0.99;0.57;1.23;0.36;1.29;0.33;-1.69;0.16;1.83;-2.58;0.48;-1.38;-0.81;0.46;-1.37
2018-51;2.7;55742;54112.67;1629.32;56528.24;55316.06;52918.14;0.62;1.45;2.03;-0.6;-2.1;-0.03;0.17;1.92;1.69;1.42;-0.59;1.21;0.6;-1.14;0.43;-0.19;1.32;2.17;-2.19;-0.32;-0.06;1.09;1.04;0.91
2018-52;2.87;56162;54412.38;1749.61;56855.05;55629.25;53204.53;1.13;1.12;-0.74;0.11;1.16;-0.61;-1.55;-0.73;2.17;1.51;-0.35;1.56;-0.68;3.22;-1.24;1.13;2.41;2.66;-2.08;0.14;-0.04;0.37;3.58;-1.4
2019-01;6.93;58951;54656.57;4294.42;57121.49;55884.5;53437.77;0.66;1.54;2.12;0.82;1.37;3.01;-0.2;-0.1;2.53;2.09;0.85;2.95;1.08;2.93;0.31;1.52;4.73;3.73;0.57;-0.07;0.93;1.35;1.84;0.22
2019-02;10.28;61298;54841.01;6456.98;57323.17;56077.51;53613.73;1.62;1.84;2.48;0.01;-0.66;4.52;0.03;-0.93;4.72;2.2;1.85;3.46;-0.91;1.88;2.23;0.14;7.2;7.04;-1.15;0.85;1.52;0.64;3.56;0.06
2019-03;10.12;61344;54962.5;6381.49;57455.92;56204.6;53729.69;0.24;1.22;1.81;1.74;0.3;3.9;-0.47;0.45;4.26;2.05;0.14;4.89;-0.15;4.45;1.05;-0.16;7.9;8.65;-1.1;0.24;1.38;-0.63;1.44;-0.69
2019-04;10.24;61492;55018.97;6473.02;57517.16;56263.45;53783.81;1.32;2.17;0.62;-0.59;-0.18;5.33;-0.46;0.47;3.18;2.54;2.17;4.19;0.13;3.49;1.29;0.16;8.26;7.1;-1.36;1.14;1.51;-2.26;0.66;0.17
2019-05;11.31;62163;55009.51;7153.48;57505.78;56253.03;53775.29;1.67;2.19;3.72;-0.74;-0.23;6.02;0.56;2.52;3.34;3.05;1.82;4.83;1.49;3.09;0.92;1.51;6.99;6.65;-1.4;1.89;1.91;-0.19;0.72;0.06
2019-06;11.53;62204;54934.4;7269.59;57422.13;56173.67;53704.37;2.54;3.72;4.85;-0.47;0.26;7.46;1.9;1.53;2.59;2.76;1.83;3.08;2.03;1.53;1.39;0.27;5.87;5.26;-0.36;2.78;2.66;2.24;0.73;-0.29
2019-07;9.07;60460;54795.13;5664.86;57268.03;56027.03;53572.39;3.02;2.22;3.17;-0.95;-1.43;5.82;2.78;1.73;1.35;2.15;1.5;4.13;2.15;0.82;2.16;2.47;5.3;4.09;-1.89;4.3;1.17;1.05;1.54;0.26
2019-08;7.07;58959;54594.34;4364.65;57046.7;55816.03;53381.69;2.09;2.52;1.43;-0.57;-1.68;5.58;1.63;2.28;1.93;1.84;-1.13;3.12;0.11;1.74;1.97;0.01;3.71;3.35;-0.85;3.92;-0.11;-0.03;0.3;-0.63
2019-09;6.36;58211;54335.71;3875.28;56762.58;55544.72;53135.59;2.41;2.77;0.79;-0.42;-1.17;4.37;2.98;2.72;2.56;2;0.01;3.74;0.71;3.7;0.49;-0.33;2.71;2.53;-1.41;4.1;-0.07;-0.53;-0.69;-1.88
2019-10;3.86;56340;54023.94;2316.05;56421.58;55218.42;52838.19;3.38;2.41;-0.17;-1.2;-0.87;2.53;1.18;2.77;1.1;1.45;0.35;2.58;0;1.91;1.8;0.5;1.79;1.55;-2.27;2.84;-1.06;-0.53;-0.08;-1.67
2019-11;2.26;54998;53664.57;1333.42;56030.2;54843.13;52494.56;2.99;1.86;0.67;-1.73;0.8;0.34;1.52;0.83;0.76;1.51;-0.98;1.51;-0.05;0.28;2.61;1.06;0.96;-0.16;0.07;1.58;-1.25;1.54;-0.66;0.08
2019-12;-0.78;52817;53263.85;-446.86;55595.98;54425.75;52110.34;0.66;0.18;-0.46;-1.09;-1.24;0.35;0.45;0.1;0.27;0.78;-2.4;0.76;-0.4;1.92;0.87;-0.15;0.55;-0.77;-2.66;1.22;-2.05;-1.49;-0.88;-1.11
2019-13;-1.45;52004;52828.63;-824.64;55126.96;53973.72;51691.76;1.43;-0.94;-0.67;-1.22;-0.74;-0.58;-0.91;0.51;-0.06;0.6;0.07;0.12;1.52;0.49;0.82;-0.1;0.02;-0.02;-1.57;0.85;-2.78;-0.77;-2.29;-1.03
2019-14;0.93;52893;52366.15;526.84;54631.64;53494.9;51245.45;0.76;0.91;0.98;-2.98;-1.05;0.33;0.06;0.31;0.59;0.74;-1.23;1.47;-0.69;0.68;-0.18;-0.54;-0.09;0.27;-0.78;2.33;-0.16;1.08;-1.45;-0.11
2019-15;-0.4;51663;51883.91;-220.92;54118.6;52997.33;50778.4;0.17;-1.53;-0.85;-1.19;-0.32;-1.32;0.91;1.06;-0.07;0.66;0.68;0.6;-1.28;0.07;0.12;-0.59;0.38;0.01;-1.94;-0.89;0.24;0.25;-1.81;0.91
2019-16;1.54;52238;51389.53;848.46;53596.18;52488.99;50297.86;0.55;0.46;0.35;-0.29;-0.74;0.52;-0.09;0.81;-0.58;0.49;-0.08;0.25;-0.57;0.95;2.04;-0.51;0.55;-0.75;0.58;1.23;1.53;1.13;-0.35;1.56
2019-17;0.84;51350;50890.61;459.38;53072.75;51977.86;49811.05;-0.12;0;-0.47;-0.84;-0.8;0.67;-0.95;0.19;0.76;0.9;-0.84;-0.97;0.34;-0.25;1.43;1.31;0.33;-0.85;0.57;-0.21;0.34;1.21;-0.34;-0.48
2019-18;-0.44;50162;50394.59;-232.6;52556.45;51471.74;49325.07;-1.17;-0.21;0.54;0.44;1.59;-0.58;-0.82;-0.33;0.52;0.62;0.34;-1.64;0.41;0.79;-0.02;0.17;0.42;-0.25;-0.6;0.55;-1.17;2.32;-0.5;0.55
2019-19;0.7;50286;49908.65;377.34;52054.32;50977.72;48847.16;-0.34;0.51;0.22;-0.88;-1.06;0.65;1.01;-1.05;0.34;0.53;1.54;0.69;-1.14;0.53;-0.12;0.89;-0.23;0.06;0.43;0.99;-0.73;0.84;1.67;0.39
2019-20;0.79;49860;49439.59;420.4;51573.28;50502.68;48384.07;0.86;0.76;-1.42;1.73;-0.35;1.35;0.06;-0.45;0.11;0.22;-0.25;0.97;-0.1;-0.23;0.75;-0.88;-0.82;-0.61;-0.59;0.1;0.31;0.96;0.68;1.04
2019-21;0.84;49442;48993.82;448.17;51119.45;50052.88;47942.35;0.33;0.58;-1.13;1.16;-1.72;1.1;-0.06;-0.22;-0.27;0.54;-0.23;0.28;0.71;-1.82;1.67;-0.33;-0.75;-0.42;-1.4;1.47;1.13;-0.2;-0.84;-1.99
2019-22;0.45;48818;48577.22;240.77;50698.31;49633.99;47528.06;0.57;0.09;-0.8;-0.31;-1.48;-0.17;0.49;0.43;0.35;0.1;1.78;0.6;0.76;1.28;0.27;-0.56;-0.06;0.5;-0.08;1.04;-0.07;-1.18;-0.66;0.56
2019-23;0.81;48622;48195.14;426.85;50314.66;49251.09;47146.83;1.52;0.65;0.01;1;1.82;-0.35;0.96;0.6;0.43;0.56;-1.13;2.72;-0.8;-1.11;0.56;-0.52;-1.28;0.4;0.4;1.32;-0.88;0.25;-1.12;-0.05
2019-24;1.25;48515;47852.34;662.65;49972.65;48908.66;46803.74;2.03;-0.77;-0.7;-1.26;-0.93;0.34;1.57;-0.24;2.36;1.65;0.1;2.14;-1.21;1.56;-0.29;0.33;-0.72;-1.71;-1.44;-0.39;0.38;1.39;-0.15;-0.94
2019-25;1.46;48329;47553.03;775.96;49675.82;48610.57;46503.28;-0.05;0.52;1.11;0.46;-0.18;0.89;0.81;-0.72;1.21;0.33;2.15;0.57;-0.94;0.32;0.49;0.27;-0.07;0.08;0.58;0.62;0.1;-0.06;0.98;-0.65
2019-26;3.98;49420;47300.78;2119.21;49427.12;48360.06;46249.35;0.66;1.63;0.56;-0.29;-1.35;3.52;1.04;2.03;1.64;0.36;-0.9;2.94;2.14;1.47;2.35;1.76;0.09;0.92;0.51;1.42;0.45;0.43;-0.13;0.32
2019-27;3.7;49071;47098.55;1972.44;49228.93;48159.81;46045.2;1.59;1.15;-1.68;-0.54;-0.04;1.7;-0.27;-1.17;1.37;0.37;0.77;2.19;-0.23;-0.56;1.17;0.98;-0.05;3.79;1.15;1.82;0.42;1.23;-0.93;-0.17
2019-28;0.99;47479;46948.7;530.29;49083.1;48011.95;45893.42;-1.49;-0.83;-1.04;0.67;0.98;0.32;0.4;0.1;0.75;-0.29;-1.5;0.02;1.37;1.11;1.71;1;0.09;1.38;1.55;1.07;-0.1;-0.51;0.35;0.05
2019-29;0.3;47017;46852.98;164.01;48990.74;47917.89;45796.08;-0.01;0.6;-0.08;1.25;0.64;0.13;-0.53;1.32;-0.4;0.45;-1.13;-0.87;-0.1;-1.11;-0.39;1.52;-0.59;0.53;0.34;0.65;-0.32;0.61;-0.42;-0.58
2019-30;7.2;50691;46812.52;3878.47;48953.35;47878.95;45754.14;1.94;6.37;0;2.92;2.1;4.46;1.17;5.04;1.37;1.07;-1.08;1.66;0.33;0.83;4.71;0.25;-0.25;1.13;0.96;1.85;2.72;-1.6;0.47;0.73
2019-31;0.38;47033;46827.88;205.11;48970.94;47895.41;45768.39;0.26;0.99;-0.6;-0.73;-0.74;-0.77;0.85;1.54;1.71;0.03;-1.82;-1.29;-0.32;1.22;1.44;1.26;-0.27;0;0.51;-1;0.08;-0.14;-0.28;-1.14
2019-32;0.31;47065;46898.96;166.03;49042.85;47966.91;45839.05;-0.3;-1.2;-1.03;0.31;0.32;-0.12;0.34;0.59;1.78;0.04;-2.75;-0.1;0.41;1.59;0.16;0.15;-0.32;1.08;1.44;-1.09;-0.68;0.28;-0.93;0.46
2019-33;-1.37;46303;47025.11;-722.12;49169.27;48093.21;45965.04;-0.61;-0.82;-1.45;3.18;-0.83;-2.15;-0.27;-1.68;1.57;0.07;-0.71;-0.85;0.28;-0.24;-0.15;0.95;-1.15;0.14;0.21;-1.13;-0.8;-0.76;0.39;-0.95
2019-34;-0.1;47152;47205.04;-53.05;49349.03;48273.07;46145.01;0.34;0;0.56;-0.84;0.74;-0.66;-0.39;-0.57;1;0.05;-0.24;-1.14;-0.95;-1.71;-0.19;-0.87;0.76;-1.15;0.86;1.25;0.37;-0.48;-0.61;1.23
2019-35;1.74;48366;47436.86;929.13;49580.27;48504.62;46377.05;0.89;2.11;0.42;-0.11;-0.06;1.1;3.23;1.63;1.58;0.51;-0.08;-1.74;0.2;0.37;1.71;2.29;0.07;-1.14;2.5;-1.31;0.18;-0.46;-1.41;-0.08
2019-36;-2.28;46515;47718.06;-1203.07;49861.29;48785.75;46658.27;-0.56;-0.24;0.23;-0.6;-0.14;-2.01;-0.53;-1.36;-0.06;-0.13;-1.4;-0.67;-0.17;1.8;-1.27;0.01;0.58;-0.78;-1.54;-0.92;-1.01;0.13;0.09;-0.7
2019-37;-1.28;47369;48045.53;-676.54;50189.42;49113.57;46985.33;-0.85;-0.65;-0.32;-1.23;-0.04;-0.76;-1.62;0.77;-0.36;-0.36;-0.19;-0.66;0.52;0.06;-0.39;-0.58;-1.1;-0.84;0.48;0.72;0.32;-1.16;-0.35;0.43
2019-38;-0.43;48187.36;48415.5;-228.15;50561.37;49484.56;47354.26;-0.24;0.18;0.96;0.02;0.31;0.52;-0.1;-0.65;-0.2;-0.16;-0.29;-1.9;-0.72;-0.89;-1.41;0.74;-0.11;-1.01;-0.29;1.49;-0.01;0.44;2.25;0.56
2019-39;-0.16;48742.78;48823.65;-80.87;50973.96;49894.94;47760.13;1.6;-0.31;0.56;0.06;0.76;-1.29;0.49;-0.76;-0.33;0.31;0.04;0.07;1.12;-1.62;0.42;2.82;-1.21;-1.02;1.28;-0.08;0.21;-0.17;0.7;0.87
2019-40;-0.74;48870.12;49265;-394.88;51422.34;50339.82;48197.94;0.59;1.37;-0.48;1.23;0.91;-0.12;-1.2;0.22;0.08;-0.83;-0.06;-0.2;0.95;0.4;-0.3;-0.9;-0.34;-1.26;0.66;-0.38;0.15;-0.97;0.24;-0.74
2019-41;-0.48;49477.58;49734.04;-256.46;51901.71;50814.02;48661.81;1.2;-0.1;1.01;-1.56;1.88;-0.11;-1.13;1.1;-0.68;-3.44;0.32;0.51;0.26;-1.75;1.74;1.12;-1.15;0.09;0.62;0.37;1.42;0.13;1.95;0.49
2019-42;-0.09;50178.06;50224.7;-46.64;52406.45;51311.71;49145.47;-0.45;0;-0.48;-0.04;0.72;-0.05;0.07;0.23;-0.33;-0.81;0.36;0.28;-2.35;0.12;1.04;0.84;-0.69;-0.17;-0.67;0.57;0.66;0.4;0.3;1.6
2019-43;0.74;51139.68;50730.42;409.25;52930.26;51826.45;49642.23;-0.12;1.07;0.42;-0.11;0.65;-0.74;-1.31;-1.73;-0.06;0.19;0.89;-0.41;0.72;0.65;0.59;0.86;1.55;0.15;0.8;0.53;0.65;0.44;0.55;-0.43
2019-44;0.73;51652.21;51244.24;407.97;53466.15;52351.27;50145.13;-0.58;-1.07;-1.46;-0.64;0.92;-0.1;-1.42;0.06;0.62;-0.07;1.02;-0.56;1.73;-1.44;0.12;-0.17;1.45;0.77;-1.14;-1.49;1.47;0.65;0.44;-0.48
2019-45;0.84;52228.94;51758.84;470.1;54006.66;52878.77;50646.93;-0.15;-0.47;0.79;-1.83;-2.08;0.22;-1.39;-0.24;0.62;0.42;0.12;0.27;0.66;-0.38;1.63;0.01;0.79;0.52;-0.39;-0.76;0.34;1.16;0.23;-0.73
2019-46;2.12;53469.88;52266.65;1203.22;54543.74;53401.15;51140.3;-0.37;-0.71;0.17;-1.1;-1.86;0.27;0.25;1.09;-0.04;0.11;0.65;1.04;1.93;0.25;1.84;1.64;1.21;1.66;-1.42;1.1;1.16;1.51;2.76;0.41
2019-47;2.32;54100.58;52760.01;1340.57;55068.97;53910.37;51617.95;-0.67;1.29;0.7;-0.66;-2.97;0.98;-1.79;0.06;-0.16;-0.07;1.66;0.48;0.32;0.85;1.12;-0.46;1.85;2.01;-1.15;0.2;2.05;0.5;0.13;0.14
2019-48;1.36;54027.65;53231.25;796.4;55573.84;54398.34;52072.62;-0.39;0.23;1.65;-1.41;-2.33;0.5;-1.51;1.03;1;0.11;0.7;-0.58;0.93;0.97;0.99;-0.97;1.59;2.07;-1.97;0.91;-0.13;1.22;-0.21;0.45
2019-49;1.81;54746.25;53672.85;1073.4;56049.66;54856.96;52497.37;-0.15;0.31;1.77;0.08;-0.72;-0.15;0.15;1.34;1.6;0.72;0.56;-0.05;0.58;-1.07;0.46;0.5;0.17;0.36;-1.78;-2.46;1.46;1.76;2.87;-0.32
2019-50;3.21;56014.69;54077.62;1937.07;56488.11;55278.49;52885.58;0.62;0.84;1.26;-1.12;-1.96;0.38;-0.21;1.26;1.16;0.62;1.87;0.25;0.62;-1.14;1.8;-1.75;1.7;1.47;-2.12;0.48;2.29;2.91;1.94;0.21
2019-51;4.51;57198.67;54438.82;2759.84;56881.19;55655.54;53231.1;-0.59;1.98;-0.01;-1.12;-1.02;0.8;-1.66;-0.12;0.97;0.69;3.55;2.08;0.48;0.47;2.41;-1.55;1.47;0.73;-0.79;1.08;4.15;2.44;2.82;1.61
2019-52;1.71;55808.15;54750.34;1057.8;57221.56;55981.41;53528.44;-0.14;-0.33;-0.33;-1.54;-1.34;-0.6;-0.36;-0.88;0.97;0.53;2.96;0.77;1.17;1.64;-0.13;-0.92;1.52;-0.69;-2.36;-0.49;3.29;0.82;1.84;1.52
2020-01;5;58135.62;55006.84;3128.77;57502.79;56250.2;53772.78;-0.52;0.53;1.38;-2.14;-2.48;1.28;-1.18;0.21;2.53;0.9;2.45;1.36;-1.71;0.43;0.57;0.43;3.28;1.73;-0.98;-0.9;3.88;1.03;2.12;2.71
2020-02;7.85;60182.09;55203.88;4978.2;57719.45;56457;53960.18;0.6;2.32;1.78;-0.44;-2.09;2.66;-0.6;0.46;3.48;0.84;3.35;2.38;-0.45;2.36;3.1;2.73;4.67;4.58;-0.21;0.03;2.69;1.81;2.21;1.01
2020-03;5.86;59062.02;55338.05;3723.96;57867.38;56598.01;54087.59;2.25;1.27;-0.23;-1.37;-2.22;0.82;0.61;-0.65;3.09;0.83;1.14;3.1;0.19;3.61;0.89;0.09;5.55;6.34;-1.04;0.96;0.25;2.67;-0.19;-0.67
2020-04;4.25;58103.74;55407.05;2696.69;57943.71;56670.65;54152.98;1.76;-0.03;-1.06;-1.79;-2.9;0.18;0.31;0.66;2.53;1.24;0.33;2.33;0;1.58;-0.26;0.45;4.52;6.06;-2.59;1.05;-0.57;-1.48;0.91;-0.71
2020-05;5.75;59071;55409.73;3661.26;57947.06;56673.66;54155.34;3.91;1.78;0.31;-1.3;-2.23;1.16;-0.34;-0.51;3.71;1.48;0.71;1.87;0.37;0.65;0.92;-0.93;4.6;6.24;-0.85;1.27;-1.07;-0.13;-0.18;0.77
2020-06;2.76;57089.15;55346.17;1742.97;57877.49;56607.11;54094.74;0.93;-0.43;0.1;-3.27;-1.08;1.14;0.68;-0.2;2.83;1.07;0.85;1.08;0.02;1.82;1.27;-1.31;2.73;3.36;-2.44;0.7;-1.48;-0.76;0.16;-0.72
2020-07;2.67;56898.85;55217.67;1681.18;57736.6;56472.45;53972.31;3.46;1.18;-0.69;-0.7;-1.36;0.66;-1.19;0.84;2.42;1.41;1.42;1.23;-1.4;0.01;1.39;0.2;0.59;1.76;-0.92;0.64;-1.03;0;-0.09;-0.99
2020-08;-0.52;54707.29;55026.63;-319.34;57527.32;56272.34;53790.24;1.01;1.25;-1.09;-0.04;-1.28;-1.23;-1.03;-0.83;0.57;1.01;1.39;0.12;-0.31;0.21;-0.98;-0.74;1.46;-0.06;-1.45;0.55;-1.32;0.12;0.25;-2.75
2020-09;1.11;55460.81;54776.62;684.19;57254.03;56010.76;53551.68;1.84;0.56;-1.46;-0.87;-2.3;0.3;0.66;0.13;1.06;1.62;0.67;1.37;-1.05;-0.41;0.6;-0.1;0.91;0.07;-1.17;0.2;-0.96;-0.18;0.68;-2.74
2020-10;2.52;56015.53;54472.16;1543.36;56922.2;55692.69;53260.68;1.78;0.43;-0.5;-1.5;-0.73;0.88;-0.06;1.47;1.63;1.19;0.55;2.61;0.43;-0.07;0.84;-1.04;-0.27;0.73;-0.24;0.57;0.37;0.32;0.42;-0.74
2020-11;5.85;57674.62;54118.71;3555.9;56538.38;55324.14;52922.17;1.53;1.05;0.12;0.76;-0.52;2.35;-0.14;1.75;1.36;1.17;0.43;6.4;0.85;2.04;2.24;-0.04;1.77;4.72;-1.5;1.48;0.31;1.12;0.86;-0.55
2020-12;17.95;64707.56;53722.43;10985.12;56109.96;54911.87;52541.7;3.12;4.96;1.77;-0.63;0.08;7.29;-0.62;0.1;1.14;1.86;1.13;11.71;0.35;3.28;6.61;-0.66;2.71;17.42;0.95;4.44;4.64;0.02;1.61;0.87
2020-13;38.86;77550.07;53290.11;24259.95;55644.95;54463.29;52125.48;2.24;12.46;1.24;0.34;0.03;14.73;1.26;0.34;0.56;1.31;3.99;14.75;2.55;1.14;15.35;1.04;4.07;40.51;4;6.45;14;2.26;4.8;5.38
2020-14;56.49;88549.05;52828.99;35720.06;55151.77;53986.22;51680.15;3.58;21.81;2.49;0.09;0.46;24.03;1.18;1.64;0.63;1.11;8.74;16.96;1.06;0.67;21.75;0.64;5.35;43.58;9.52;11.67;30.45;5.38;12.72;10.25
2020-15;55.53;86941.17;52346.58;34594.59;54639.01;53488.7;51212.7;3.18;25.07;2.32;0;2.58;20.29;1.67;2.98;0.07;1.33;10.54;13.23;3;0.97;21.28;1.19;5.19;32.88;12.8;7.43;38.74;8.62;15.93;18.06
2020-16;41.59;76912.37;51850.54;25061.82;54115.25;52978.86;50730.34;1.89;19.41;0.9;0.07;0.81;13.67;-0.27;2.5;-0.52;1.21;9.43;8.97;0.62;2.77;15.14;1;3;20.09;12.7;6.33;33.9;6.34;14.82;14.93
2020-17;27.58;67430.55;51348.54;16082;53588.89;52464.73;50240.38;0.33;12.38;0.96;1.03;2.15;4.93;0.35;-0.03;-0.85;0.75;5.35;6.95;0.29;-1.58;11.53;-0.08;2.4;10.19;9.53;2.31;27.63;5.59;13.69;11.68
2020-18;16.03;59933.26;50848.1;9085.15;53067.91;51954.05;49750.12;-1.3;4.8;-0.05;0.46;2.58;-0.02;0.89;-0.45;-0.11;0.43;3.22;4.41;-1.01;0.9;6.24;-0.67;1.07;4.78;9.53;-0.06;19.28;5.49;10.53;6.32
2020-19;10.82;56390.43;50356.51;6033.91;52559.91;51454.28;49266.67;-0.38;5.17;-0.75;0.71;0.81;-0.64;0.71;0.69;-1.22;0.6;2.26;3.44;0.94;0.65;2.09;-0.96;1.36;2.77;9.2;-1.34;13.42;3.13;8.47;4.9
2020-20;4.71;52467.91;49880.7;2587.2;52071.76;50972.31;48797;-0.69;1.09;-2.41;-0.19;2.06;-1.58;-0.12;-0.32;1.25;0.77;1.59;1.41;-0.34;0.51;-0.06;-2.62;0.24;-1.03;6.85;-1.9;8.1;2.26;3.78;2.2
2020-21;4.07;51650.62;49427.19;2223.43;51609.83;50514.58;48347.72;-0.72;1.82;-1.57;-0.31;-1.48;0.45;0.44;0.91;0.35;-0.02;-0.88;1.32;-0.17;-1.51;0.19;-0.24;0.56;0.02;6.21;-0.87;5.71;1.96;3.34;1
2020-22;0.88;49480.34;49002.01;478.33;51179.78;50086.95;47925.02;-1.7;0.74;-1.88;1.23;-0.33;-2.04;-1.01;0.78;-2.14;0.28;-0.22;-0.39;-0.33;0.45;-0.08;-2.74;3.8;0.12;1.85;-2.81;3.28;2.53;2.71;1.82
2020-23;-0.07;48577.88;48610.63;-32.76;50786.57;49694.63;47534.63;-0.2;-1.57;-1.99;-0.55;-0.41;-1.8;-0.24;0.5;-0.99;0.96;-1.41;1.48;-0.71;0.17;-0.33;-2.27;0.53;-1.88;3.96;-0.99;2.33;0.95;-0.03;0.74
2020-24;-0.68;47892.5;48257.99;-365.5;50434.57;49342.28;47181.76;-0.68;0.1;-0.69;0.11;0.33;-1.1;0.72;0.28;-0.21;0.66;-0.94;-0.43;-1.22;-0.61;0.02;-0.41;-1.15;-2.84;3.87;-1.37;1.24;-0.47;-0.8;1.22
2020-25;-0.81;47513.75;47948.4;-434.65;50127.43;49033.88;46871.05;-1.38;-0.78;-2.18;0.44;2.47;-0.94;-0.75;-0.11;0.89;0.11;-1.43;-0.36;0.23;-0.16;0.22;0.29;-0.13;-1.63;3.21;-1.35;-0.1;-0.11;0.3;-0.26
2020-26;3.11;49384.15;47685.58;1698.57;49868.29;48772.86;46606.5;-0.83;1.35;-0.9;0.87;1.36;1.6;1.29;-0.61;-0.24;0.83;-1.29;1.9;-0.81;-1.76;0.01;-1.45;2.16;0.79;3.2;-0.61;1.93;0.11;-0.11;1.66
2020-27;0.61;47805.98;47472.63;333.34;49659.71;48562.07;46391.47;1.35;-1.35;-0.39;-0.01;0.83;-2.32;-0.13;-0.51;3.07;0.98;-2.36;1.69;-0.57;1.06;-0.14;-1.3;1.56;1.59;1.61;-0.7;-1.44;-0.66;-2.22;-0.14
2020-28;0.93;47822.93;47312.04;510.88;49503.63;48403.7;46228.71;-1.45;2.05;-1.59;0.37;-0.67;-1.15;-0.03;-1.15;0.69;0.75;-1.92;0.58;-0.54;0.28;-0.31;-1.83;3.77;2.25;1.8;-0.94;-1.09;-0.89;0.14;0.21
2020-29;2.44;48543.66;47205.68;1337.98;49401.52;48299.44;46120.3;-0.52;3.51;0.36;0.83;1.39;-1.34;0.73;-0.49;-0.34;1.32;-0.69;0.1;-0.44;0.57;-1.33;0.83;8.35;1.75;0.99;-2.23;0.03;-0.21;-0.66;0.33
2020-30;4.33;49537.66;47154.8;2382.85;49354.39;48250.42;46067.61;-0.55;3.15;-1.48;1.95;0.07;-0.08;0.65;1.13;0.41;2.99;-2.61;-0.14;-0.33;0.36;0.49;1.1;6.13;2.83;1.25;-0.79;-0.16;1.78;-0.39;0.23
2020-31;6.2;50590.05;47160.07;3429.97;49362.69;48257.19;46071.39;0.76;3.83;-0.37;2.12;0.59;0.98;-0.1;3.03;3.55;1.35;-3.27;2.04;1.72;0.87;0.23;1.71;3.64;6.03;1.49;1.62;-0.47;-0.25;-0.25;-0.15
2020-32;4.25;49565.55;47221.52;2344.02;49426.42;48319.78;46131.72;-0.64;4.26;-1.07;1.02;-0.34;0.47;-0.46;0.67;2.4;0.15;-2.64;1.99;2.25;1.01;-0.06;1.14;2.26;5.55;1.74;-0.77;0.28;0.66;-1.76;1.09
2020-33;8.91;52300.76;47338.6;4962.16;49545.12;48437.67;46247.96;1.92;12.91;-0.01;1.6;-0.02;4.04;-0.79;3;1.33;-0.16;-2.72;2.34;1.88;1.9;6.52;1.52;0.4;4.5;0.91;0.2;3.87;-0.5;-1.81;0.87
