2018-10-08;1520
2018-10-09;1655
2018-10-10;1662
2018-10-11;1686
2018-10-12;1666
2018-10-13;1601
2018-10-14;1606
2018-10-15;1659
2018-10-16;1639
2018-10-17;1595
2018-10-18;1570
2018-10-19;1562
2018-10-20;1514
2018-10-21;1482
2018-10-22;1560
2018-10-23;1638
2018-10-24;1611
2018-10-25;1660
2018-10-26;1576
2018-10-27;1603
2018-10-28;1616
2018-10-29;1598
2018-10-30;1749
2018-10-31;1675
2018-11-01;1594
2018-11-02;1603
2018-11-03;1598
2018-11-04;1621
2018-11-05;1754
2018-11-06;1696
2018-11-07;1713
2018-11-08;1646
2018-11-09;1601
2018-11-10;1676
2018-11-11;1628
2018-11-12;1692
2018-11-13;1747
2018-11-14;1606
2018-11-15;1647
2018-11-16;1585
2018-11-17;1628
2018-11-18;1579
2018-11-19;1616
2018-11-20;1656
2018-11-21;1685
2018-11-22;1625
2018-11-23;1712
2018-11-24;1733
2018-11-25;1687
2018-11-26;1671
2018-11-27;1698
2018-11-28;1711
2018-11-29;1681
2018-11-30;1679
2018-12-01;1719
2018-12-02;1668
2018-12-03;1691
2018-12-04;1686
2018-12-05;1674
2018-12-06;1660
2018-12-07;1666
2018-12-08;1642
2018-12-09;1561
2018-12-10;1618
2018-12-11;1664
2018-12-12;1741
2018-12-13;1661
2018-12-14;1642
2018-12-15;1668
2018-12-16;1750
2018-12-17;1769
2018-12-18;1775
2018-12-19;1795
2018-12-20;1766
2018-12-21;1747
2018-12-22;1706
2018-12-23;1719
2018-12-24;1719
2018-12-25;1695
2018-12-26;1719
2018-12-27;1774
2018-12-28;1834
2018-12-29;1722
2018-12-30;1739
2018-12-31;1863
2019-01-01;1816
2019-01-02;1911
2019-01-03;1850
2019-01-04;1878
2019-01-05;1889
2019-01-06;1880
2019-01-07;1966
2019-01-08;1937
2019-01-09;1947
2019-01-10;1931
2019-01-11;1911
2019-01-12;2009
2019-01-13;1917
2019-01-14;1974
2019-01-15;1955
2019-01-16;1974
2019-01-17;1938
2019-01-18;1932
2019-01-19;1909
2019-01-20;1831
2019-01-21;1931
2019-01-22;2043
2019-01-23;1980
2019-01-24;1910
2019-01-25;2020
2019-01-26;2064
2019-01-27;1987
2019-01-28;2079
2019-01-29;2013
2019-01-30;2008
2019-01-31;2028
2019-02-01;2150
2019-02-02;2035
2019-02-03;1896
2019-02-04;2032
2019-02-05;2097
2019-02-06;2095
2019-02-07;2028
2019-02-08;2067
2019-02-09;2042
2019-02-10;1958
2019-02-11;2016
2019-02-12;1972
2019-02-13;1992
2019-02-14;1979
2019-02-15;2018
2019-02-16;2000
