Fecha,2022,2021,2020,2019,2018
2020-04-10,1226.24,1168.42,2350.68,1226.69,1241.65
2020-04-11,1347.26,1054.57,2230.95,1175.16,1218.87
2020-04-12,1287.07,1165.51,2124.69,1204.06,1274.08
2020-04-13,1351.87,1097.18,2092.36,1172.55,1233.81
2020-04-14,1264.55,1210.34,2052.52,1132.49,1206.45
2020-04-15,1210.72,1189.19,1961.04,1219.56,1155.56
2020-04-16,1218.89,1198.56,1835.24,1204.25,1124.5
2020-04-17,1230.09,1124.54,1880.77,1155.67,1240.77
2020-04-18,1247.42,1079.2,1775.42,1197.37,1168.4
2020-04-19,1228.69,1172.54,1641.25,1071.18,1303.6
2020-04-20,1247.52,1172.18,1602.58,1059.58,1180.06
2020-04-21,1243.21,1183.46,1709.27,1075.39,1109.16
2020-04-22,1288.1,1199.52,1491.15,1107.67,1138.96
2020-04-23,1298.37,1199.89,1442.1,1114.76,1104.79
2020-04-24,1231.77,1158.52,1533.99,1104.96,1119.43
2020-04-25,1219.78,1071.44,1438,1171.3,1188.54
2020-04-26,1199.48,1052.43,1311.46,1154.25,1144.36
2020-04-27,1116.27,1180.7,1355.2,1187.83,1213.54
2020-04-28,,1236.63,1376.33,1109.8,1117.41
2020-04-29,,1187.46,1285.86,1154.3,1003.66
2020-04-30,,1152.98,1289.49,1192.03,1013.18
2020-05-01,,1105.44,1248.81,1147.34,1079.85
2020-05-02,,1046.14,1284.49,1114.48,1002.24
2020-05-03,,1096.68,1230.74,1140.32,1124.21
2020-05-04,,1109.84,1209.49,1170.22,1067.06
2020-05-05,,1195.86,1360.41,1004.08,1104.21
2020-05-06,,1193.44,1242.31,1066.19,1074.11
2020-05-07,,1224.1,1253.97,1201.14,1132.04
2020-05-08,,1229.33,1270.37,1199.26,1191.88
2020-05-09,,1147.48,1181.37,1149.68,1073.15
2020-05-10,,1123.89,1004.75,1122.64,1152.53
2020-05-11,,1100.34,1083.39,1110.17,1102.89
2020-05-12,,1138.65,1114.25,1034.19,1086.65
2020-05-13,,1129.03,1143.12,1093.33,994.26
2020-05-14,,1170.3,1081.99,1130.79,1079.2
2020-05-15,,1121.64,1117.7,1181.92,1067.81
2020-05-16,,1033.82,1006.31,1134.37,1096.48
2020-05-17,,1090.8,1036.48,1094.22,1128.32
2020-05-18,,1119.36,998.31,1050.07,1122.28
2020-05-19,,1103.98,1055.05,995.12,1131.18
2020-05-20,,1133.11,1121.99,1046.14,1025.2
2020-05-21,,1159.36,1137.95,1101.83,1058.61
2020-05-22,,1056.91,1217.49,1137.96,1066.05
2020-05-23,,992.15,1096.19,1132.15,1149.04
2020-05-24,,1048.17,1098.95,1128.27,1168.11
2020-05-25,,983.95,1078.85,1049.37,1116.23
2020-05-26,,1090.51,1090.57,1058.58,1079.94
2020-05-27,,1098.26,1117.79,1082.59,1009.75
2020-05-28,,1076.39,1099.86,1123.44,1094.81
2020-05-29,,1111.56,1132.57,1138.87,1073.08
2020-05-30,,1066.6,1133.03,1083.57,1092.01
2020-05-31,,1136.44,1030.35,1163.43,1057.31
2020-06-01,,1109.65,1058.07,1135.76,1134.21
2020-06-02,,1146.74,1071.24,1043.49,997.46
2020-06-03,,1048.79,1052.15,1090.03,1000.12
2020-06-04,,1072.86,1075.84,1182.79,959.96
2020-06-05,,994.74,1027.72,1122.6,1104.68
2020-06-06,,968.72,967.87,1147.09,1012.65
2020-06-07,,1042.29,914.07,1076,1052.16
2020-06-08,,1062.73,938.25,1054.82,1037.67
2020-06-09,,1089.64,969.86,972.64,1103.47
2020-06-10,,1164.88,1034.97,992.3,957.81
2020-06-11,,1165.63,982.77,1043.26,1034.44
2020-06-12,,1111.95,1090.18,1013.46,1010.65
2020-06-13,,1147.51,973.7,1014.73,1064.06
2020-06-14,,1140.05,893.78,1101.81,1042.41
2020-06-15,,1178.6,1015.53,1082.16,1126.72
2020-06-16,,1232.78,1020.85,924.63,1029.42
2020-06-17,,1204.49,1006.69,1008.98,985.91
2020-06-18,,1103.28,1063.29,1102.77,1068.51
2020-06-19,,1026.32,973.99,1103.95,1098.62
2020-06-20,,1001.27,1036.37,1111.85,1095.61
2020-06-21,,1023.3,979.02,1036.61,1182.71
2020-06-22,,1013.9,983.7,1058.63,1120.59
2020-06-23,,1086.06,1153.88,1087.34,1130.25
2020-06-24,,1122.74,1128.08,1026.83,1136.43
2020-06-25,,1120.07,1097.67,1078.46,1112.08
2020-06-26,,1024.45,1141.7,1096.95,1167.91
2020-06-27,,1000.1,1097.37,1152.13,1147.27
2020-06-28,,1048.76,967.96,1158.87,1134.91
2020-06-29,,1116.44,1030.5,1127.53,1172.36
2020-06-30,,1118.5,1155.07,1063.34,1065.11
2020-07-01,,1098.95,1130.67,1149.97,1026.56
2020-07-02,,1103.55,1148.04,1209.04,1035.05
2020-07-03,,1134.82,1102.91,1144.23,1082.26
2020-07-04,,984.18,1068.24,1179.78,1038.49
2020-07-05,,1118.32,1057.94,1195.03,1089.06
2020-07-06,,1175.68,1078.47,1193.77,1094.98
2020-07-07,,1082.97,1114.99,1116.81,1014.07
2020-07-08,,1024.05,1104.68,1087.45,1070.03
2020-07-09,,1105.04,1170.55,1060.32,1033.38
2020-07-10,,1094.44,1176.42,1061.72,1150.14
2020-07-11,,1035.14,1125.41,1103.1,1094.41
2020-07-12,,1083.09,1018.13,1165.71,1093.09
2020-07-13,,1000.48,1067.07,1117.63,1130.79
2020-07-14,,1088.83,1098.03,996.69,1045.85
2020-07-15,,1063.96,1083.71,1026.3,973.03
2020-07-16,,1201.57,1074.06,1124.81,1010.68
2020-07-17,,1138.77,1144.42,1051.99,1098.13
2020-07-18,,1075.26,1161.18,1053.2,1048
2020-07-19,,1147.29,1027.62,1068.9,1065.73
2020-07-20,,1143.52,1107.58,1056.63,1067.83
2020-07-21,,1257.18,1114.52,1039.06,1025.53
2020-07-22,,1275.86,1128.71,1000.13,939.64
2020-07-23,,1307.79,1107.14,1121.11,949.85
2020-07-24,,1257.99,1148.54,1112.48,1077.24
2020-07-25,,1137.35,1177.88,1156.01,1022.55
2020-07-26,,1165.49,1082.06,1121.65,1077.38
2020-07-27,,1235.84,1096.99,1046.44,1117.78
2020-07-28,,1191.24,1188.6,1002.65,1025.38
2020-07-29,,1247.06,1268.11,1021.97,984.72
2020-07-30,,1346.22,1251.81,1025.55,977.61
2020-07-31,,1190.67,1246.53,1063.84,1029.5
2020-08-01,,1098.4,1260.69,1077.77,1088.83
2020-08-02,,1178.84,1263.37,1063.85,1143.37
2020-08-03,,1270.46,1194.72,1012.05,1152.73
2020-08-04,,1263.54,1247.39,968.16,1204.64
2020-08-05,,1220.84,1191.99,967.99,1217.24
2020-08-06,,1385.33,1266.74,1054.44,1248.54
2020-08-07,,1334.57,1171.22,1130.96,1248.76
2020-08-08,,1119.17,1229.37,1143.73,1152.16
2020-08-09,,1256.78,1150.93,1109.81,1123.68
2020-08-10,,1214.23,1238,1026.57,1172.06
2020-08-11,,1201.2,1236.19,987.9,1071.38
2020-08-12,,1305.54,1234.42,965.64,1084.56
2020-08-13,,1346.1,1188.17,1040.41,1050.03
2020-08-14,,1323.18,1177.62,1025.93,1088.28
2020-08-15,,1273.64,1108.04,1089.69,1048.76
2020-08-16,,1350,1028.94,966.51,1071.57
2020-08-17,,1309.78,1097.05,1114.19,1085.8
2020-08-18,,1298.28,1080.72,1031.57,979.6
2020-08-19,,1252.68,1149.38,998.32,987.04
2020-08-20,,1264.33,1143.63,1002.84,936.33
2020-08-21,,1262.3,1209.19,1002.19,1100.24
2020-08-22,,1124.51,1168.88,1001.74,1033.29
2020-08-23,,1119.34,1088.23,1060.51,1084.81
2020-08-24,,1223.12,1119.4,996.85,1097.48
2020-08-25,,1290.39,1134.12,1004.9,986.93
2020-08-26,,1203.64,1160.4,992.21,901.01
2020-08-27,,1223.58,1155.03,1015.18,1023.67
2020-08-28,,1141.02,1270.21,989.24,1011.57
2020-08-29,,1131.35,1143.47,1016.34,1034.99
2020-08-30,,1232.35,1011.56,1079.91,963.75
2020-08-31,,1188.65,1026.97,1027.58,1012.35
2020-09-01,,1141.26,1100.57,874.44,1015.75
2020-09-02,,1093.32,1140.28,1002.51,928.94
2020-09-03,,1175.68,1136.47,998.64,1004.37
2020-09-04,,1087.52,1187.17,1068.18,1065.01
2020-09-05,,1073.24,1148.13,1058.06,1031
2020-09-06,,1120.36,1096.56,1011.03,974.61
2020-09-07,,1234.17,1054.61,955.52,1013.3
2020-09-08,,1160.88,1140.75,958.49,1013.9
2020-09-09,,1228.49,1083.32,968,919.26
2020-09-10,,1164.08,1183.7,1048.41,941.51
2020-09-11,,1075.55,1266.26,972.06,963.53
2020-09-12,,1047.7,1244.61,1020.59,1066.22
2020-09-13,,1088.66,1142.53,1079.27,1003.2
2020-09-14,,1163.19,1223.29,1050.15,1031.75
2020-09-15,,1126.03,1176.51,963.98,1040.82
2020-09-16,,1091.17,1237.52,985.49,912.01
2020-09-17,,1122.2,1220.85,1071.72,1020.64
2020-09-18,,1079.2,1196.21,989.31,1078.91
2020-09-19,,971.6,1139.82,1085.45,1055.05
2020-09-20,,1063.5,1078.98,996.57,1082.63
2020-09-21,,1123.14,1182.09,1005.58,1101.07
2020-09-22,,1080.52,1211.23,982.38,1009.17
