Fecha,2021,2020,2019,2018
2020-07-19,,968,995,1005
2020-07-20,,1039,978,1006
2020-07-21,,1049,955,970
2020-07-22,,1063,926,886
2020-07-23,,1037,1017,888
2020-07-24,,1079,1029,1017
2020-07-25,,1108,1069,965
2020-07-26,,1019,1037,1013
2020-07-27,,1031,967,1051
2020-07-28,,1114,931,962
2020-07-29,,1186,945,926
2020-07-30,,1182,954,917
2020-07-31,,1172,984,967
2020-08-01,,1188,999,1021
2020-08-02,,1192,1002,1077
2020-08-03,,1121,942,1082
2020-08-04,,1180,904,1131
2020-08-05,,1124,909,1142
2020-08-06,,1187,984,1175
2020-08-07,,1096,1051,1176
2020-08-08,,1157,1072,1081
2020-08-09,,1082,1037,1057
2020-08-10,,1166,964,1101
2020-08-11,,1166,919,1015
2020-08-12,,1164,895,1024
2020-08-13,,1116,972,987
2020-08-14,,1113,953,1022
2020-08-15,,1046,1018,985
2020-08-16,,966,902,1009
2020-08-17,,1032,1036,1020
2020-08-18,,1022,969,925
2020-08-19,,1086,922,929
2020-08-20,,1080,934,884
2020-08-21,,1139,922,1043
2020-08-22,,1102,925,973
2020-08-23,,1026,966,1023
2020-08-24,,1057,915,1033
2020-08-25,,1071,910,930
2020-08-26,,1092,924,847
2020-08-27,,1083,947,967
2020-08-28,,1188,910,955
2020-08-29,,1076,947,979
2020-08-30,,953,990,908
2020-08-31,,963,978,956
2020-09-01,,1036,815,959
2020-09-02,,1072,935,871
2020-09-03,,1069,940,944
2020-09-04,,1115,998,998
2020-09-05,,1079,990,974
2020-09-06,,1033,950,922
2020-09-07,,988,889,960
2020-09-08,,1067,900,949
2020-09-09,,1019,905,862
2020-09-10,,1112,971,885
2020-09-11,,1192,912,909
2020-09-12,,1169,950,1000
2020-09-13,,1074,1008,944
2020-09-14,,1152,977,970
2020-09-15,,1105,895,975
2020-09-16,,1162,918,865
2020-09-17,,1146,991,961
2020-09-18,,1124,929,1016
2020-09-19,,1068,1010,992
2020-09-20,,1010,920,1020
2020-09-21,,1104,941,1041
2020-09-22,,1136,912,950
2020-09-23,,1116,916,899
2020-09-24,,1081,954,982
2020-09-25,,1132,960,984
2020-09-26,,1054,940,1052
2020-09-27,,1079,1018,994
2020-09-28,,1097,960,1014
2020-09-29,,1087,915,997
2020-09-30,,1116,910,935
2020-10-01,,1153,1027,968
2020-10-02,,1128,997,983
2020-10-03,,1143,940,1033
2020-10-04,,1043,987,998
2020-10-05,,1110,931,1004
2020-10-06,,1118,873,1007
2020-10-07,,1225,950,931
2020-10-08,,1180,988,911
2020-10-09,,1262,1032,1025
2020-10-10,,1190,999,1070
2020-10-11,,1099,1069,1014
2020-10-12,,1060,1030,1080
2020-10-13,,1157,919,1030
2020-10-14,,1160,979,965
2020-10-15,,1174,969,948
2020-10-16,,1229,1065,1005
2020-10-17,,1208,1067,1061
2020-10-18,,1154,1046,1045
2020-10-19,,1275,954,1024
2020-10-20,,1314,915,997
2020-10-21,,1333,978,962
2020-10-22,,1302,1103,931
2020-10-23,,1306,988,1040
2020-10-24,,1265,1050,965
2020-10-25,,1242,1011,986
2020-10-26,,1230,1047,1018
2020-10-27,,1312,949,1044
2020-10-28,,1258,1013,1063
2020-10-29,,1322,1068,1033
2020-10-30,,1371,991,1036
2020-10-31,,1415,1054,1101
2020-11-01,,1266,1106,1067
2020-11-02,,1369,1097,1063
2020-11-03,,1431,993,1135
2020-11-04,,1403,1061,1059
2020-11-05,,1422,1071,1030
2020-11-06,,1484,1005,1098
2020-11-07,,1371,1012,1113
2020-11-08,,1366,1108,1081
2020-11-09,,1355,1061,1152
2020-11-10,,1413,1026,1106
2020-11-11,,1382,1018,1120
2020-11-12,,1368,1102,1090
2020-11-13,,1425,1119,1139
2020-11-14,,1277,1161,1044
2020-11-15,,1325,1107,1102
2020-11-16,,1361,1095,1151
2020-11-17,,1374,1058,1119
2020-11-18,,1373,1055,997
2020-11-19,,1348,1152,1044
2020-11-20,,1367,1162,1115
2020-11-21,,1253,1131,1077
2020-11-22,,1192,1178,1104
2020-11-23,,1298,1151,1095
2020-11-24,,1285,987,1104
2020-11-25,,1292,1084,1039
2020-11-26,,1429,1181,1078
2020-11-27,,1362,1145,1075
2020-11-28,,1245,1172,1089
2020-11-29,,1174,1180,1145
2020-11-30,,1223,1087,1119
2020-12-01,,1289,1061,1117
2020-12-02,,1372,1061,1043
2020-12-03,,1369,1135,1081
2020-12-04,,1349,1099,1114
2020-12-05,,1288,1102,1233
2020-12-06,,1245,1099,1095
2020-12-07,,1221,1046,1061
2020-12-08,,1274,1068,1100
2020-12-09,,1317,1091,985
2020-12-10,,1360,1084,1126
2020-12-11,,1386,1166,1061
2020-12-12,,1280,1157,1229
2020-12-13,,1241,1215,1189
2020-12-14,,1300,1114,1172
2020-12-15,,1323,1104,1124
2020-12-16,,1265,1088,1072
2020-12-17,,1216,1086,1088
2020-12-18,,1350,1162,1138
2020-12-19,,1237,1108,1161
2020-12-20,,1223,1217,1217
2020-12-21,,1191,1130,1156
2020-12-22,,1264,1042,1197
2020-12-23,,1309,1066,1165
2020-12-24,,1222,1114,1129
2020-12-25,,1245,1080,1112
2020-12-26,,1199,1065,1173
2020-12-27,,1193,1154,1227
2020-12-28,,1267,1056,1263
2020-12-29,,1281,1038,1237
2020-12-30,,1324,1042,1163
2020-12-31,,1344,1105,1111
2021-01-01,,1275,,
