Fecha;2017;2018;2019
2020-02-19;422123;427893;394304
2020-03-24;422126;427909;410932
2020-04-28;422128;427910;411600
2020-06-02;422128;427914;414216
2020-07-29;422129;427941;416317
2020-08-20;422130;427942;416434
2020-09-21;422130;427956;416480
2020-10-23;422133;427957;416602
2020-11-20;422136;427959;416637
2020-12-17;422142;427967;418556
2021-01-22;422150;427971;418574
