Fecha,Diariamente,Media INE2018
2021-02-04,1736,1172
2021-02-05,1679,1172
2021-02-06,1703,1172
2021-02-07,1227,1172
2021-02-08,1203,1172
2021-02-09,2322,1172
2021-02-10,1460,1172
2021-02-11,1635,1172
2021-02-12,1551,1172
2021-02-13,1519,1172
2021-02-14,1244,1172
2021-02-15,1216,1172
2021-02-16,1894,1172
2021-02-17,1162,1172
2021-02-18,1496,1172
2021-02-19,1378,1172
2021-02-20,1479,1172
2021-02-21,1182,1172
2021-02-22,1151,1172
2021-02-23,1477,1172
2021-02-24,1265,1172
2021-02-25,1276,1172
2021-02-26,1326,1172
2021-02-27,1276,1172
2021-02-28,1175,1172
2021-03-01,1144,1172
2021-03-02,1022,1172
2021-03-03,1231,1172
2021-03-04,1424,1172
2021-03-05,1260,1172
2021-03-06,1190,1172
2021-03-07,1150,1172
2021-03-08,1151,1172
2021-03-09,1312,1172
2021-03-10,1044,1172
2021-03-11,1122,1172
2021-03-12,1138,1172
2021-03-13,1215,1172
2021-03-14,1131,1172
2021-03-15,1145,1172
2021-03-16,1344,1172
2021-03-17,1051,1172
2021-03-18,1099,1172
2021-03-19,1208,1172
2021-03-20,649,1172
2021-03-21,1112,1172
2021-03-22,1053,1172
2021-03-23,1510,1172
2021-03-24,1096,1172
2021-03-25,1125,1172
2021-03-26,1128,1172
2021-03-27,0,1172
2021-03-28,2121,1172
2021-03-29,1164,1172
2021-03-30,1101,1172
2021-03-31,1165,1172
2021-04-01,1157,1172
2021-04-02,294,1172
2021-04-03,8,1172
2021-04-04,1101,1172
2021-04-05,1061,1172
2021-04-06,676,1172
2021-04-07,2286,1172
2021-04-08,1521,1172
2021-04-09,1389,1172
2021-04-10,1179,1172
2021-04-11,1047,1172
2021-04-12,1032,1172
2021-04-13,-1105,1172
2021-04-14,-466,1172
2021-04-15,-194,1172
2021-04-16,-114,1172
2021-04-17,-92,1172
2021-04-18,930,1172
2021-04-19,8696,1172
2021-04-20,1370,1172
2021-04-21,1630,1172
2021-04-22,1038,1172
2021-04-23,1114,1172
2021-04-24,1133,1172
2021-04-25,968,1172
2021-04-26,983,1172
2021-04-27,1524,1172
2021-04-28,845,1172
2021-04-29,1071,1172
2021-04-30,1121,1172
2021-05-01,1096,1172
2021-05-02,953,1172
2021-05-03,936,1172
2021-05-04,1084,1172
2021-05-05,1194,1172
2021-05-06,1197,1172
2021-05-07,1189,1172
2021-05-08,1112,1172
2021-05-09,959,1172
2021-05-10,956,1172
2021-05-11,1557,1172
2021-05-12,891,1172
2021-05-13,1016,1172
2021-05-14,1087,1172
2021-05-15,1015,1172
2021-05-16,973,1172
2021-05-17,945,1172
2021-05-18,1177,1172
2021-05-19,1045,1172
2021-05-20,1033,1172
2021-05-21,1114,1172
2021-05-22,1114,1172
2021-05-23,962,1172
2021-05-24,938,1172
2021-05-25,1148,1172
2021-05-26,856,1172
2021-05-27,942,1172
2021-05-28,1042,1172
2021-05-29,1025,1172
2021-05-30,926,1172
2021-05-31,911,1172
2021-06-01,1271,1172
2021-06-02,937,1172
2021-06-03,969,1172
2021-06-04,1021,1172
2021-06-05,1096,1172
2021-06-06,926,1172
2021-06-07,927,1172
2021-06-08,1110,1172
2021-06-09,878,1172
2021-06-10,969,1172
2021-06-11,1091,1172
2021-06-12,1124,1172
2021-06-13,927,1172
2021-06-14,915,1172
2021-06-15,1415,1172
2021-06-16,1001,1172
2021-06-17,1149,1172
2021-06-18,1093,1172
2021-06-19,1110,1172
2021-06-20,926,1172
2021-06-21,924,1172
2021-06-22,1315,1172
2021-06-23,760,1172
2021-06-24,938,1172
2021-06-25,666,1172
2021-06-26,1118,1172
2021-06-27,929,1172
2021-06-28,912,1172
2021-06-29,1257,1172
2021-06-30,833,1172
2021-07-01,1096,1172
2021-07-02,1097,1172
2021-07-03,1023,1172
2021-07-04,923,1172
2021-07-05,916,1172
2021-07-06,1304,1172
2021-07-07,1056,1172
2021-07-08,1063,1172
2021-07-09,1086,1172
2021-07-10,1056,1172
2021-07-11,956,1172
2021-07-12,919,1172
2021-07-13,1094,1172
2021-07-14,1000,1172
2021-07-15,1013,1172
2021-07-16,1094,1172
2021-07-17,1003,1172
2021-07-18,933,1172
2021-07-19,948,1172
2021-07-20,1179,1172
2021-07-21,1007,1172
2021-07-22,1041,1172
2021-07-23,1133,1172
2021-07-24,1259,1172
2021-07-25,953,1172
2021-07-26,923,1172
2021-07-27,1461,1172
2021-07-28,1058,1172
2021-07-29,1083,1172
2021-07-30,1202,1172
2021-07-31,1077,1172
2021-08-01,936,1172
2021-08-02,914,1172
2021-08-03,1360,1172
2021-08-04,1092,1172
2021-08-05,1263,1172
2021-08-06,1182,1172
2021-08-07,1263,1172
2021-08-08,912,1172
2021-08-09,964,1172
2021-08-10,1431,1172
2021-08-11,1137,1172
2021-08-12,1095,1172
2021-08-13,1219,1172
2021-08-14,1239,1172
2021-08-15,905,1172
2021-08-16,868,1172
2021-08-17,741,1172
2021-08-18,-425,1172
2021-08-19,3705,1172
2021-08-20,1313,1172
2021-08-21,1271,1172
2021-08-22,908,1172
2021-08-23,916,1172
2021-08-24,1496,1172
2021-08-25,1128,1172
2021-08-26,1205,1172
2021-08-27,1271,1172
2021-08-28,1235,1172
2021-08-29,920,1172
2021-08-30,897,1172
2021-08-31,1390,1172
2021-09-01,1141,1172
2021-09-02,1119,1172
2021-09-03,1151,1172
2021-09-04,1126,1172
2021-09-05,900,1172
2021-09-06,901,1172
2021-09-07,1259,1172
2021-09-08,1005,1172
2021-09-09,912,1172
2021-09-10,1178,1172
2021-09-11,1169,1172
2021-09-12,887,1172
2021-09-13,886,1172
2021-09-14,1336,1172
2021-09-15,1039,1172
2021-09-16,1106,1172
2021-09-17,1185,1172
2021-09-18,1094,1172
2021-09-19,886,1172
2021-09-20,870,1172
2021-09-21,1314,1172
2021-09-22,1021,1172
2021-09-23,1047,1172
2021-09-24,1074,1172
2021-09-25,953,1172
2021-09-26,887,1172
2021-09-27,881,1172
2021-09-28,1057,1172
2021-09-29,1015,1172
2021-09-30,817,1172
2021-10-01,1141,1172
2021-10-02,1036,1172
2021-10-03,978,1172
2021-10-04,875,1172
2021-10-05,1174,1172
2021-10-06,1043,1172
2021-10-07,1207,1172
2021-10-08,1164,1172
2021-10-09,1158,1172
2021-10-10,1031,1172
2021-10-11,915,1172
2021-10-12,986,1172
2021-10-13,-235,1172
2021-10-14,1701,1172
2021-10-15,1291,1172
2021-10-16,1280,1172
2021-10-17,1030,1172
2021-10-18,924,1172
2021-10-19,1183,1172
2021-10-20,1289,1172
2021-10-21,1051,1172
2021-10-22,1255,1172
2021-10-23,1202,1172
2021-10-24,946,1172
2021-10-25,930,1172
2021-10-26,1190,1172
2021-10-27,954,1172
2021-10-28,1051,1172
2021-10-29,1151,1172
2021-10-30,1176,1172
2021-10-31,864,1172
2021-11-01,1052,1172
2021-11-02,-914,1172
2021-11-03,2368,1172
2021-11-04,1452,1172
2021-11-05,1222,1172
2021-11-06,1367,1172
2021-11-07,963,1172
2021-11-08,960,1172
2021-11-09,1343,1172
2021-11-10,1053,1172
2021-11-11,1241,1172
2021-11-12,1320,1172
2021-11-13,1193,1172
2021-11-14,1036,1172
2021-11-15,973,1172
2021-11-16,1397,1172
2021-11-17,1338,1172
2021-11-18,1182,1172
2021-11-19,1268,1172
2021-11-20,1282,1172
2021-11-21,995,1172
2021-11-22,986,1172
2021-11-23,1493,1172
2021-11-24,1324,1172
2021-11-25,1305,1172
2021-11-26,1335,1172
2021-11-27,1300,1172
2021-11-28,1011,1172
2021-11-29,988,1172
2021-11-30,1448,1172
2021-12-01,1260,1172
2021-12-02,1244,1172
2021-12-03,1327,1172
2021-12-04,1492,1172
2021-12-05,1054,1172
2021-12-06,1052,1172
2021-12-07,-961,1172
2021-12-08,2552,1172
2021-12-09,-146,1172
2021-12-10,2675,1172
2021-12-11,1690,1172
2021-12-12,1046,1172
2021-12-13,1034,1172
2021-12-14,1752,1172
2021-12-15,1400,1172
2021-12-16,1282,1172
2021-12-17,1364,1172
2021-12-18,1400,1172
2021-12-19,1081,1172
2021-12-20,1056,1172
2021-12-21,1638,1172
2021-12-22,1430,1172
