Fecha;MoMoOld;MoMoNew;MoMo2019;MoMo2018;INE2018
2020-06-05;;963;1053;1039;1172
2020-06-06;;913;1077;956;1172
2020-06-07;;867;996;996;1172
2020-06-08;;887;988;979;1172
2020-06-09;;915;912;1039;1172
2020-06-10;;978;920;903;1172
2020-06-11;;923;964;975;1172
2020-06-12;;1025;953;953;1172
2020-06-13;;920;948;1007;1172
2020-06-14;;842;1023;984;1172
2020-06-15;;949;1008;1063;1172
2020-06-16;;958;855;971;1172
2020-06-17;;947;934;926;1172
2020-06-18;;1000;1027;1006;1172
2020-06-19;;916;1028;1033;1172
2020-06-20;;975;1041;1030;1172
2020-06-21;;922;961;1113;1172
2020-06-22;;924;983;1053;1172
2020-06-23;;1084;996;1064;1172
2020-06-24;;1058;938;1064;1172
2020-06-25;;1026;1000;1049;1172
2020-06-26;;1082;1009;1095;1172
2020-06-27;;1048;1072;1076;1172
2020-06-28;;927;1055;1061;1172
2020-06-29;;985;1042;1099;1172
2020-06-30;;1098;969;1002;1172
2020-07-01;;1079;1074;963;1172
2020-07-02;;1094;1115;972;1172
2020-07-03;;1048;1067;1015;1172
2020-07-04;;1020;1093;981;1172
2020-07-05;;1019;1121;1022;1172
2020-07-06;;1026;1118;1034;1172
2020-07-07;;1071;1036;958;1172
2020-07-08;;1049;1027;1016;1172
2020-07-09;;1117;992;976;1172
2020-07-10;;1120;988;1086;1172
2020-07-11;;1078;1031;1034;1172
2020-07-12;;988;1085;1026;1172
2020-07-13;;1035;1035;1059;1172
2020-07-14;;1060;930;985;1172
2020-07-15;;1041;956;916;1172
2020-07-16;;1042;1052;953;1172
2020-07-17;;1121;968;1039;1172
2020-07-18;;1117;979;987;1172
2020-07-19;;1025;995;1005;1172
2020-07-20;;1086;978;1006;1172
2020-07-21;;1082;955;970;1172
2020-07-22;;1073;926;886;1172
2020-07-23;;994;1017;888;1172
2020-07-24;;;1029;1017;1172
2020-07-25;;;1069;965;1172
2020-07-26;;;1037;1013;1172
2020-07-27;;;967;1051;1172
2020-07-28;;;931;962;1172
2020-07-29;;;945;926;1172
2020-07-30;;;954;917;1172
2020-07-31;;;984;967;1172
2020-08-01;;;999;1021;1172
2020-08-02;;;1002;1077;1172
2020-08-03;;;942;1082;1172
2020-08-04;;;904;1131;1172
2020-08-05;;;909;1142;1172
2020-08-06;;;984;1175;1172
2020-08-07;;;1051;1176;1172
2020-08-08;;;1072;1081;1172
2020-08-09;;;1037;1057;1172
2020-08-10;;;964;1101;1172
2020-08-11;;;919;1015;1172
2020-08-12;;;895;1024;1172
2020-08-13;;;972;987;1172
2020-08-14;;;953;1022;1172
2020-08-15;;;1018;985;1172
2020-08-16;;;902;1009;1172
2020-08-17;;;1036;1020;1172
2020-08-18;;;969;925;1172
2020-08-19;;;922;929;1172
2020-08-20;;;934;884;1172
2020-08-21;;;922;1043;1172
2020-08-22;;;925;973;1172
2020-08-23;;;966;1023;1172
2020-08-24;;;915;1033;1172
2020-08-25;;;910;930;1172
2020-08-26;;;924;847;1172
2020-08-27;;;947;967;1172
2020-08-28;;;910;955;1172
2020-08-29;;;947;979;1172
2020-08-30;;;990;908;1172
2020-08-31;;;978;956;1172
2020-09-01;;;815;959;1172
