Fecha;2018;2019;2020
2020-01-01;2863;2632;2510
2020-01-08;2810;2894;2662
2020-01-15;2816;2992;2772
2020-01-22;2700;3027;2672
2020-01-29;2631;2907;2688
2020-02-05;2791;2783;2489
2020-02-12;2822;2719;2288
2020-02-19;2785;2554;2362
2020-02-26;2668;2450;2307
2020-03-04;2394;2335;2181
2020-03-11;2386;2261;2359
2020-03-18;2243;2205;2440
2020-03-25;2361;2140;2540
2020-04-01;2365;2107;2654
2020-04-08;2291;2137;2610
2020-04-15;2206;2129;2386
2020-04-22;2126;2091;2308
2020-04-29;2019;2088;2169
2020-05-06;1980;2002;2168
2020-05-13;2078;1941;2055
2020-05-20;1986;1930;2060
2020-05-27;1894;1962;2315
2020-06-03;1985;1852;2008
2020-06-10;1944;1879;1851
2020-06-17;2110;1923;1925
2020-06-24;1945;1923;2089
2020-07-01;1772;1890;1980
2020-07-08;1780;1901;
2020-07-15;1827;1830;
2020-07-22;1841;1855;
2020-07-29;2258;1859;
2020-08-05;2209;1847;
2020-08-12;1948;1781;
2020-08-19;1970;1946;
2020-08-26;1770;1890;
2020-09-02;1848;1946;
2020-09-09;1816;1819;
2020-09-16;1879;1910;
2020-09-23;1842;1831;
2020-09-30;1899;1917;
2020-10-07;1953;1874;
2020-10-14;1954;1926;
2020-10-21;2005;2137;
2020-10-28;2055;2143;
2020-11-04;2141;2110;
2020-11-11;2100;2160;
2020-11-18;2078;2243;
2020-11-25;2139;2249;
2020-12-02;2160;2132;
2020-12-09;2134;2296;
2020-12-16;2256;2292;
2020-12-23;2378;2323;
