Year,INDef,INE-6545 + INE-02001,INE-35177,MoMoOld ficheros hasta 2020-05-27,MoMoOld2 ficheros hasta 2022-04-26,MoMo ficheros hasta el más actual,INE2018
2015,422944,422568,427851,,,426758.61
2016,409316,410611,406128,,,414998.83
2017,422112,424523,420589,,,429206.56
2018,428013,427721,423994,0,0,432577.71
2019,418813,410280,414914,394250,398384,424482.65
2020,493432,,498856,0,466006,498058.77
2021,450034,,447772,,428986,452053.33
2022,437258,,462406,,146179,466601.07
2023,54,,38543,,,89550.29
