pooled;;0to14;zscore;2019-14;0.51
pooled;;0to14;zscore;2019-15;1.75
pooled;;0to14;zscore;2019-16;-1.04
pooled;;0to14;zscore;2019-17;0.13
pooled;;0to14;zscore;2019-18;0.49
pooled;;0to14;zscore;2019-19;-1.56
pooled;;0to14;zscore;2019-20;-0.37
pooled;;0to14;zscore;2019-21;0.61
pooled;;0to14;zscore;2019-22;-1.2
pooled;;0to14;zscore;2019-23;0.37
pooled;;0to14;zscore;2019-24;-0.24
pooled;;0to14;zscore;2019-25;-0.57
pooled;;0to14;zscore;2019-26;0.01
pooled;;0to14;zscore;2019-27;0.42
pooled;;0to14;zscore;2019-28;1.22
pooled;;0to14;zscore;2019-29;-0.24
pooled;;0to14;zscore;2019-30;1.12
pooled;;0to14;zscore;2019-31;2.5
pooled;;0to14;zscore;2019-32;-0.8
pooled;;0to14;zscore;2019-33;0.12
pooled;;0to14;zscore;2019-34;1.46
pooled;;0to14;zscore;2019-35;0.46
pooled;;0to14;zscore;2019-36;-0.61
pooled;;0to14;zscore;2019-37;-0.35
pooled;;0to14;zscore;2019-38;1.5
pooled;;0to14;zscore;2019-39;-0.95
pooled;;0to14;zscore;2019-40;0.34
pooled;;0to14;zscore;2019-41;-0.33
pooled;;0to14;zscore;2019-42;0.04
pooled;;0to14;zscore;2019-43;1.52
pooled;;0to14;zscore;2019-44;-1.85
pooled;;0to14;zscore;2019-45;0.94
pooled;;0to14;zscore;2019-46;0.68
pooled;;0to14;zscore;2019-47;0.97
pooled;;0to14;zscore;2019-48;2.29
pooled;;0to14;zscore;2019-49;1.53
pooled;;0to14;zscore;2019-50;2.48
pooled;;0to14;zscore;2019-51;2.37
pooled;;0to14;zscore;2019-52;1.62
pooled;;0to14;zscore;2020-01;-0.53
pooled;;0to14;zscore;2020-02;1.03
pooled;;0to14;zscore;2020-03;0.62
pooled;;0to14;zscore;2020-04;1.83
pooled;;0to14;zscore;2020-05;0.81
pooled;;0to14;zscore;2020-06;0.15
pooled;;0to14;zscore;2020-07;0.54
pooled;;0to14;zscore;2020-08;0.44
pooled;;0to14;zscore;2020-09;-0.85
pooled;;0to14;zscore;2020-10;0.25
pooled;;0to14;zscore;2020-11;1.92
pooled;;0to14;zscore;2020-12;0.79
