Mes,Més de 74 anys INE2018,Més de 74 anys INE2019,Més de 74 anys MoMo2020,Més de 74 anys MoMo2021,Més de 74 anys MoMo2022,Més de 74 anys MoMo2023,Entre 65 i 74 anys INE2018,Entre 65 i 74 anys INE2019,Entre 65 i 74 anys MoMo2020,Entre 65 i 74 anys MoMo2021,Entre 65 i 74 anys MoMo2022,Entre 65 i 74 anys MoMo2023,Menys de 65 anys INE2018,Menys de 65 anys INE2019,Menys de 65 anys MoMo2020,Menys de 65 anys MoMo2021,Menys de 65 anys MoMo2022,Menys de 65 anys MoMo2023
Gener,35997,33074,32002.53,39130.99,34561.65,32234.28,6027,5665,5796.37,6841.58,6615.31,5969.94,5887,5502,5772.2,6312.01,6121.08,5468.45
Febrer,29643,27291,26853.11,29477.79,28544.98,15816.24,5081,4868,4961.65,5997.87,5448.22,2854.89,5032,4667,5090.4,5304.98,5070.94,2858.32
Març,29271,25854,44227.56,26243.7,27573.8,,5299,4773,8053.87,5509.06,5352.35,,5202,4527,6473.25,5246.22,5290.13,
Abril,25622,24729,47453.73,24656.96,26848.39,,4549,4670,7358.17,5083.3,5150.7,,4785,4671,6007.71,4908.12,4970.84,
Maig,23994,24348,25265.11,24040.62,27809.74,,4600,4616,4961.86,5139.04,5222.56,,4827,4770,5121.01,5026.12,5113.6,
Juny,22793,22608,21811.49,22968.3,27032.94,,4407,4453,4417.93,4670.93,5098.33,,4770,4703,4732.91,4858.82,5031.77,
Juliol,22947,23909,25061.67,25154.84,33342.26,,4444,4504,4814.47,4986.3,5776.38,,4824,4970,5094.6,5168.74,5677.92,
Agost,23606,22146,26033.58,27443.31,28063.97,,4696,4522,4892.74,5270.11,5221.49,,4875,4785,5326.87,5483.9,5295.71,
Setembre,21152,20787,24980.59,23096.32,22994.89,,4392,4319,4952.12,4880.94,4761.23,,4749,4559,5105.78,4974.84,4765.7,
Octubre,23345,22727,29028.56,24781.44,25495.2,,4654,4406,5635.04,4966,5140.38,,4880,4752,5582.23,4974.52,4901.62,
Novembre,24809,24164,31588.28,26703.83,25663.99,,4746,4704,5909.17,5266.58,5059.61,,4783,4655,5423.03,5108.47,5004.64,
Desembre,26777,25225,30622.97,30797.3,31169.67,,5151,4697,5986.04,5898,5864.3,,5105,4660,5660.09,5681.36,5540.57,
