2020-02-20;0
2020-02-21;0
2020-02-22;0
2020-02-23;0
2020-02-24;0
2020-02-25;0
2020-02-26;0
2020-02-27;0
2020-02-28;0
2020-02-29;0
2020-03-01;0
2020-03-02;0
2020-03-03;0
2020-03-04;0
2020-03-05;0
2020-03-06;0
2020-03-07;0
2020-03-08;28
2020-03-09;7
2020-03-10;13
2020-03-11;37
2020-03-12;39
2020-03-13;20
2020-03-14;152
2020-03-15;22
2020-03-16;179
2020-03-17;94
2020-03-18;175
2020-03-19;229
2020-03-20;354
2020-03-21;366
2020-03-22;431
2020-03-23;565
2020-03-24;596
2020-03-25;613
2020-03-26;753
2020-03-27;840
2020-03-28;710
2020-03-29;700
2020-03-30;821
2020-03-31;930
2020-04-01;872
2020-04-02;848
2020-04-03;777
2020-04-04;670
2020-04-05;628
2020-04-06;755
2020-04-07;757
2020-04-08;779
2020-04-09;647
2020-04-10;498
2020-04-11;610
2020-04-12;549
2020-04-13;536
2020-04-14;682
2020-04-15;619
2020-04-16;589
2020-04-17;556
2020-04-18;408
2020-04-19;397
2020-04-20;432
2020-04-21;434
2020-04-22;439
2020-04-23;365
2020-04-24;377
2020-04-25;286
2020-04-26;332
2020-04-27;297
2020-04-28;459
2020-04-29;265
2020-04-30;281
2020-05-01;279
2020-05-02;163
2020-05-03;164
2020-05-04;186
2020-05-05;244
2020-05-06;208
2020-05-07;229
2020-05-08;178
2020-05-09;144
2020-05-10;124
2020-05-11;172
2020-05-12;182
2020-05-13;217
2020-05-14;141
2020-05-15;100
2020-05-16;85
2020-05-17;59
2020-05-18;100
2020-05-19;99
2020-05-20;48
