Fecha,2021,2020,2019,2018
2020-06-27,1437,1566,1637,1606
2020-06-28,1469,1449,1667,1617
2020-06-29,1505,1416,1631,1582
2020-06-30,1439,1486,1695,1557
2020-07-01,1484,1503,1653,1714
2020-07-02,1501,1506,1526,1646
2020-07-03,1550,1427,1537,1677
2020-07-04,1464,1408,1538,1598
2020-07-05,1594,1544,1570,1573
2020-07-06,1549,1491,1643,1510
2020-07-07,1447,1502,1536,1520
2020-07-08,1485,1463,1447,1488
2020-07-09,1588,1607,1514,1550
2020-07-10,1566,1635,1451,1551
2020-07-11,1569,1436,1616,1451
2020-07-12,1508,1456,1570,1472
2020-07-13,1525,1487,1529,1512
2020-07-14,1383,1512,1434,1492
2020-07-15,1500,1494,1412,1491
2020-07-16,1563,1469,1474,1600
2020-07-17,1508,1524,1535,1544
2020-07-18,1584,1449,1550,1548
2020-07-19,1705,1461,1574,1605
2020-07-20,1776,1573,1615,1520
2020-07-21,1680,1517,1450,1501
2020-07-22,1666,1505,1566,1427
2020-07-23,1763,1555,1618,1540
2020-07-24,1653,1582,1702,1577
2020-07-25,1528,1592,1861,1680
2020-07-26,1618,1503,1868,1603
2020-07-27,1527,1560,1544,1703
2020-07-28,1523,1574,1474,1595
2020-07-29,1513,1535,1452,1502
2020-07-30,1600,1612,1467,1601
2020-07-31,1569,1749,1415,1560
2020-08-01,1573,1612,1502,1563
2020-08-02,1501,1513,1533,1488
2020-08-03,1565,1480,1509,1554
2020-08-04,1504,1488,1494,1651
2020-08-05,1578,1480,1493,1589
2020-08-06,1688,1613,1563,1670
2020-08-07,1588,1622,1517,1768
2020-08-08,1528,1649,1509,1661
2020-08-09,1615,1682,1631,1535
2020-08-10,1705,1836,1474,1435
2020-08-11,1631,1827,1411,1416
2020-08-12,1776,1840,1441,1514
2020-08-13,1792,1789,1427,1511
2020-08-14,1772,1602,1457,1525
2020-08-15,1703,1616,1456,1385
2020-08-16,1675,1579,1487,1462
2020-08-17,1668,1490,1512,1497
2020-08-18,1722,1600,1461,1391
2020-08-19,1602,1540,1461,1398
2020-08-20,1744,1579,1502,1549
2020-08-21,1652,1565,1524,1574
2020-08-22,1638,1524,1407,1573
2020-08-23,1625,1482,1586,1568
2020-08-24,1637,1589,1570,1495
2020-08-25,1612,1511,1566,1465
2020-08-26,1645,1610,1582,1395
2020-08-27,1615,1570,1653,1518
2020-08-28,1591,1616,1641,1582
2020-08-29,1524,1497,1587,1573
2020-08-30,1619,1416,1632,1422
2020-08-31,1568,1516,1475,1470
2020-09-01,1596,1539,1510,1399
2020-09-02,1610,1515,1476,1408
2020-09-03,1555,1554,1488,1478
2020-09-04,1596,1676,1526,1560
2020-09-05,1559,1627,1416,1611
2020-09-06,1578,1494,1473,1560
2020-09-07,,1597,1517,1606
2020-09-08,,1621,1469,1415
2020-09-09,,1666,1522,1526
2020-09-10,,1647,1525,1566
2020-09-11,,1662,1551,1559
2020-09-12,,1631,1544,1567
2020-09-13,,1676,1593,1599
2020-09-14,,1717,1520,1531
2020-09-15,,1828,1545,1527
2020-09-16,,1715,1619,1438
2020-09-17,,1670,1613,1561
2020-09-18,,1759,1479,1520
2020-09-19,,1769,1548,1562
2020-09-20,,1675,1648,1589
2020-09-21,,1661,1652,1548
2020-09-22,,1588,1589,1489
2020-09-23,,1578,1527,1506
2020-09-24,,1609,1469,1469
2020-09-25,,1585,1556,1506
2020-09-26,,1581,1610,1453
2020-09-27,,1568,1526,1612
2020-09-28,,1718,1566,1642
2020-09-29,,1707,1528,1554
2020-09-30,,1753,1577,1462
2020-10-01,,1782,1629,1572
2020-10-02,,1750,1608,1577
2020-10-03,,1741,1606,1614
2020-10-04,,1713,1596,1719
2020-10-05,,1701,1584,1645
2020-10-06,,1815,1598,1674
2020-10-07,,1705,1598,1518
2020-10-08,,1743,1624,1520
2020-10-09,,1840,1589,1655
2020-10-10,,1702,1621,1662
2020-10-11,,1628,1665,1686
2020-10-12,,1763,1626,1666
2020-10-13,,1726,1644,1601
2020-10-14,,1727,1670,1606
2020-10-15,,1801,1641,1659
2020-10-16,,1829,1669,1639
2020-10-17,,1854,1593,1595
2020-10-18,,1762,1620,1570
2020-10-19,,1872,1606,1562
2020-10-20,,1948,1625,1514
2020-10-21,,2067,1618,1482
2020-10-22,,2049,1609,1560
2020-10-23,,2017,1669,1638
2020-10-24,,1948,1650,1611
2020-10-25,,2078,1699,1660
2020-10-26,,1957,1631,1576
2020-10-27,,2098,1582,1603
2020-10-28,,2124,1624,1616
2020-10-29,,2169,1610,1598
2020-10-30,,2151,1663,1749
2020-10-31,,2153,1670,1675
2020-11-01,,2242,1704,1594
2020-11-02,,2289,1720,1603
2020-11-03,,2201,1658,1598
2020-11-04,,2214,1718,1621
2020-11-05,,2237,1629,1754
2020-11-06,,2298,1710,1696
2020-11-07,,2342,1729,1713
2020-11-08,,2314,1624,1646
2020-11-09,,2309,1784,1601
2020-11-10,,2251,1631,1676
2020-11-11,,2218,1545,1628
2020-11-12,,2296,1740,1692
2020-11-13,,2296,1735,1747
2020-11-14,,2216,1771,1606
2020-11-15,,2163,1763,1647
2020-11-16,,2282,1723,1585
2020-11-17,,2174,1722,1628
2020-11-18,,2243,1752,1579
2020-11-19,,2245,1774,1616
2020-11-20,,2100,1747,1656
2020-11-21,,2089,1751,1685
2020-11-22,,2146,1863,1625
2020-11-23,,2232,1811,1712
2020-11-24,,2228,1680,1733
2020-11-25,,2138,1780,1687
2020-11-26,,2145,1825,1671
2020-11-27,,2191,1804,1698
2020-11-28,,2062,1708,1711
2020-11-29,,1986,1819,1681
2020-11-30,,2113,1712,1679
2020-12-01,,2102,1621,1719
2020-12-02,,2101,1736,1668
2020-12-03,,2199,1787,1691
2020-12-04,,2132,1745,1686
2020-12-05,,2064,1770,1674
2020-12-06,,2117,1686,1660
2020-12-07,,2036,1774,1666
2020-12-08,,2118,1694,1642
2020-12-09,,2155,1772,1561
2020-12-10,,2125,1758,1618
2020-12-11,,2220,1718,1664
2020-12-12,,2103,1832,1741
2020-12-13,,2032,1864,1661
2020-12-14,,2130,1820,1642
2020-12-15,,2139,1699,1668
2020-12-16,,2117,1710,1750
2020-12-17,,1996,1847,1769
2020-12-18,,2040,1828,1775
2020-12-19,,1933,1812,1795
2020-12-20,,2025,1840,1766
2020-12-21,,1948,1806,1747
2020-12-22,,2081,1782,1706
2020-12-23,,2061,1786,1719
2020-12-24,,2018,1772,1719
2020-12-25,,1944,1740,1695
2020-12-26,,2023,1800,1719
2020-12-27,,2050,1814,1774
2020-12-28,,2175,1826,1834
2020-12-29,,2078,1701,1722
2020-12-30,,2058,1884,1739
2020-12-31,,2019,1799,1863
2021-01-01,,2145,,
