Fecha,2021,2020,2019,2018
2020-01-01,2145,1900,1816,2002
2020-01-02,2056,1895,1911,2111
2020-01-03,2150,1949,1850,2114
2020-01-04,2197,1825,1878,2134
2020-01-05,2175,1734,1889,2070
2020-01-06,2116,1975,1880,1991
2020-01-07,2108,1987,1966,1984
2020-01-08,2157,1939,1937,2053
2020-01-09,2170,1964,1947,2037
2020-01-10,2054,1931,1931,1944
2020-01-11,2204,1860,1911,2013
2020-01-12,2170,1784,2009,1960
2020-01-13,2189,1812,1917,1959
2020-01-14,2213,1933,1974,1902
2020-01-15,2103,1893,1955,1828
2020-01-16,2058,1880,1974,1949
2020-01-17,2012,1840,1938,1960
2020-01-18,2194,1759,1932,1915
2020-01-19,2181,1726,1909,1935
2020-01-20,2241,1789,1831,1905
2020-01-21,2323,1810,1931,1945
2020-01-22,2289,1793,2043,1865
2020-01-23,2087,1788,1980,1842
2020-01-24,2114,1845,1910,1869
2020-01-25,2115,1809,2020,1857
2020-01-26,2143,1755,2064,1800
2020-01-27,2135,1878,1987,1762
2020-01-28,2210,1816,2079,1705
2020-01-29,2246,1864,2013,1777
2020-01-30,2146,1779,2008,1811
2020-01-31,2038,1853,2028,1809
2020-02-01,2286,1742,2150,1748
2020-02-02,2048,1859,2035,1774
2020-02-03,2128,1887,1896,1725
2020-02-04,2107,1871,2032,1767
2020-02-05,2127,1743,2097,1857
2020-02-06,2041,1812,2095,1859
2020-02-07,1981,1832,2028,1842
2020-02-08,2127,1807,2067,1798
2020-02-09,2072,1718,2042,1844
2020-02-10,2086,1828,1958,1908
2020-02-11,2039,1792,2016,1844
2020-02-12,2133,1796,1972,1818
2020-02-13,2019,1776,1992,1864
2020-02-14,1977,1771,1979,1851
2020-02-15,2059,1759,2018,1786
2020-02-16,2116,1798,2000,1965
2020-02-17,2055,1874,1881,1849
2020-02-18,2094,1759,2011,1762
2020-02-19,2134,1686,2102,1953
2020-02-20,1966,1707,2007,1924
2020-02-21,1998,1762,1965,1856
2020-02-22,1925,1641,1992,1847
2020-02-23,2072,1680,1832,1949
2020-02-24,2001,1742,1833,1922
2020-02-25,1929,1704,2019,1930
2020-02-26,1918,1811,1939,2002
2020-02-27,1897,1767,1957,1966
2020-02-28,1898,1769,1925,1969
2020-02-29,,1715,,
2020-03-01,1920,1782,1872,2136
2020-03-02,2065,1786,1910,2191
2020-03-03,1873,1773,1748,2128
2020-03-04,1879,1816,1880,2090
2020-03-05,1848,1783,1868,2201
2020-03-06,1893,1847,1870,2158
2020-03-07,1770,1695,1859,2054
2020-03-08,1902,1714,1800,2106
2020-03-09,1928,1831,1774,2048
2020-03-10,1920,1840,1668,2086
2020-03-11,1839,1910,1766,1942
2020-03-12,1902,1805,1706,2047
2020-03-13,1879,1791,1691,1980
2020-03-14,1742,1789,1718,1927
2020-03-15,1924,1860,1746,1898
2020-03-16,1902,2004,1720,1907
2020-03-17,1914,2056,1635,1840
2020-03-18,1916,2015,1757,1791
2020-03-19,1948,2130,1684,1823
2020-03-20,1866,2052,1662,1792
2020-03-21,1800,1946,1701,1902
2020-03-22,1840,2016,1688,1893
2020-03-23,1936,2174,1698,1826
2020-03-24,1935,2178,1629,1885
2020-03-25,1946,2346,1665,1817
2020-03-26,1886,2390,1625,1853
2020-03-27,1850,2432,1686,1860
2020-03-28,1706,2533,1690,1827
2020-03-29,1931,2397,1664,1827
2020-03-30,1965,2690,1637,1803
2020-03-31,2015,2758,1619,1768
2020-04-01,1960,2811,1689,1781
2020-04-02,1942,2659,1701,1715
2020-04-03,1863,2778,1686,1851
2020-04-04,1839,2702,1668,1755
2020-04-05,1814,2693,1663,1762
2020-04-06,1910,2722,1649,1731
2020-04-07,1856,2659,1675,1740
2020-04-08,1886,2606,1664,1716
2020-04-09,2003,2519,1622,1735
2020-04-10,1938,2592,1667,1804
2020-04-11,1882,2442,1607,1706
2020-04-12,1824,2271,1623,1733
2020-04-13,1860,2383,1555,1670
2020-04-14,1950,2345,1519,1616
2020-04-15,1868,2260,1624,1667
2020-04-16,2057,2191,1667,1692
2020-04-17,1891,2322,1727,1642
2020-04-18,1910,2155,1614,1648
2020-04-19,1976,2022,1679,1746
2020-04-20,1962,1907,1676,1762
2020-04-21,1951,1919,1565,1755
2020-04-22,1911,1906,1659,1578
2020-04-23,1938,1893,1686,1600
2020-04-24,1921,1868,1743,1603
2020-04-25,1852,1834,1644,1577
2020-04-26,1944,1725,1621,1557
2020-04-27,1990,1691,1562,1568
2020-04-28,1930,1760,1589,1583
2020-04-29,1823,1701,1554,1574
2020-04-30,1892,1636,1557,1562
2020-05-01,1700,1539,1659,1484
2020-05-02,1733,1623,1642,1582
2020-05-03,1838,1586,1593,1469
2020-05-04,1815,1699,1587,1640
2020-05-05,1798,1655,1509,1603
2020-05-06,1879,1624,1683,1579
2020-05-07,1849,1606,1638,1589
2020-05-08,1746,1614,1597,1552
2020-05-09,1842,1540,1593,1530
2020-05-10,1803,1574,1668,1435
2020-05-11,1770,1528,1525,1571
2020-05-12,1709,1571,1568,1512
2020-05-13,1638,1602,1537,1394
2020-05-14,1700,1550,1606,1475
2020-05-15,1577,1651,1616,1486
2020-05-16,1582,1589,1613,1540
2020-05-17,1643,1524,1628,1551
2020-05-18,1678,1622,1631,1575
2020-05-19,1678,1700,1570,1518
2020-05-20,1687,1689,1645,1533
2020-05-21,1621,1731,1583,1553
2020-05-22,1597,1688,1555,1539
2020-05-23,1602,1572,1658,1608
2020-05-24,1630,1372,1648,1589
2020-05-25,1641,1533,1507,1564
2020-05-26,1598,1569,1463,1602
2020-05-27,1614,1518,1544,1569
2020-05-28,1632,1599,1532,1602
2020-05-29,1674,1528,1494,1573
2020-05-30,1568,1484,1452,1552
2020-05-31,1692,1467,1556,1485
2020-06-01,1657,1526,1574,1476
2020-06-02,1657,1599,1555,1537
2020-06-03,1571,1541,1609,1520
2020-06-04,1644,1595,1570,1505
2020-06-05,1476,1457,1511,1440
2020-06-06,1428,1556,1496,1476
2020-06-07,1591,1369,1482,1467
2020-06-08,1562,1448,1484,1568
2020-06-09,1577,1559,1448,1473
2020-06-10,1596,1501,1460,1445
2020-06-11,1545,1585,1498,1504
2020-06-12,1593,1540,1484,1517
2020-06-13,1527,1537,1554,1419
2020-06-14,1568,1489,1500,1434
2020-06-15,1643,1534,1566,1490
2020-06-16,1665,1572,1517,1454
2020-06-17,1669,1491,1620,1433
2020-06-18,1618,1540,1551,1442
2020-06-19,1557,1507,1611,1525
2020-06-20,1409,1511,1547,1557
2020-06-21,1468,1557,1477,1555
2020-06-22,1429,1629,1462,1506
2020-06-23,1473,1665,1496,1404
2020-06-24,1384,1613,1571,1470
2020-06-25,1489,1728,1575,1480
2020-06-26,1449,1739,1634,1588
