Fecha;2018;2019;2020;2021
2020-07-23;888;1017;1037;
2020-07-24;1017;1029;1079;
2020-07-25;965;1069;1108;
2020-07-26;1013;1037;1019;
2020-07-27;1051;967;1031;
2020-07-28;962;931;1114;
2020-07-29;926;945;1186;
2020-07-30;917;954;1182;
2020-07-31;967;984;1172;
2020-08-01;1021;999;1188;
2020-08-02;1077;1002;1192;
2020-08-03;1082;942;1121;
2020-08-04;1131;904;1180;
2020-08-05;1142;909;1124;
2020-08-06;1175;984;1187;
2020-08-07;1176;1051;1096;
2020-08-08;1081;1072;1157;
2020-08-09;1057;1037;1082;
2020-08-10;1101;964;1166;
2020-08-11;1015;919;1166;
2020-08-12;1024;895;1164;
2020-08-13;987;972;1116;
2020-08-14;1022;953;1113;
2020-08-15;985;1018;1046;
2020-08-16;1009;902;966;
2020-08-17;1020;1036;1032;
2020-08-18;925;969;1022;
2020-08-19;929;922;1086;
2020-08-20;884;934;1080;
2020-08-21;1043;922;1139;
2020-08-22;973;925;1102;
2020-08-23;1023;966;1026;
2020-08-24;1033;915;1057;
2020-08-25;930;910;1071;
2020-08-26;847;924;1092;
2020-08-27;967;947;1083;
2020-08-28;955;910;1188;
2020-08-29;979;947;1076;
2020-08-30;908;990;953;
2020-08-31;956;978;963;
2020-09-01;959;815;1036;
2020-09-02;871;935;1072;
2020-09-03;944;940;1069;
2020-09-04;998;998;1115;
2020-09-05;974;990;1079;
2020-09-06;922;950;1033;
2020-09-07;960;889;988;
2020-09-08;949;900;1067;
2020-09-09;862;905;1019;
2020-09-10;885;971;1112;
2020-09-11;909;912;1192;
2020-09-12;1000;950;1169;
2020-09-13;944;1008;1074;
2020-09-14;970;977;1152;
2020-09-15;975;895;1105;
2020-09-16;865;918;1162;
2020-09-17;961;991;1146;
2020-09-18;1016;929;1124;
2020-09-19;992;1010;1068;
2020-09-20;1020;920;1010;
2020-09-21;1041;941;1104;
2020-09-22;950;912;1136;
2020-09-23;899;916;1116;
2020-09-24;982;954;1081;
2020-09-25;984;960;1132;
2020-09-26;1052;940;1054;
2020-09-27;994;1018;1079;
2020-09-28;1014;960;1097;
2020-09-29;997;915;1087;
2020-09-30;935;910;1116;
2020-10-01;968;1027;1153;
2020-10-02;983;997;1128;
2020-10-03;1033;940;1143;
2020-10-04;998;987;1043;
2020-10-05;1004;931;1110;
2020-10-06;1007;873;1118;
2020-10-07;931;950;1225;
2020-10-08;911;988;1180;
2020-10-09;1025;1032;1262;
2020-10-10;1070;999;1190;
2020-10-11;1014;1069;1099;
2020-10-12;1080;1030;1060;
2020-10-13;1030;919;1157;
2020-10-14;965;979;1160;
2020-10-15;948;969;1174;
2020-10-16;1005;1065;1229;
2020-10-17;1061;1067;1208;
2020-10-18;1045;1046;1154;
2020-10-19;1024;954;1275;
2020-10-20;997;915;1314;
2020-10-21;962;978;1333;
2020-10-22;931;1103;1302;
2020-10-23;1040;988;1306;
2020-10-24;965;1050;1265;
2020-10-25;986;1011;1242;
2020-10-26;1018;1047;1230;
2020-10-27;1044;949;1312;
2020-10-28;1063;1013;1258;
2020-10-29;1033;1068;1322;
2020-10-30;1036;991;1370;
2020-10-31;1101;1054;1415;
2020-11-01;1067;1106;1266;
2020-11-02;1063;1097;1368;
2020-11-03;1135;993;1430;
2020-11-04;1059;1061;1401;
2020-11-05;1030;1071;1422;
2020-11-06;1098;1005;1484;
2020-11-07;1113;1012;1371;
2020-11-08;1081;1108;1366;
2020-11-09;1152;1061;1355;
2020-11-10;1106;1026;1412;
2020-11-11;1120;1018;1382;
2020-11-12;1090;1102;1367;
2020-11-13;1139;1119;1424;
2020-11-14;1044;1161;1277;
2020-11-15;1102;1107;1325;
2020-11-16;1151;1095;1361;
2020-11-17;1119;1058;1374;
2020-11-18;997;1055;1371;
2020-11-19;1044;1152;1346;
2020-11-20;1115;1162;1365;
2020-11-21;1077;1131;1252;
2020-11-22;1104;1178;1191;
2020-11-23;1095;1151;1298;
2020-11-24;1104;987;1279;
2020-11-25;1039;1084;1289;
2020-11-26;1078;1181;1428;
2020-11-27;1075;1145;1361;
2020-11-28;1089;1172;1243;
2020-11-29;1145;1180;1173;
2020-11-30;1119;1087;1220;
2020-12-01;1117;1061;1282;
2020-12-02;1043;1061;1371;
2020-12-03;1081;1135;1362;
2020-12-04;1114;1099;1341;
2020-12-05;1233;1102;1288;
2020-12-06;1095;1099;1242;
2020-12-07;1061;1046;1215;
2020-12-08;1100;1068;1272;
2020-12-09;985;1091;1315;
2020-12-10;1126;1084;1360;
2020-12-11;1061;1166;1384;
2020-12-12;1229;1157;1275;
2020-12-13;1189;1215;1233;
2020-12-14;1172;1114;1294;
2020-12-15;1124;1104;1337;
2020-12-16;1072;1088;1280;
2020-12-17;1088;1086;1227;
2020-12-18;1138;1162;1352;
2020-12-19;1161;1108;1245;
2020-12-20;1217;1217;1235;
2020-12-21;1156;1130;1182;
2020-12-22;1197;1042;1219;
2020-12-23;1165;1066;1249;
2020-12-24;1129;1114;1166;
2020-12-25;1112;1080;1199;
2020-12-26;1173;1065;1151;
2020-12-27;1227;1154;1152;
2020-12-28;1263;1056;1200;
2020-12-29;1237;1038;1232;
2020-12-30;1163;1042;1245;
2020-12-31;1111;1105;1249;
2021-01-01;;;1201;
