Sexo;Comunidades y provincias;Edad (hasta 100 y más);Total
Ambos sexos;Segovia;85-89;4.844
Ambos sexos;Segovia;90-94;2.474
Ambos sexos;Segovia;95-99;729
Ambos sexos;Segovia;100 y más;105
Ambos sexos;Soria;Total;88.871
Ambos sexos;Soria;0-4;3.193
Ambos sexos;Soria;5-9;3.626
Ambos sexos;Soria;10-14;3.933
Ambos sexos;Soria;15-19;4.032
Ambos sexos;Soria;20-24;4.176
Ambos sexos;Soria;25-29;4.177
Ambos sexos;Soria;30-34;4.616
Ambos sexos;Soria;35-39;5.246
Ambos sexos;Soria;40-44;6.326
Ambos sexos;Soria;45-49;6.470
Ambos sexos;Soria;50-54;7.110
Ambos sexos;Soria;55-59;7.149
Ambos sexos;Soria;60-64;6.078
Ambos sexos;Soria;65-69;4.948
Ambos sexos;Soria;70-74;4.436
Ambos sexos;Soria;75-79;4.040
Ambos sexos;Soria;80-84;3.457
Ambos sexos;Soria;85-89;3.349
Ambos sexos;Soria;90-94;1.830
Ambos sexos;Soria;95-99;580
Ambos sexos;Soria;100 y más;99
Ambos sexos;Valladolid;Total;520.535
Ambos sexos;Valladolid;0-4;18.834
Ambos sexos;Valladolid;5-9;23.655
Ambos sexos;Valladolid;10-14;25.128
Ambos sexos;Valladolid;15-19;23.499
Ambos sexos;Valladolid;20-24;22.130
Ambos sexos;Valladolid;25-29;22.922
Ambos sexos;Valladolid;30-34;25.631
Ambos sexos;Valladolid;35-39;33.612
Ambos sexos;Valladolid;40-44;43.531
Ambos sexos;Valladolid;45-49;43.619
Ambos sexos;Valladolid;50-54;41.701
Ambos sexos;Valladolid;55-59;39.001
Ambos sexos;Valladolid;60-64;35.870
Ambos sexos;Valladolid;65-69;31.102
Ambos sexos;Valladolid;70-74;29.311
Ambos sexos;Valladolid;75-79;23.598
Ambos sexos;Valladolid;80-84;16.429
Ambos sexos;Valladolid;85-89;12.866
Ambos sexos;Valladolid;90-94;6.064
Ambos sexos;Valladolid;95-99;1.799
Ambos sexos;Valladolid;100 y más;233
Ambos sexos;Zamora;Total;170.560
Ambos sexos;Zamora;0-4;4.428
Ambos sexos;Zamora;5-9;5.399
Ambos sexos;Zamora;10-14;5.951
Ambos sexos;Zamora;15-19;6.353
Ambos sexos;Zamora;20-24;6.783
Ambos sexos;Zamora;25-29;7.279
Ambos sexos;Zamora;30-34;7.986
Ambos sexos;Zamora;35-39;9.623
Ambos sexos;Zamora;40-44;11.653
Ambos sexos;Zamora;45-49;11.789
Ambos sexos;Zamora;50-54;13.083
Ambos sexos;Zamora;55-59;14.168
Ambos sexos;Zamora;60-64;13.018
Ambos sexos;Zamora;65-69;11.216
Ambos sexos;Zamora;70-74;10.666
Ambos sexos;Zamora;75-79;9.841
Ambos sexos;Zamora;80-84;8.657
Ambos sexos;Zamora;85-89;7.694
Ambos sexos;Zamora;90-94;3.749
Ambos sexos;Zamora;95-99;1.080
Ambos sexos;Zamora;100 y más;144
Ambos sexos;CASTILLA - LA MANCHA;Total;2.044.408
Ambos sexos;CASTILLA - LA MANCHA;0-4;86.193
Ambos sexos;CASTILLA - LA MANCHA;5-9;103.989
Ambos sexos;CASTILLA - LA MANCHA;10-14;112.933
Ambos sexos;CASTILLA - LA MANCHA;15-19;106.832
Ambos sexos;CASTILLA - LA MANCHA;20-24;106.684
Ambos sexos;CASTILLA - LA MANCHA;25-29;111.321
Ambos sexos;CASTILLA - LA MANCHA;30-34;121.014
Ambos sexos;CASTILLA - LA MANCHA;35-39;144.796
Ambos sexos;CASTILLA - LA MANCHA;40-44;167.980
Ambos sexos;CASTILLA - LA MANCHA;45-49;162.528
Ambos sexos;CASTILLA - LA MANCHA;50-54;158.714
Ambos sexos;CASTILLA - LA MANCHA;55-59;148.704
Ambos sexos;CASTILLA - LA MANCHA;60-64;122.499
Ambos sexos;CASTILLA - LA MANCHA;65-69;95.927
Ambos sexos;CASTILLA - LA MANCHA;70-74;85.788
Ambos sexos;CASTILLA - LA MANCHA;75-79;73.304
Ambos sexos;CASTILLA - LA MANCHA;80-84;57.282
Ambos sexos;CASTILLA - LA MANCHA;85-89;48.968
Ambos sexos;CASTILLA - LA MANCHA;90-94;22.604
Ambos sexos;CASTILLA - LA MANCHA;95-99;5.582
Ambos sexos;CASTILLA - LA MANCHA;100 y más;766
Ambos sexos;Albacete;Total;388.126
Ambos sexos;Albacete;0-4;15.792
Ambos sexos;Albacete;5-9;18.597
Ambos sexos;Albacete;10-14;20.214
Ambos sexos;Albacete;15-19;20.198
Ambos sexos;Albacete;20-24;21.206
Ambos sexos;Albacete;25-29;21.966
Ambos sexos;Albacete;30-34;22.891
Ambos sexos;Albacete;35-39;26.154
Ambos sexos;Albacete;40-44;30.836
Ambos sexos;Albacete;45-49;30.655
Ambos sexos;Albacete;50-54;31.076
Ambos sexos;Albacete;55-59;29.531
Ambos sexos;Albacete;60-64;23.635
Ambos sexos;Albacete;65-69;18.479
Ambos sexos;Albacete;70-74;16.594
Ambos sexos;Albacete;75-79;14.747
Ambos sexos;Albacete;80-84;11.431
Ambos sexos;Albacete;85-89;9.074
Ambos sexos;Albacete;90-94;4.010
Ambos sexos;Albacete;95-99;896
Ambos sexos;Albacete;100 y más;144
Ambos sexos;Ciudad Real;Total;494.895
Ambos sexos;Ciudad Real;0-4;19.790
Ambos sexos;Ciudad Real;5-9;23.452
Ambos sexos;Ciudad Real;10-14;25.932
Ambos sexos;Ciudad Real;15-19;24.847
Ambos sexos;Ciudad Real;20-24;26.619
Ambos sexos;Ciudad Real;25-29;28.282
Ambos sexos;Ciudad Real;30-34;29.508
Ambos sexos;Ciudad Real;35-39;33.327
Ambos sexos;Ciudad Real;40-44;37.328
Ambos sexos;Ciudad Real;45-49;37.303
Ambos sexos;Ciudad Real;50-54;38.768
Ambos sexos;Ciudad Real;55-59;37.796
Ambos sexos;Ciudad Real;60-64;31.248
Ambos sexos;Ciudad Real;65-69;24.610
Ambos sexos;Ciudad Real;70-74;22.549
Ambos sexos;Ciudad Real;75-79;19.075
Ambos sexos;Ciudad Real;80-84;14.968
Ambos sexos;Ciudad Real;85-89;12.570
Ambos sexos;Ciudad Real;90-94;5.476
Ambos sexos;Ciudad Real;95-99;1.270
Ambos sexos;Ciudad Real;100 y más;177
Ambos sexos;Cuenca;Total;195.981
Ambos sexos;Cuenca;0-4;6.746
Ambos sexos;Cuenca;5-9;8.166
Ambos sexos;Cuenca;10-14;9.042
Ambos sexos;Cuenca;15-19;9.548
Ambos sexos;Cuenca;20-24;10.207
Ambos sexos;Cuenca;25-29;10.695
Ambos sexos;Cuenca;30-34;11.214
Ambos sexos;Cuenca;35-39;12.342
Ambos sexos;Cuenca;40-44;14.199
Ambos sexos;Cuenca;45-49;14.419
Ambos sexos;Cuenca;50-54;15.579
Ambos sexos;Cuenca;55-59;15.706
Ambos sexos;Cuenca;60-64;12.554
Ambos sexos;Cuenca;65-69;9.920
Ambos sexos;Cuenca;70-74;9.029
Ambos sexos;Cuenca;75-79;8.881
Ambos sexos;Cuenca;80-84;7.352
Ambos sexos;Cuenca;85-89;6.578
Ambos sexos;Cuenca;90-94;2.990
Ambos sexos;Cuenca;95-99;715
Ambos sexos;Cuenca;100 y más;99
Ambos sexos;Guadalajara;Total;261.960
Ambos sexos;Guadalajara;0-4;12.045
Ambos sexos;Guadalajara;5-9;14.720
Ambos sexos;Guadalajara;10-14;15.710
Ambos sexos;Guadalajara;15-19;14.395
Ambos sexos;Guadalajara;20-24;12.919
Ambos sexos;Guadalajara;25-29;13.428
Ambos sexos;Guadalajara;30-34;15.628
Ambos sexos;Guadalajara;35-39;20.179
Ambos sexos;Guadalajara;40-44;24.533
Ambos sexos;Guadalajara;45-49;22.939
Ambos sexos;Guadalajara;50-54;20.549
Ambos sexos;Guadalajara;55-59;17.989
Ambos sexos;Guadalajara;60-64;14.688
Ambos sexos;Guadalajara;65-69;11.055
Ambos sexos;Guadalajara;70-74;9.222
Ambos sexos;Guadalajara;75-79;7.176
Ambos sexos;Guadalajara;80-84;5.674
Ambos sexos;Guadalajara;85-89;5.316
Ambos sexos;Guadalajara;90-94;2.847
Ambos sexos;Guadalajara;95-99;838
Ambos sexos;Guadalajara;100 y más;110
Ambos sexos;Toledo;Total;703.446
Ambos sexos;Toledo;0-4;31.820
Ambos sexos;Toledo;5-9;39.054
Ambos sexos;Toledo;10-14;42.035
Ambos sexos;Toledo;15-19;37.844
Ambos sexos;Toledo;20-24;35.733
Ambos sexos;Toledo;25-29;36.950
Ambos sexos;Toledo;30-34;41.773
Ambos sexos;Toledo;35-39;52.794
Ambos sexos;Toledo;40-44;61.084
Ambos sexos;Toledo;45-49;57.212
Ambos sexos;Toledo;50-54;52.742
Ambos sexos;Toledo;55-59;47.682
Ambos sexos;Toledo;60-64;40.374
Ambos sexos;Toledo;65-69;31.863
Ambos sexos;Toledo;70-74;28.394
Ambos sexos;Toledo;75-79;23.425
Ambos sexos;Toledo;80-84;17.857
Ambos sexos;Toledo;85-89;15.430
Ambos sexos;Toledo;90-94;7.281
Ambos sexos;Toledo;95-99;1.863
Ambos sexos;Toledo;100 y más;236
Ambos sexos;CATALUÑA;Total;7.778.362
Ambos sexos;CATALUÑA;0-4;340.035
Ambos sexos;CATALUÑA;5-9;397.097
Ambos sexos;CATALUÑA;10-14;427.910
Ambos sexos;CATALUÑA;15-19;402.314
Ambos sexos;CATALUÑA;20-24;396.597
Ambos sexos;CATALUÑA;25-29;442.104
Ambos sexos;CATALUÑA;30-34;480.592
Ambos sexos;CATALUÑA;35-39;563.797
Ambos sexos;CATALUÑA;40-44;672.823
Ambos sexos;CATALUÑA;45-49;643.621
Ambos sexos;CATALUÑA;50-54;576.860
Ambos sexos;CATALUÑA;55-59;514.731
Ambos sexos;CATALUÑA;60-64;451.648
Ambos sexos;CATALUÑA;65-69;385.814
Ambos sexos;CATALUÑA;70-74;357.095
Ambos sexos;CATALUÑA;75-79;278.117
Ambos sexos;CATALUÑA;80-84;197.173
Ambos sexos;CATALUÑA;85-89;158.140
Ambos sexos;CATALUÑA;90-94;71.001
Ambos sexos;CATALUÑA;95-99;18.368
Ambos sexos;CATALUÑA;100 y más;2.525
Ambos sexos;Barcelona;Total;5.742.445
Ambos sexos;Barcelona;0-4;248.106
Ambos sexos;Barcelona;5-9;288.968
Ambos sexos;Barcelona;10-14;311.916
Ambos sexos;Barcelona;15-19;294.871
Ambos sexos;Barcelona;20-24;293.008
Ambos sexos;Barcelona;25-29;332.889
Ambos sexos;Barcelona;30-34;360.817
Ambos sexos;Barcelona;35-39;418.307
Ambos sexos;Barcelona;40-44;497.284
Ambos sexos;Barcelona;45-49;478.366
Ambos sexos;Barcelona;50-54;425.049
Ambos sexos;Barcelona;55-59;375.434
Ambos sexos;Barcelona;60-64;330.085
Ambos sexos;Barcelona;65-69;282.404
Ambos sexos;Barcelona;70-74;265.197
Ambos sexos;Barcelona;75-79;207.713
Ambos sexos;Barcelona;80-84;147.940
Ambos sexos;Barcelona;85-89;116.753
Ambos sexos;Barcelona;90-94;51.919
Ambos sexos;Barcelona;95-99;13.571
Ambos sexos;Barcelona;100 y más;1.848
Ambos sexos;Girona;Total;781.187
Ambos sexos;Girona;0-4;36.374
Ambos sexos;Girona;5-9;42.356
Ambos sexos;Girona;10-14;45.093
Ambos sexos;Girona;15-19;41.983
Ambos sexos;Girona;20-24;40.861
Ambos sexos;Girona;25-29;43.676
Ambos sexos;Girona;30-34;46.826
Ambos sexos;Girona;35-39;56.403
Ambos sexos;Girona;40-44;66.951
Ambos sexos;Girona;45-49;63.183
Ambos sexos;Girona;50-54;57.769
Ambos sexos;Girona;55-59;53.044
Ambos sexos;Girona;60-64;46.352
Ambos sexos;Girona;65-69;39.153
Ambos sexos;Girona;70-74;34.047
Ambos sexos;Girona;75-79;25.675
Ambos sexos;Girona;80-84;17.951
Ambos sexos;Girona;85-89;14.803
Ambos sexos;Girona;90-94;6.764
Ambos sexos;Girona;95-99;1.663
Ambos sexos;Girona;100 y más;260
Ambos sexos;Lleida;Total;438.196
Ambos sexos;Lleida;0-4;19.096
Ambos sexos;Lleida;5-9;22.504
Ambos sexos;Lleida;10-14;23.764
Ambos sexos;Lleida;15-19;22.093
Ambos sexos;Lleida;20-24;22.314
Ambos sexos;Lleida;25-29;23.465
Ambos sexos;Lleida;30-34;25.709
Ambos sexos;Lleida;35-39;30.580
Ambos sexos;Lleida;40-44;37.439
Ambos sexos;Lleida;45-49;35.435
Ambos sexos;Lleida;50-54;33.261
Ambos sexos;Lleida;55-59;31.129
Ambos sexos;Lleida;60-64;26.245
Ambos sexos;Lleida;65-69;21.825
Ambos sexos;Lleida;70-74;19.284
Ambos sexos;Lleida;75-79;15.492
Ambos sexos;Lleida;80-84;11.497
Ambos sexos;Lleida;85-89;10.671
Ambos sexos;Lleida;90-94;4.942
Ambos sexos;Lleida;95-99;1.272
Ambos sexos;Lleida;100 y más;179
Ambos sexos;Tarragona;Total;816.534
Ambos sexos;Tarragona;0-4;36.459
Ambos sexos;Tarragona;5-9;43.269
Ambos sexos;Tarragona;10-14;47.137
Ambos sexos;Tarragona;15-19;43.367
Ambos sexos;Tarragona;20-24;40.414
Ambos sexos;Tarragona;25-29;42.074
Ambos sexos;Tarragona;30-34;47.240
Ambos sexos;Tarragona;35-39;58.507
Ambos sexos;Tarragona;40-44;71.149
Ambos sexos;Tarragona;45-49;66.637
Ambos sexos;Tarragona;50-54;60.781
Ambos sexos;Tarragona;55-59;55.124
Ambos sexos;Tarragona;60-64;48.966
Ambos sexos;Tarragona;65-69;42.432
Ambos sexos;Tarragona;70-74;38.567
Ambos sexos;Tarragona;75-79;29.237
Ambos sexos;Tarragona;80-84;19.785
Ambos sexos;Tarragona;85-89;15.913
Ambos sexos;Tarragona;90-94;7.376
Ambos sexos;Tarragona;95-99;1.862
Ambos sexos;Tarragona;100 y más;238
Ambos sexos;COMUNITAT VALENCIANA;Total;5.054.796
Ambos sexos;COMUNITAT VALENCIANA;0-4;207.070
Ambos sexos;COMUNITAT VALENCIANA;5-9;249.103
Ambos sexos;COMUNITAT VALENCIANA;10-14;277.526
Ambos sexos;COMUNITAT VALENCIANA;15-19;258.652
Ambos sexos;COMUNITAT VALENCIANA;20-24;250.349
Ambos sexos;COMUNITAT VALENCIANA;25-29;265.500
Ambos sexos;COMUNITAT VALENCIANA;30-34;291.440
Ambos sexos;COMUNITAT VALENCIANA;35-39;357.026
Ambos sexos;COMUNITAT VALENCIANA;40-44;433.026
Ambos sexos;COMUNITAT VALENCIANA;45-49;418.238
Ambos sexos;COMUNITAT VALENCIANA;50-54;393.411
Ambos sexos;COMUNITAT VALENCIANA;55-59;358.671
Ambos sexos;COMUNITAT VALENCIANA;60-64;313.231
Ambos sexos;COMUNITAT VALENCIANA;65-69;267.291
Ambos sexos;COMUNITAT VALENCIANA;70-74;243.572
Ambos sexos;COMUNITAT VALENCIANA;75-79;194.153
Ambos sexos;COMUNITAT VALENCIANA;80-84;132.216
Ambos sexos;COMUNITAT VALENCIANA;85-89;94.986
Ambos sexos;COMUNITAT VALENCIANA;90-94;38.947
Ambos sexos;COMUNITAT VALENCIANA;95-99;8.995
Ambos sexos;COMUNITAT VALENCIANA;100 y más;1.393
Ambos sexos;Alicante/Alacant;Total;1.878.840
Ambos sexos;Alicante/Alacant;0-4;77.104
Ambos sexos;Alicante/Alacant;5-9;91.530
Ambos sexos;Alicante/Alacant;10-14;102.416
Ambos sexos;Alicante/Alacant;15-19;96.118
Ambos sexos;Alicante/Alacant;20-24;92.953
Ambos sexos;Alicante/Alacant;25-29;98.567
Ambos sexos;Alicante/Alacant;30-34;109.902
Ambos sexos;Alicante/Alacant;35-39;132.201
Ambos sexos;Alicante/Alacant;40-44;156.259
Ambos sexos;Alicante/Alacant;45-49;152.660
Ambos sexos;Alicante/Alacant;50-54;144.228
Ambos sexos;Alicante/Alacant;55-59;133.919
Ambos sexos;Alicante/Alacant;60-64;118.132
Ambos sexos;Alicante/Alacant;65-69;103.468
Ambos sexos;Alicante/Alacant;70-74;95.673
Ambos sexos;Alicante/Alacant;75-79;74.355
Ambos sexos;Alicante/Alacant;80-84;49.175
Ambos sexos;Alicante/Alacant;85-89;33.271
Ambos sexos;Alicante/Alacant;90-94;13.307
Ambos sexos;Alicante/Alacant;95-99;3.056
Ambos sexos;Alicante/Alacant;100 y más;546
Ambos sexos;Castellón/Castelló;Total;585.570
Ambos sexos;Castellón/Castelló;0-4;24.803
Ambos sexos;Castellón/Castelló;5-9;29.369
Ambos sexos;Castellón/Castelló;10-14;32.298
Ambos sexos;Castellón/Castelló;15-19;29.763
Ambos sexos;Castellón/Castelló;20-24;28.649
Ambos sexos;Castellón/Castelló;25-29;29.705
Ambos sexos;Castellón/Castelló;30-34;33.112
Ambos sexos;Castellón/Castelló;35-39;41.241
Ambos sexos;Castellón/Castelló;40-44;51.204
Ambos sexos;Castellón/Castelló;45-49;48.722
Ambos sexos;Castellón/Castelló;50-54;46.500
Ambos sexos;Castellón/Castelló;55-59;41.217
Ambos sexos;Castellón/Castelló;60-64;35.672
Ambos sexos;Castellón/Castelló;65-69;30.011
Ambos sexos;Castellón/Castelló;70-74;27.514
Ambos sexos;Castellón/Castelló;75-79;22.106
Ambos sexos;Castellón/Castelló;80-84;15.178
Ambos sexos;Castellón/Castelló;85-89;12.038
Ambos sexos;Castellón/Castelló;90-94;5.120
Ambos sexos;Castellón/Castelló;95-99;1.182
Ambos sexos;Castellón/Castelló;100 y más;166
Ambos sexos;Valencia/València;Total;2.590.386
Ambos sexos;Valencia/València;0-4;105.163
Ambos sexos;Valencia/València;5-9;128.204
Ambos sexos;Valencia/València;10-14;142.812
Ambos sexos;Valencia/València;15-19;132.771
Ambos sexos;Valencia/València;20-24;128.747
Ambos sexos;Valencia/València;25-29;137.228
Ambos sexos;Valencia/València;30-34;148.426
Ambos sexos;Valencia/València;35-39;183.584
Ambos sexos;Valencia/València;40-44;225.563
Ambos sexos;Valencia/València;45-49;216.856
Ambos sexos;Valencia/València;50-54;202.683
Ambos sexos;Valencia/València;55-59;183.535
Ambos sexos;Valencia/València;60-64;159.427
Ambos sexos;Valencia/València;65-69;133.812
Ambos sexos;Valencia/València;70-74;120.385
Ambos sexos;Valencia/València;75-79;97.692
Ambos sexos;Valencia/València;80-84;67.863
Ambos sexos;Valencia/València;85-89;49.677
Ambos sexos;Valencia/València;90-94;20.520
Ambos sexos;Valencia/València;95-99;4.757
Ambos sexos;Valencia/València;100 y más;681
Ambos sexos;EXTREMADURA;Total;1.063.575
Ambos sexos;EXTREMADURA;0-4;40.851
Ambos sexos;EXTREMADURA;5-9;47.965
Ambos sexos;EXTREMADURA;10-14;53.326
Ambos sexos;EXTREMADURA;15-19;52.948
Ambos sexos;EXTREMADURA;20-24;54.500
Ambos sexos;EXTREMADURA;25-29;58.775
Ambos sexos;EXTREMADURA;30-34;62.892
Ambos sexos;EXTREMADURA;35-39;70.542
Ambos sexos;EXTREMADURA;40-44;78.299
Ambos sexos;EXTREMADURA;45-49;81.145
Ambos sexos;EXTREMADURA;50-54;84.756
Ambos sexos;EXTREMADURA;55-59;84.424
Ambos sexos;EXTREMADURA;60-64;69.926
Ambos sexos;EXTREMADURA;65-69;55.353
Ambos sexos;EXTREMADURA;70-74;49.689
Ambos sexos;EXTREMADURA;75-79;42.180
Ambos sexos;EXTREMADURA;80-84;34.036
Ambos sexos;EXTREMADURA;85-89;27.440
Ambos sexos;EXTREMADURA;90-94;11.444
Ambos sexos;EXTREMADURA;95-99;2.680
Ambos sexos;EXTREMADURA;100 y más;404
Ambos sexos;Badajoz;Total;672.077
Ambos sexos;Badajoz;0-4;27.774
Ambos sexos;Badajoz;5-9;32.029
Ambos sexos;Badajoz;10-14;35.177
Ambos sexos;Badajoz;15-19;34.549
Ambos sexos;Badajoz;20-24;35.778
Ambos sexos;Badajoz;25-29;38.871
Ambos sexos;Badajoz;30-34;40.970
Ambos sexos;Badajoz;35-39;45.657
Ambos sexos;Badajoz;40-44;50.603
Ambos sexos;Badajoz;45-49;51.980
Ambos sexos;Badajoz;50-54;52.987
Ambos sexos;Badajoz;55-59;51.694
Ambos sexos;Badajoz;60-64;42.016
Ambos sexos;Badajoz;65-69;33.356
Ambos sexos;Badajoz;70-74;30.606
Ambos sexos;Badajoz;75-79;25.315
Ambos sexos;Badajoz;80-84;19.800
Ambos sexos;Badajoz;85-89;15.288
Ambos sexos;Badajoz;90-94;6.111
Ambos sexos;Badajoz;95-99;1.355
Ambos sexos;Badajoz;100 y más;161
Ambos sexos;Cáceres;Total;391.498
Ambos sexos;Cáceres;0-4;13.077
Ambos sexos;Cáceres;5-9;15.936
Ambos sexos;Cáceres;10-14;18.149
Ambos sexos;Cáceres;15-19;18.399
Ambos sexos;Cáceres;20-24;18.722
Ambos sexos;Cáceres;25-29;19.904
Ambos sexos;Cáceres;30-34;21.922
Ambos sexos;Cáceres;35-39;24.885
Ambos sexos;Cáceres;40-44;27.696
Ambos sexos;Cáceres;45-49;29.165
Ambos sexos;Cáceres;50-54;31.769
Ambos sexos;Cáceres;55-59;32.730
Ambos sexos;Cáceres;60-64;27.910
Ambos sexos;Cáceres;65-69;21.997
Ambos sexos;Cáceres;70-74;19.083
Ambos sexos;Cáceres;75-79;16.865
Ambos sexos;Cáceres;80-84;14.236
Ambos sexos;Cáceres;85-89;12.152
Ambos sexos;Cáceres;90-94;5.333
Ambos sexos;Cáceres;95-99;1.325
Ambos sexos;Cáceres;100 y más;243
Ambos sexos;GALICIA;Total;2.700.269
Ambos sexos;GALICIA;0-4;91.173
Ambos sexos;GALICIA;5-9;107.957
Ambos sexos;GALICIA;10-14;116.882
Ambos sexos;GALICIA;15-19;110.810
Ambos sexos;GALICIA;20-24;108.408
Ambos sexos;GALICIA;25-29;122.303
Ambos sexos;GALICIA;30-34;140.992
Ambos sexos;GALICIA;35-39;182.238
Ambos sexos;GALICIA;40-44;225.199
Ambos sexos;GALICIA;45-49;217.803
Ambos sexos;GALICIA;50-54;209.016
Ambos sexos;GALICIA;55-59;196.714
Ambos sexos;GALICIA;60-64;183.089
Ambos sexos;GALICIA;65-69;163.706
Ambos sexos;GALICIA;70-74;159.256
Ambos sexos;GALICIA;75-79;130.453
Ambos sexos;GALICIA;80-84;101.960
Ambos sexos;GALICIA;85-89;83.874
Ambos sexos;GALICIA;90-94;36.803
Ambos sexos;GALICIA;95-99;9.789
Ambos sexos;GALICIA;100 y más;1.844
Ambos sexos;Coruña, A;Total;1.121.695
Ambos sexos;Coruña, A;0-4;39.233
Ambos sexos;Coruña, A;5-9;45.901
Ambos sexos;Coruña, A;10-14;49.110
Ambos sexos;Coruña, A;15-19;45.741
Ambos sexos;Coruña, A;20-24;44.555
Ambos sexos;Coruña, A;25-29;49.911
Ambos sexos;Coruña, A;30-34;58.336
Ambos sexos;Coruña, A;35-39;77.083
Ambos sexos;Coruña, A;40-44;94.991
Ambos sexos;Coruña, A;45-49;92.265
Ambos sexos;Coruña, A;50-54;87.306
Ambos sexos;Coruña, A;55-59;81.986
Ambos sexos;Coruña, A;60-64;76.050
Ambos sexos;Coruña, A;65-69;67.941
Ambos sexos;Coruña, A;70-74;66.142
Ambos sexos;Coruña, A;75-79;53.483
Ambos sexos;Coruña, A;80-84;40.861
Ambos sexos;Coruña, A;85-89;32.842
Ambos sexos;Coruña, A;90-94;13.895
Ambos sexos;Coruña, A;95-99;3.518
Ambos sexos;Coruña, A;100 y más;545
Ambos sexos;Lugo;Total;327.874
Ambos sexos;Lugo;0-4;10.181
Ambos sexos;Lugo;5-9;11.288
Ambos sexos;Lugo;10-14;11.578
Ambos sexos;Lugo;15-19;11.410
Ambos sexos;Lugo;20-24;12.033
Ambos sexos;Lugo;25-29;14.304
Ambos sexos;Lugo;30-34;17.012
Ambos sexos;Lugo;35-39;21.085
Ambos sexos;Lugo;40-44;24.467
Ambos sexos;Lugo;45-49;23.968
Ambos sexos;Lugo;50-54;25.102
Ambos sexos;Lugo;55-59;25.425
Ambos sexos;Lugo;60-64;23.801
Ambos sexos;Lugo;65-69;20.882
Ambos sexos;Lugo;70-74;19.648
Ambos sexos;Lugo;75-79;17.890
Ambos sexos;Lugo;80-84;15.562
Ambos sexos;Lugo;85-89;13.616
Ambos sexos;Lugo;90-94;6.594
Ambos sexos;Lugo;95-99;1.727
Ambos sexos;Lugo;100 y más;301
Ambos sexos;Ourense;Total;306.515
Ambos sexos;Ourense;0-4;8.563
Ambos sexos;Ourense;5-9;10.256
Ambos sexos;Ourense;10-14;11.135
Ambos sexos;Ourense;15-19;10.950
Ambos sexos;Ourense;20-24;11.393
Ambos sexos;Ourense;25-29;13.136
Ambos sexos;Ourense;30-34;14.905
Ambos sexos;Ourense;35-39;18.319
Ambos sexos;Ourense;40-44;22.263
Ambos sexos;Ourense;45-49;21.914
Ambos sexos;Ourense;50-54;22.759
Ambos sexos;Ourense;55-59;22.708
Ambos sexos;Ourense;60-64;21.548
Ambos sexos;Ourense;65-69;20.438
Ambos sexos;Ourense;70-74;20.793
Ambos sexos;Ourense;75-79;18.593
Ambos sexos;Ourense;80-84;15.214
Ambos sexos;Ourense;85-89;13.344
Ambos sexos;Ourense;90-94;6.132
Ambos sexos;Ourense;95-99;1.783
Ambos sexos;Ourense;100 y más;369
Ambos sexos;Pontevedra;Total;944.185
Ambos sexos;Pontevedra;0-4;33.196
Ambos sexos;Pontevedra;5-9;40.512
Ambos sexos;Pontevedra;10-14;45.059
Ambos sexos;Pontevedra;15-19;42.709
Ambos sexos;Pontevedra;20-24;40.427
Ambos sexos;Pontevedra;25-29;44.952
Ambos sexos;Pontevedra;30-34;50.739
Ambos sexos;Pontevedra;35-39;65.751
Ambos sexos;Pontevedra;40-44;83.478
Ambos sexos;Pontevedra;45-49;79.656
Ambos sexos;Pontevedra;50-54;73.849
Ambos sexos;Pontevedra;55-59;66.595
Ambos sexos;Pontevedra;60-64;61.690
Ambos sexos;Pontevedra;65-69;54.445
Ambos sexos;Pontevedra;70-74;52.673
Ambos sexos;Pontevedra;75-79;40.487
Ambos sexos;Pontevedra;80-84;30.323
Ambos sexos;Pontevedra;85-89;24.072
Ambos sexos;Pontevedra;90-94;10.182
Ambos sexos;Pontevedra;95-99;2.761
Ambos sexos;Pontevedra;100 y más;629
Ambos sexos;MADRID, COMUNIDAD DE;Total;6.778.382
Ambos sexos;MADRID, COMUNIDAD DE;0-4;306.057
Ambos sexos;MADRID, COMUNIDAD DE;5-9;346.627
Ambos sexos;MADRID, COMUNIDAD DE;10-14;360.484
Ambos sexos;MADRID, COMUNIDAD DE;15-19;341.378
Ambos sexos;MADRID, COMUNIDAD DE;20-24;344.296
Ambos sexos;MADRID, COMUNIDAD DE;25-29;398.049
Ambos sexos;MADRID, COMUNIDAD DE;30-34;438.452
Ambos sexos;MADRID, COMUNIDAD DE;35-39;510.994
Ambos sexos;MADRID, COMUNIDAD DE;40-44;593.714
Ambos sexos;MADRID, COMUNIDAD DE;45-49;572.108
Ambos sexos;MADRID, COMUNIDAD DE;50-54;516.272
Ambos sexos;MADRID, COMUNIDAD DE;55-59;456.413
Ambos sexos;MADRID, COMUNIDAD DE;60-64;384.762
Ambos sexos;MADRID, COMUNIDAD DE;65-69;318.519
Ambos sexos;MADRID, COMUNIDAD DE;70-74;294.545
Ambos sexos;MADRID, COMUNIDAD DE;75-79;231.534
Ambos sexos;MADRID, COMUNIDAD DE;80-84;161.714
Ambos sexos;MADRID, COMUNIDAD DE;85-89;125.974
Ambos sexos;MADRID, COMUNIDAD DE;90-94;58.317
Ambos sexos;MADRID, COMUNIDAD DE;95-99;15.771
Ambos sexos;MADRID, COMUNIDAD DE;100 y más;2.402
Ambos sexos;MURCIA, REGIÓN DE;Total;1.510.951
