Sexo;Edad (grupos quinquenales);Tipo de establecimiento colectivo;Total
Mujer;90-94;Otros tipos de establecimientos colectivos;361
Mujer;95-99;Total;12.115
Mujer;95-99;Instituciones sanitarias;161
Mujer;95-99;Residencias de personas mayores;11.650
Mujer;95-99;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;53
Mujer;95-99;Instituciones religiosas;127
Mujer;95-99;Instituciones militares;..
Mujer;95-99;Instituciones penitenciarias;..
Mujer;95-99;Otros tipos de establecimientos colectivos;124
Mujer;100 y más;Total;2.241
Mujer;100 y más;Instituciones sanitarias;18
Mujer;100 y más;Residencias de personas mayores;2.172
Mujer;100 y más;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;13
Mujer;100 y más;Instituciones religiosas;17
Mujer;100 y más;Instituciones militares;..
Mujer;100 y más;Instituciones penitenciarias;..
Mujer;100 y más;Otros tipos de establecimientos colectivos;20
