Sexo;Edad (grupos quinquenales);Tipo de establecimiento colectivo;Total
Ambos sexos;55-59;Total;11.844
Ambos sexos;55-59;Instituciones sanitarias;1.140
Ambos sexos;55-59;Residencias de personas mayores;3.058
Ambos sexos;55-59;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;3.656
Ambos sexos;55-59;Instituciones religiosas;654
Ambos sexos;55-59;Instituciones militares;152
Ambos sexos;55-59;Instituciones penitenciarias;1.927
Ambos sexos;55-59;Otros tipos de establecimientos colectivos;1.257
Ambos sexos;60-64;Total;13.352
Ambos sexos;60-64;Instituciones sanitarias;1.386
Ambos sexos;60-64;Residencias de personas mayores;5.652
Ambos sexos;60-64;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;2.638
Ambos sexos;60-64;Instituciones religiosas;925
Ambos sexos;60-64;Instituciones militares;61
Ambos sexos;60-64;Instituciones penitenciarias;1.316
Ambos sexos;60-64;Otros tipos de establecimientos colectivos;1.374
Ambos sexos;65-69;Total;15.829
Ambos sexos;65-69;Instituciones sanitarias;917
Ambos sexos;65-69;Residencias de personas mayores;10.376
Ambos sexos;65-69;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.382
Ambos sexos;65-69;Instituciones religiosas;1.392
Ambos sexos;65-69;Instituciones militares;7
Ambos sexos;65-69;Instituciones penitenciarias;427
Ambos sexos;65-69;Otros tipos de establecimientos colectivos;1.328
Ambos sexos;70-74;Total;21.458
Ambos sexos;70-74;Instituciones sanitarias;1.089
Ambos sexos;70-74;Residencias de personas mayores;16.623
Ambos sexos;70-74;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;790
Ambos sexos;70-74;Instituciones religiosas;1.938
Ambos sexos;70-74;Instituciones militares;4
Ambos sexos;70-74;Instituciones penitenciarias;189
Ambos sexos;70-74;Otros tipos de establecimientos colectivos;826
Ambos sexos;75-79;Total;42.455
Ambos sexos;75-79;Instituciones sanitarias;1.721
Ambos sexos;75-79;Residencias de personas mayores;36.349
Ambos sexos;75-79;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;612
Ambos sexos;75-79;Instituciones religiosas;2.649
Ambos sexos;75-79;Instituciones militares;16
Ambos sexos;75-79;Instituciones penitenciarias;68
Ambos sexos;75-79;Otros tipos de establecimientos colectivos;1.041
Ambos sexos;80-84;Total;68.118
Ambos sexos;80-84;Instituciones sanitarias;1.459
Ambos sexos;80-84;Residencias de personas mayores;62.200
Ambos sexos;80-84;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;630
Ambos sexos;80-84;Instituciones religiosas;2.638
Ambos sexos;80-84;Instituciones militares;..
Ambos sexos;80-84;Instituciones penitenciarias;67
Ambos sexos;80-84;Otros tipos de establecimientos colectivos;1.124
Ambos sexos;85-89;Total;79.768
Ambos sexos;85-89;Instituciones sanitarias;1.465
Ambos sexos;85-89;Residencias de personas mayores;75.025
Ambos sexos;85-89;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;400
Ambos sexos;85-89;Instituciones religiosas;1.772
Ambos sexos;85-89;Instituciones militares;3
Ambos sexos;85-89;Instituciones penitenciarias;31
Ambos sexos;85-89;Otros tipos de establecimientos colectivos;1.074
Ambos sexos;90-94;Total;45.072
Ambos sexos;90-94;Instituciones sanitarias;717
Ambos sexos;90-94;Residencias de personas mayores;43.049
Ambos sexos;90-94;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;151
Ambos sexos;90-94;Instituciones religiosas;668
Ambos sexos;90-94;Instituciones militares;1
Ambos sexos;90-94;Instituciones penitenciarias;..
Ambos sexos;90-94;Otros tipos de establecimientos colectivos;485
Ambos sexos;95-99;Total;14.752
Ambos sexos;95-99;Instituciones sanitarias;271
Ambos sexos;95-99;Residencias de personas mayores;14.125
Ambos sexos;95-99;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;55
Ambos sexos;95-99;Instituciones religiosas;145
Ambos sexos;95-99;Instituciones militares;..
Ambos sexos;95-99;Instituciones penitenciarias;..
Ambos sexos;95-99;Otros tipos de establecimientos colectivos;156
Ambos sexos;100 y más;Total;2.567
Ambos sexos;100 y más;Instituciones sanitarias;21
Ambos sexos;100 y más;Residencias de personas mayores;2.480
Ambos sexos;100 y más;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;13
Ambos sexos;100 y más;Instituciones religiosas;26
Ambos sexos;100 y más;Instituciones militares;..
Ambos sexos;100 y más;Instituciones penitenciarias;..
Ambos sexos;100 y más;Otros tipos de establecimientos colectivos;28
Hombre;Total;Total;204.435
Hombre;Total;Instituciones sanitarias;8.359
Hombre;Total;Residencias de personas mayores;84.913
Hombre;Total;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;20.791
Hombre;Total;Instituciones religiosas;3.261
Hombre;Total;Instituciones militares;18.229
Hombre;Total;Instituciones penitenciarias;59.049
Hombre;Total;Otros tipos de establecimientos colectivos;9.832
Hombre;0-4;Total;291
Hombre;0-4;Instituciones sanitarias;..
Hombre;0-4;Residencias de personas mayores;..
Hombre;0-4;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;225
Hombre;0-4;Instituciones religiosas;..
Hombre;0-4;Instituciones militares;..
Hombre;0-4;Instituciones penitenciarias;..
Hombre;0-4;Otros tipos de establecimientos colectivos;65
Hombre;5-9;Total;382
Hombre;5-9;Instituciones sanitarias;..
Hombre;5-9;Residencias de personas mayores;..
Hombre;5-9;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;311
Hombre;5-9;Instituciones religiosas;..
Hombre;5-9;Instituciones militares;..
Hombre;5-9;Instituciones penitenciarias;..
Hombre;5-9;Otros tipos de establecimientos colectivos;71
Hombre;10-14;Total;691
Hombre;10-14;Instituciones sanitarias;..
Hombre;10-14;Residencias de personas mayores;..
Hombre;10-14;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;616
Hombre;10-14;Instituciones religiosas;..
Hombre;10-14;Instituciones militares;..
Hombre;10-14;Instituciones penitenciarias;..
Hombre;10-14;Otros tipos de establecimientos colectivos;75
Hombre;15-19;Total;2.499
Hombre;15-19;Instituciones sanitarias;..
Hombre;15-19;Residencias de personas mayores;..
Hombre;15-19;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.055
Hombre;15-19;Instituciones religiosas;84
Hombre;15-19;Instituciones militares;59
Hombre;15-19;Instituciones penitenciarias;948
Hombre;15-19;Otros tipos de establecimientos colectivos;351
Hombre;20-24;Total;12.787
Hombre;20-24;Instituciones sanitarias;135
Hombre;20-24;Residencias de personas mayores;..
Hombre;20-24;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;679
Hombre;20-24;Instituciones religiosas;147
Hombre;20-24;Instituciones militares;5.217
Hombre;20-24;Instituciones penitenciarias;6.030
Hombre;20-24;Otros tipos de establecimientos colectivos;580
Hombre;25-29;Total;16.185
Hombre;25-29;Instituciones sanitarias;185
Hombre;25-29;Residencias de personas mayores;..
Hombre;25-29;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.108
Hombre;25-29;Instituciones religiosas;125
Hombre;25-29;Instituciones militares;5.539
Hombre;25-29;Instituciones penitenciarias;8.645
Hombre;25-29;Otros tipos de establecimientos colectivos;585
Hombre;30-34;Total;17.527
Hombre;30-34;Instituciones sanitarias;322
Hombre;30-34;Residencias de personas mayores;..
Hombre;30-34;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;1.687
Hombre;30-34;Instituciones religiosas;189
Hombre;30-34;Instituciones militares;3.504
Hombre;30-34;Instituciones penitenciarias;11.273
Hombre;30-34;Otros tipos de establecimientos colectivos;552
Hombre;35-39;Total;15.736
Hombre;35-39;Instituciones sanitarias;335
Hombre;35-39;Residencias de personas mayores;..
Hombre;35-39;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;2.153
Hombre;35-39;Instituciones religiosas;176
Hombre;35-39;Instituciones militares;1.919
Hombre;35-39;Instituciones penitenciarias;10.630
Hombre;35-39;Otros tipos de establecimientos colectivos;522
Hombre;40-44;Total;13.396
Hombre;40-44;Instituciones sanitarias;737
Hombre;40-44;Residencias de personas mayores;..
Hombre;40-44;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;2.754
Hombre;40-44;Instituciones religiosas;186
Hombre;40-44;Instituciones militares;635
Hombre;40-44;Instituciones penitenciarias;8.355
Hombre;40-44;Otros tipos de establecimientos colectivos;728
Hombre;45-49;Total;11.060
Hombre;45-49;Instituciones sanitarias;649
Hombre;45-49;Residencias de personas mayores;..
Hombre;45-49;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;2.686
Hombre;45-49;Instituciones religiosas;219
Hombre;45-49;Instituciones militares;582
Hombre;45-49;Instituciones penitenciarias;6.008
Hombre;45-49;Otros tipos de establecimientos colectivos;916
Hombre;50-54;Total;9.194
Hombre;50-54;Instituciones sanitarias;950
Hombre;50-54;Residencias de personas mayores;775
Hombre;50-54;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;2.493
Hombre;50-54;Instituciones religiosas;195
Hombre;50-54;Instituciones militares;556
Hombre;50-54;Instituciones penitenciarias;3.326
Hombre;50-54;Otros tipos de establecimientos colectivos;899
Hombre;55-59;Total;7.581
Hombre;55-59;Instituciones sanitarias;724
Hombre;55-59;Residencias de personas mayores;1.842
Hombre;55-59;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;2.134
Hombre;55-59;Instituciones religiosas;183
Hombre;55-59;Instituciones militares;149
Hombre;55-59;Instituciones penitenciarias;1.809
Hombre;55-59;Otros tipos de establecimientos colectivos;739
Hombre;60-64;Total;7.975
Hombre;60-64;Instituciones sanitarias;918
Hombre;60-64;Residencias de personas mayores;3.248
