Sexo;Comunidades y ciudades autónomas;Edad (año a año);Total
Ambos sexos;Madrid, Comunidad de;23 años;877
Ambos sexos;Madrid, Comunidad de;24 años;858
Ambos sexos;Madrid, Comunidad de;25 años;599
Ambos sexos;Madrid, Comunidad de;26 años;606
Ambos sexos;Madrid, Comunidad de;27 años;831
Ambos sexos;Madrid, Comunidad de;28 años;634
Ambos sexos;Madrid, Comunidad de;29 años;749
Ambos sexos;Madrid, Comunidad de;30 años;671
Ambos sexos;Madrid, Comunidad de;31 años;564
Ambos sexos;Madrid, Comunidad de;32 años;509
Ambos sexos;Madrid, Comunidad de;33 años;761
Ambos sexos;Madrid, Comunidad de;34 años;595
Ambos sexos;Madrid, Comunidad de;35 años;770
Ambos sexos;Madrid, Comunidad de;36 años;396
Ambos sexos;Madrid, Comunidad de;37 años;788
Ambos sexos;Madrid, Comunidad de;38 años;522
Ambos sexos;Madrid, Comunidad de;39 años;612
Ambos sexos;Madrid, Comunidad de;40 años;413
Ambos sexos;Madrid, Comunidad de;41 años;448
Ambos sexos;Madrid, Comunidad de;42 años;321
Ambos sexos;Madrid, Comunidad de;43 años;456
Ambos sexos;Madrid, Comunidad de;44 años;476
Ambos sexos;Madrid, Comunidad de;45 años;300
Ambos sexos;Madrid, Comunidad de;46 años;254
Ambos sexos;Madrid, Comunidad de;47 años;383
Ambos sexos;Madrid, Comunidad de;48 años;497
Ambos sexos;Madrid, Comunidad de;49 años;453
Ambos sexos;Madrid, Comunidad de;50 años;363
Ambos sexos;Madrid, Comunidad de;51 años;303
Ambos sexos;Madrid, Comunidad de;52 años;372
Ambos sexos;Madrid, Comunidad de;53 años;253
Ambos sexos;Madrid, Comunidad de;54 años;366
Ambos sexos;Madrid, Comunidad de;55 años;309
Ambos sexos;Madrid, Comunidad de;56 años;245
Ambos sexos;Madrid, Comunidad de;57 años;224
Ambos sexos;Madrid, Comunidad de;58 años;200
Ambos sexos;Madrid, Comunidad de;59 años;327
Ambos sexos;Madrid, Comunidad de;60 años;269
Ambos sexos;Madrid, Comunidad de;61 años;269
Ambos sexos;Madrid, Comunidad de;62 años;268
Ambos sexos;Madrid, Comunidad de;63 años;307
Ambos sexos;Madrid, Comunidad de;64 años;341
Ambos sexos;Madrid, Comunidad de;65 años;343
Ambos sexos;Madrid, Comunidad de;66 años;343
Ambos sexos;Madrid, Comunidad de;67 años;397
Ambos sexos;Madrid, Comunidad de;68 años;311
Ambos sexos;Madrid, Comunidad de;69 años;310
Ambos sexos;Madrid, Comunidad de;70 años;420
Ambos sexos;Madrid, Comunidad de;71 años;697
Ambos sexos;Madrid, Comunidad de;72 años;534
Ambos sexos;Madrid, Comunidad de;73 años;518
Ambos sexos;Madrid, Comunidad de;74 años;669
Ambos sexos;Madrid, Comunidad de;75 años;979
Ambos sexos;Madrid, Comunidad de;76 años;889
Ambos sexos;Madrid, Comunidad de;77 años;1.188
Ambos sexos;Madrid, Comunidad de;78 años;1.121
Ambos sexos;Madrid, Comunidad de;79 años;1.174
Ambos sexos;Madrid, Comunidad de;80 años;1.348
Ambos sexos;Madrid, Comunidad de;81 años;1.683
Ambos sexos;Madrid, Comunidad de;82 años;1.707
Ambos sexos;Madrid, Comunidad de;83 años;2.024
Ambos sexos;Madrid, Comunidad de;84 años;2.266
Ambos sexos;Madrid, Comunidad de;85 años;2.263
Ambos sexos;Madrid, Comunidad de;86 años;2.122
Ambos sexos;Madrid, Comunidad de;87 años;2.323
Ambos sexos;Madrid, Comunidad de;88 años;2.498
Ambos sexos;Madrid, Comunidad de;89 años;2.317
Ambos sexos;Madrid, Comunidad de;90 años;1.956
Ambos sexos;Madrid, Comunidad de;91 años;1.935
Ambos sexos;Madrid, Comunidad de;92 años;1.308
Ambos sexos;Madrid, Comunidad de;93 años;1.038
Ambos sexos;Madrid, Comunidad de;94 años;860
Ambos sexos;Madrid, Comunidad de;95 años;827
Ambos sexos;Madrid, Comunidad de;96 años;767
Ambos sexos;Madrid, Comunidad de;97 años;533
Ambos sexos;Madrid, Comunidad de;98 años;409
Ambos sexos;Madrid, Comunidad de;99 años;251
Ambos sexos;Madrid, Comunidad de;100 y más años;410
Ambos sexos;Murcia, Región de;Total;7.852
Ambos sexos;Murcia, Región de;0 años;12
Ambos sexos;Murcia, Región de;1 año;3
Ambos sexos;Murcia, Región de;2 años;1
Ambos sexos;Murcia, Región de;3 años;6
Ambos sexos;Murcia, Región de;4 años;3
Ambos sexos;Murcia, Región de;5 años;6
Ambos sexos;Murcia, Región de;6 años;1
Ambos sexos;Murcia, Región de;7 años;2
Ambos sexos;Murcia, Región de;8 años;3
Ambos sexos;Murcia, Región de;9 años;5
Ambos sexos;Murcia, Región de;10 años;1
Ambos sexos;Murcia, Región de;11 años;10
Ambos sexos;Murcia, Región de;12 años;6
Ambos sexos;Murcia, Región de;13 años;7
Ambos sexos;Murcia, Región de;14 años;12
Ambos sexos;Murcia, Región de;15 años;19
Ambos sexos;Murcia, Región de;16 años;6
Ambos sexos;Murcia, Región de;17 años;10
Ambos sexos;Murcia, Región de;18 años;25
Ambos sexos;Murcia, Región de;19 años;23
Ambos sexos;Murcia, Región de;20 años;47
Ambos sexos;Murcia, Región de;21 años;87
Ambos sexos;Murcia, Región de;22 años;58
Ambos sexos;Murcia, Región de;23 años;105
Ambos sexos;Murcia, Región de;24 años;136
Ambos sexos;Murcia, Región de;25 años;60
Ambos sexos;Murcia, Región de;26 años;79
Ambos sexos;Murcia, Región de;27 años;109
Ambos sexos;Murcia, Región de;28 años;91
Ambos sexos;Murcia, Región de;29 años;93
Ambos sexos;Murcia, Región de;30 años;109
Ambos sexos;Murcia, Región de;31 años;147
Ambos sexos;Murcia, Región de;32 años;81
Ambos sexos;Murcia, Región de;33 años;69
Ambos sexos;Murcia, Región de;34 años;165
Ambos sexos;Murcia, Región de;35 años;107
Ambos sexos;Murcia, Región de;36 años;126
Ambos sexos;Murcia, Región de;37 años;145
Ambos sexos;Murcia, Región de;38 años;107
Ambos sexos;Murcia, Región de;39 años;200
Ambos sexos;Murcia, Región de;40 años;29
Ambos sexos;Murcia, Región de;41 años;117
Ambos sexos;Murcia, Región de;42 años;85
Ambos sexos;Murcia, Región de;43 años;98
Ambos sexos;Murcia, Región de;44 años;100
Ambos sexos;Murcia, Región de;45 años;65
Ambos sexos;Murcia, Región de;46 años;152
Ambos sexos;Murcia, Región de;47 años;69
Ambos sexos;Murcia, Región de;48 años;52
Ambos sexos;Murcia, Región de;49 años;69
Ambos sexos;Murcia, Región de;50 años;94
Ambos sexos;Murcia, Región de;51 años;61
Ambos sexos;Murcia, Región de;52 años;44
Ambos sexos;Murcia, Región de;53 años;63
Ambos sexos;Murcia, Región de;54 años;48
Ambos sexos;Murcia, Región de;55 años;20
Ambos sexos;Murcia, Región de;56 años;39
Ambos sexos;Murcia, Región de;57 años;54
Ambos sexos;Murcia, Región de;58 años;30
Ambos sexos;Murcia, Región de;59 años;16
Ambos sexos;Murcia, Región de;60 años;54
Ambos sexos;Murcia, Región de;61 años;34
Ambos sexos;Murcia, Región de;62 años;44
Ambos sexos;Murcia, Región de;63 años;56
Ambos sexos;Murcia, Región de;64 años;88
Ambos sexos;Murcia, Región de;65 años;82
Ambos sexos;Murcia, Región de;66 años;41
Ambos sexos;Murcia, Región de;67 años;86
Ambos sexos;Murcia, Región de;68 años;64
Ambos sexos;Murcia, Región de;69 años;71
Ambos sexos;Murcia, Región de;70 años;51
Ambos sexos;Murcia, Región de;71 años;66
Ambos sexos;Murcia, Región de;72 años;24
Ambos sexos;Murcia, Región de;73 años;88
Ambos sexos;Murcia, Región de;74 años;70
Ambos sexos;Murcia, Región de;75 años;121
Ambos sexos;Murcia, Región de;76 años;133
Ambos sexos;Murcia, Región de;77 años;113
Ambos sexos;Murcia, Región de;78 años;146
Ambos sexos;Murcia, Región de;79 años;163
Ambos sexos;Murcia, Región de;80 años;158
Ambos sexos;Murcia, Región de;81 años;180
Ambos sexos;Murcia, Región de;82 años;198
Ambos sexos;Murcia, Región de;83 años;186
Ambos sexos;Murcia, Región de;84 años;271
Ambos sexos;Murcia, Región de;85 años;180
Ambos sexos;Murcia, Región de;86 años;242
Ambos sexos;Murcia, Región de;87 años;219
Ambos sexos;Murcia, Región de;88 años;188
Ambos sexos;Murcia, Región de;89 años;189
Ambos sexos;Murcia, Región de;90 años;170
Ambos sexos;Murcia, Región de;91 años;94
Ambos sexos;Murcia, Región de;92 años;95
Ambos sexos;Murcia, Región de;93 años;53
Ambos sexos;Murcia, Región de;94 años;54
Ambos sexos;Murcia, Región de;95 años;47
Ambos sexos;Murcia, Región de;96 años;32
Ambos sexos;Murcia, Región de;97 años;25
Ambos sexos;Murcia, Región de;98 años;60
Ambos sexos;Murcia, Región de;99 años;8
Ambos sexos;Murcia, Región de;100 y más años;17
Ambos sexos;Navarra, Comunidad Foral de;Total;7.903
Ambos sexos;Navarra, Comunidad Foral de;0 años;..
Ambos sexos;Navarra, Comunidad Foral de;1 año;1
Ambos sexos;Navarra, Comunidad Foral de;2 años;..
Ambos sexos;Navarra, Comunidad Foral de;3 años;..
Ambos sexos;Navarra, Comunidad Foral de;4 años;1
Ambos sexos;Navarra, Comunidad Foral de;5 años;..
Ambos sexos;Navarra, Comunidad Foral de;6 años;1
Ambos sexos;Navarra, Comunidad Foral de;7 años;..
Ambos sexos;Navarra, Comunidad Foral de;8 años;2
Ambos sexos;Navarra, Comunidad Foral de;9 años;1
Ambos sexos;Navarra, Comunidad Foral de;10 años;..
Ambos sexos;Navarra, Comunidad Foral de;11 años;4
Ambos sexos;Navarra, Comunidad Foral de;12 años;3
Ambos sexos;Navarra, Comunidad Foral de;13 años;3
Ambos sexos;Navarra, Comunidad Foral de;14 años;2
Ambos sexos;Navarra, Comunidad Foral de;15 años;2
Ambos sexos;Navarra, Comunidad Foral de;16 años;6
Ambos sexos;Navarra, Comunidad Foral de;17 años;9
Ambos sexos;Navarra, Comunidad Foral de;18 años;14
Ambos sexos;Navarra, Comunidad Foral de;19 años;19
Ambos sexos;Navarra, Comunidad Foral de;20 años;33
Ambos sexos;Navarra, Comunidad Foral de;21 años;28
Ambos sexos;Navarra, Comunidad Foral de;22 años;5
Ambos sexos;Navarra, Comunidad Foral de;23 años;93
Ambos sexos;Navarra, Comunidad Foral de;24 años;40
Ambos sexos;Navarra, Comunidad Foral de;25 años;39
Ambos sexos;Navarra, Comunidad Foral de;26 años;22
Ambos sexos;Navarra, Comunidad Foral de;27 años;29
Ambos sexos;Navarra, Comunidad Foral de;28 años;46
Ambos sexos;Navarra, Comunidad Foral de;29 años;30
Ambos sexos;Navarra, Comunidad Foral de;30 años;11
Ambos sexos;Navarra, Comunidad Foral de;31 años;65
Ambos sexos;Navarra, Comunidad Foral de;32 años;34
Ambos sexos;Navarra, Comunidad Foral de;33 años;31
Ambos sexos;Navarra, Comunidad Foral de;34 años;34
Ambos sexos;Navarra, Comunidad Foral de;35 años;62
Ambos sexos;Navarra, Comunidad Foral de;36 años;29
Ambos sexos;Navarra, Comunidad Foral de;37 años;11
Ambos sexos;Navarra, Comunidad Foral de;38 años;31
Ambos sexos;Navarra, Comunidad Foral de;39 años;40
Ambos sexos;Navarra, Comunidad Foral de;40 años;60
Ambos sexos;Navarra, Comunidad Foral de;41 años;30
Ambos sexos;Navarra, Comunidad Foral de;42 años;31
Ambos sexos;Navarra, Comunidad Foral de;43 años;23
Ambos sexos;Navarra, Comunidad Foral de;44 años;54
Ambos sexos;Navarra, Comunidad Foral de;45 años;41
Ambos sexos;Navarra, Comunidad Foral de;46 años;26
Ambos sexos;Navarra, Comunidad Foral de;47 años;40
Ambos sexos;Navarra, Comunidad Foral de;48 años;16
Ambos sexos;Navarra, Comunidad Foral de;49 años;39
Ambos sexos;Navarra, Comunidad Foral de;50 años;41
Ambos sexos;Navarra, Comunidad Foral de;51 años;46
Ambos sexos;Navarra, Comunidad Foral de;52 años;36
Ambos sexos;Navarra, Comunidad Foral de;53 años;40
Ambos sexos;Navarra, Comunidad Foral de;54 años;32
Ambos sexos;Navarra, Comunidad Foral de;55 años;37
Ambos sexos;Navarra, Comunidad Foral de;56 años;55
Ambos sexos;Navarra, Comunidad Foral de;57 años;22
Ambos sexos;Navarra, Comunidad Foral de;58 años;51
Ambos sexos;Navarra, Comunidad Foral de;59 años;56
Ambos sexos;Navarra, Comunidad Foral de;60 años;60
Ambos sexos;Navarra, Comunidad Foral de;61 años;53
Ambos sexos;Navarra, Comunidad Foral de;62 años;42
Ambos sexos;Navarra, Comunidad Foral de;63 años;44
Ambos sexos;Navarra, Comunidad Foral de;64 años;57
Ambos sexos;Navarra, Comunidad Foral de;65 años;50
Ambos sexos;Navarra, Comunidad Foral de;66 años;81
Ambos sexos;Navarra, Comunidad Foral de;67 años;67
Ambos sexos;Navarra, Comunidad Foral de;68 años;70
Ambos sexos;Navarra, Comunidad Foral de;69 años;64
Ambos sexos;Navarra, Comunidad Foral de;70 años;106
Ambos sexos;Navarra, Comunidad Foral de;71 años;101
Ambos sexos;Navarra, Comunidad Foral de;72 años;96
Ambos sexos;Navarra, Comunidad Foral de;73 años;82
Ambos sexos;Navarra, Comunidad Foral de;74 años;85
Ambos sexos;Navarra, Comunidad Foral de;75 años;87
Ambos sexos;Navarra, Comunidad Foral de;76 años;189
Ambos sexos;Navarra, Comunidad Foral de;77 años;160
Ambos sexos;Navarra, Comunidad Foral de;78 años;246
Ambos sexos;Navarra, Comunidad Foral de;79 años;252
Ambos sexos;Navarra, Comunidad Foral de;80 años;214
Ambos sexos;Navarra, Comunidad Foral de;81 años;260
Ambos sexos;Navarra, Comunidad Foral de;82 años;330
Ambos sexos;Navarra, Comunidad Foral de;83 años;267
Ambos sexos;Navarra, Comunidad Foral de;84 años;358
Ambos sexos;Navarra, Comunidad Foral de;85 años;298
Ambos sexos;Navarra, Comunidad Foral de;86 años;348
Ambos sexos;Navarra, Comunidad Foral de;87 años;273
Ambos sexos;Navarra, Comunidad Foral de;88 años;322
Ambos sexos;Navarra, Comunidad Foral de;89 años;215
Ambos sexos;Navarra, Comunidad Foral de;90 años;217
Ambos sexos;Navarra, Comunidad Foral de;91 años;196
Ambos sexos;Navarra, Comunidad Foral de;92 años;174
Ambos sexos;Navarra, Comunidad Foral de;93 años;236
Ambos sexos;Navarra, Comunidad Foral de;94 años;132
Ambos sexos;Navarra, Comunidad Foral de;95 años;148
Ambos sexos;Navarra, Comunidad Foral de;96 años;75
Ambos sexos;Navarra, Comunidad Foral de;97 años;90
Ambos sexos;Navarra, Comunidad Foral de;98 años;34
Ambos sexos;Navarra, Comunidad Foral de;99 años;49
Ambos sexos;Navarra, Comunidad Foral de;100 y más años;120
Ambos sexos;País Vasco;Total;21.798
Ambos sexos;País Vasco;0 años;1
Ambos sexos;País Vasco;1 año;7
Ambos sexos;País Vasco;2 años;3
Ambos sexos;País Vasco;3 años;10
Ambos sexos;País Vasco;4 años;3
Ambos sexos;País Vasco;5 años;7
Ambos sexos;País Vasco;6 años;8
Ambos sexos;País Vasco;7 años;1
Ambos sexos;País Vasco;8 años;3
Ambos sexos;País Vasco;9 años;6
Ambos sexos;País Vasco;10 años;16
Ambos sexos;País Vasco;11 años;8
Ambos sexos;País Vasco;12 años;8
Ambos sexos;País Vasco;13 años;16
Ambos sexos;País Vasco;14 años;3
Ambos sexos;País Vasco;15 años;29
Ambos sexos;País Vasco;16 años;37
Ambos sexos;País Vasco;17 años;117
Ambos sexos;País Vasco;18 años;49
Ambos sexos;País Vasco;19 años;8
Ambos sexos;País Vasco;20 años;52
Ambos sexos;País Vasco;21 años;21
Ambos sexos;País Vasco;22 años;123
Ambos sexos;País Vasco;23 años;85
Ambos sexos;País Vasco;24 años;142
Ambos sexos;País Vasco;25 años;83
Ambos sexos;País Vasco;26 años;98
Ambos sexos;País Vasco;27 años;109
Ambos sexos;País Vasco;28 años;105
Ambos sexos;País Vasco;29 años;134
Ambos sexos;País Vasco;30 años;249
Ambos sexos;País Vasco;31 años;148
Ambos sexos;País Vasco;32 años;108
Ambos sexos;País Vasco;33 años;114
Ambos sexos;País Vasco;34 años;175
Ambos sexos;País Vasco;35 años;94
Ambos sexos;País Vasco;36 años;136
Ambos sexos;País Vasco;37 años;140
Ambos sexos;País Vasco;38 años;78
Ambos sexos;País Vasco;39 años;121
Ambos sexos;País Vasco;40 años;86
Ambos sexos;País Vasco;41 años;88
Ambos sexos;País Vasco;42 años;162
Ambos sexos;País Vasco;43 años;127
Ambos sexos;País Vasco;44 años;118
Ambos sexos;País Vasco;45 años;181
Ambos sexos;País Vasco;46 años;136
Ambos sexos;País Vasco;47 años;161
Ambos sexos;País Vasco;48 años;154
Ambos sexos;País Vasco;49 años;98
Ambos sexos;País Vasco;50 años;144
Ambos sexos;País Vasco;51 años;108
Ambos sexos;País Vasco;52 años;151
Ambos sexos;País Vasco;53 años;143
Ambos sexos;País Vasco;54 años;139
Ambos sexos;País Vasco;55 años;104
Ambos sexos;País Vasco;56 años;90
Ambos sexos;País Vasco;57 años;162
Ambos sexos;País Vasco;58 años;133
Ambos sexos;País Vasco;59 años;108
Ambos sexos;País Vasco;60 años;123
Ambos sexos;País Vasco;61 años;128
Ambos sexos;País Vasco;62 años;171
Ambos sexos;País Vasco;63 años;150
Ambos sexos;País Vasco;64 años;202
Ambos sexos;País Vasco;65 años;192
Ambos sexos;País Vasco;66 años;171
Ambos sexos;País Vasco;67 años;151
Ambos sexos;País Vasco;68 años;151
Ambos sexos;País Vasco;69 años;120
Ambos sexos;País Vasco;70 años;111
Ambos sexos;País Vasco;71 años;200
Ambos sexos;País Vasco;72 años;185
Ambos sexos;País Vasco;73 años;205
Ambos sexos;País Vasco;74 años;331
Ambos sexos;País Vasco;75 años;390
Ambos sexos;País Vasco;76 años;400
Ambos sexos;País Vasco;77 años;469
Ambos sexos;País Vasco;78 años;541
Ambos sexos;País Vasco;79 años;632
Ambos sexos;País Vasco;80 años;644
Ambos sexos;País Vasco;81 años;568
Ambos sexos;País Vasco;82 años;733
Ambos sexos;País Vasco;83 años;772
Ambos sexos;País Vasco;84 años;873
Ambos sexos;País Vasco;85 años;944
Ambos sexos;País Vasco;86 años;910
Ambos sexos;País Vasco;87 años;867
Ambos sexos;País Vasco;88 años;846
Ambos sexos;País Vasco;89 años;800
Ambos sexos;País Vasco;90 años;672
Ambos sexos;País Vasco;91 años;663
Ambos sexos;País Vasco;92 años;399
Ambos sexos;País Vasco;93 años;451
Ambos sexos;País Vasco;94 años;401
Ambos sexos;País Vasco;95 años;273
Ambos sexos;País Vasco;96 años;228
Ambos sexos;País Vasco;97 años;169
Ambos sexos;País Vasco;98 años;118
Ambos sexos;País Vasco;99 años;78
Ambos sexos;País Vasco;100 y más años;116
Ambos sexos;Rioja, La;Total;3.598
Ambos sexos;Rioja, La;0 años;..
Ambos sexos;Rioja, La;1 año;..
Ambos sexos;Rioja, La;2 años;..
Ambos sexos;Rioja, La;3 años;..
Ambos sexos;Rioja, La;4 años;..
Ambos sexos;Rioja, La;5 años;..
Ambos sexos;Rioja, La;6 años;1
Ambos sexos;Rioja, La;7 años;..
Ambos sexos;Rioja, La;8 años;3
Ambos sexos;Rioja, La;9 años;3
Ambos sexos;Rioja, La;10 años;1
Ambos sexos;Rioja, La;11 años;3
Ambos sexos;Rioja, La;12 años;..
Ambos sexos;Rioja, La;13 años;3
Ambos sexos;Rioja, La;14 años;3
Ambos sexos;Rioja, La;15 años;8
Ambos sexos;Rioja, La;16 años;11
Ambos sexos;Rioja, La;17 años;4
Ambos sexos;Rioja, La;18 años;2
Ambos sexos;Rioja, La;19 años;4
Ambos sexos;Rioja, La;20 años;1
Ambos sexos;Rioja, La;21 años;41
Ambos sexos;Rioja, La;22 años;3
Ambos sexos;Rioja, La;23 años;2
Ambos sexos;Rioja, La;24 años;6
Ambos sexos;Rioja, La;25 años;8
Ambos sexos;Rioja, La;26 años;3
Ambos sexos;Rioja, La;27 años;5
Ambos sexos;Rioja, La;28 años;1
Ambos sexos;Rioja, La;29 años;..
Ambos sexos;Rioja, La;30 años;46
Ambos sexos;Rioja, La;31 años;11
Ambos sexos;Rioja, La;32 años;3
Ambos sexos;Rioja, La;33 años;46
Ambos sexos;Rioja, La;34 años;2
Ambos sexos;Rioja, La;35 años;31
Ambos sexos;Rioja, La;36 años;13
Ambos sexos;Rioja, La;37 años;6
Ambos sexos;Rioja, La;38 años;26
Ambos sexos;Rioja, La;39 años;27
Ambos sexos;Rioja, La;40 años;5
Ambos sexos;Rioja, La;41 años;11
Ambos sexos;Rioja, La;42 años;49
Ambos sexos;Rioja, La;43 años;17
Ambos sexos;Rioja, La;44 años;73
Ambos sexos;Rioja, La;45 años;28
Ambos sexos;Rioja, La;46 años;31
Ambos sexos;Rioja, La;47 años;19
Ambos sexos;Rioja, La;48 años;33
Ambos sexos;Rioja, La;49 años;24
Ambos sexos;Rioja, La;50 años;33
Ambos sexos;Rioja, La;51 años;13
Ambos sexos;Rioja, La;52 años;22
Ambos sexos;Rioja, La;53 años;5
Ambos sexos;Rioja, La;54 años;13
Ambos sexos;Rioja, La;55 años;23
Ambos sexos;Rioja, La;56 años;14
Ambos sexos;Rioja, La;57 años;13
Ambos sexos;Rioja, La;58 años;7
Ambos sexos;Rioja, La;59 años;8
Ambos sexos;Rioja, La;60 años;18
Ambos sexos;Rioja, La;61 años;41
Ambos sexos;Rioja, La;62 años;12
Ambos sexos;Rioja, La;63 años;4
Ambos sexos;Rioja, La;64 años;32
Ambos sexos;Rioja, La;65 años;18
Ambos sexos;Rioja, La;66 años;38
Ambos sexos;Rioja, La;67 años;18
Ambos sexos;Rioja, La;68 años;36
Ambos sexos;Rioja, La;69 años;47
Ambos sexos;Rioja, La;70 años;84
Ambos sexos;Rioja, La;71 años;37
Ambos sexos;Rioja, La;72 años;31
Ambos sexos;Rioja, La;73 años;44
Ambos sexos;Rioja, La;74 años;41
Ambos sexos;Rioja, La;75 años;42
Ambos sexos;Rioja, La;76 años;71
Ambos sexos;Rioja, La;77 años;105
Ambos sexos;Rioja, La;78 años;102
Ambos sexos;Rioja, La;79 años;150
Ambos sexos;Rioja, La;80 años;115
Ambos sexos;Rioja, La;81 años;92
Ambos sexos;Rioja, La;82 años;107
Ambos sexos;Rioja, La;83 años;55
Ambos sexos;Rioja, La;84 años;137
Ambos sexos;Rioja, La;85 años;122
Ambos sexos;Rioja, La;86 años;148
Ambos sexos;Rioja, La;87 años;133
Ambos sexos;Rioja, La;88 años;149
Ambos sexos;Rioja, La;89 años;205
Ambos sexos;Rioja, La;90 años;117
Ambos sexos;Rioja, La;91 años;96
Ambos sexos;Rioja, La;92 años;90
Ambos sexos;Rioja, La;93 años;37
Ambos sexos;Rioja, La;94 años;58
Ambos sexos;Rioja, La;95 años;34
Ambos sexos;Rioja, La;96 años;43
Ambos sexos;Rioja, La;97 años;40
Ambos sexos;Rioja, La;98 años;29
Ambos sexos;Rioja, La;99 años;15
Ambos sexos;Rioja, La;100 y más años;32
Ambos sexos;Ceuta;Total;723
Ambos sexos;Ceuta;0 años;..
Ambos sexos;Ceuta;1 año;..
Ambos sexos;Ceuta;2 años;..
Ambos sexos;Ceuta;3 años;..
Ambos sexos;Ceuta;4 años;..
Ambos sexos;Ceuta;5 años;..
Ambos sexos;Ceuta;6 años;..
Ambos sexos;Ceuta;7 años;..
Ambos sexos;Ceuta;8 años;..
Ambos sexos;Ceuta;9 años;..
Ambos sexos;Ceuta;10 años;..
Ambos sexos;Ceuta;11 años;..
Ambos sexos;Ceuta;12 años;..
Ambos sexos;Ceuta;13 años;..
Ambos sexos;Ceuta;14 años;..
Ambos sexos;Ceuta;15 años;..
Ambos sexos;Ceuta;16 años;..
Ambos sexos;Ceuta;17 años;..
Ambos sexos;Ceuta;18 años;14
Ambos sexos;Ceuta;19 años;15
Ambos sexos;Ceuta;20 años;..
Ambos sexos;Ceuta;21 años;..
Ambos sexos;Ceuta;22 años;41
Ambos sexos;Ceuta;23 años;4
Ambos sexos;Ceuta;24 años;8
Ambos sexos;Ceuta;25 años;10
Ambos sexos;Ceuta;26 años;11
Ambos sexos;Ceuta;27 años;18
Ambos sexos;Ceuta;28 años;4
Ambos sexos;Ceuta;29 años;6
Ambos sexos;Ceuta;30 años;20
Ambos sexos;Ceuta;31 años;28
Ambos sexos;Ceuta;32 años;48
Ambos sexos;Ceuta;33 años;10
Ambos sexos;Ceuta;34 años;34
Ambos sexos;Ceuta;35 años;17
Ambos sexos;Ceuta;36 años;2
Ambos sexos;Ceuta;37 años;16
Ambos sexos;Ceuta;38 años;20
Ambos sexos;Ceuta;39 años;14
Ambos sexos;Ceuta;40 años;18
Ambos sexos;Ceuta;41 años;24
Ambos sexos;Ceuta;42 años;5
Ambos sexos;Ceuta;43 años;1
Ambos sexos;Ceuta;44 años;1
Ambos sexos;Ceuta;45 años;15
Ambos sexos;Ceuta;46 años;6
Ambos sexos;Ceuta;47 años;20
Ambos sexos;Ceuta;48 años;15
Ambos sexos;Ceuta;49 años;26
Ambos sexos;Ceuta;50 años;15
Ambos sexos;Ceuta;51 años;4
Ambos sexos;Ceuta;52 años;4
Ambos sexos;Ceuta;53 años;19
Ambos sexos;Ceuta;54 años;17
Ambos sexos;Ceuta;55 años;3
Ambos sexos;Ceuta;56 años;2
Ambos sexos;Ceuta;57 años;6
Ambos sexos;Ceuta;58 años;9
Ambos sexos;Ceuta;59 años;5
Ambos sexos;Ceuta;60 años;..
Ambos sexos;Ceuta;61 años;5
Ambos sexos;Ceuta;62 años;1
Ambos sexos;Ceuta;63 años;7
Ambos sexos;Ceuta;64 años;..
Ambos sexos;Ceuta;65 años;..
Ambos sexos;Ceuta;66 años;4
Ambos sexos;Ceuta;67 años;..
Ambos sexos;Ceuta;68 años;8
Ambos sexos;Ceuta;69 años;..
Ambos sexos;Ceuta;70 años;..
Ambos sexos;Ceuta;71 años;7
Ambos sexos;Ceuta;72 años;5
Ambos sexos;Ceuta;73 años;7
Ambos sexos;Ceuta;74 años;4
Ambos sexos;Ceuta;75 años;..
Ambos sexos;Ceuta;76 años;8
Ambos sexos;Ceuta;77 años;2
Ambos sexos;Ceuta;78 años;5
Ambos sexos;Ceuta;79 años;9
Ambos sexos;Ceuta;80 años;4
Ambos sexos;Ceuta;81 años;14
Ambos sexos;Ceuta;82 años;12
Ambos sexos;Ceuta;83 años;7
Ambos sexos;Ceuta;84 años;9
Ambos sexos;Ceuta;85 años;14
Ambos sexos;Ceuta;86 años;9
Ambos sexos;Ceuta;87 años;7
Ambos sexos;Ceuta;88 años;..
Ambos sexos;Ceuta;89 años;7
Ambos sexos;Ceuta;90 años;11
Ambos sexos;Ceuta;91 años;..
Ambos sexos;Ceuta;92 años;..
Ambos sexos;Ceuta;93 años;..
Ambos sexos;Ceuta;94 años;..
Ambos sexos;Ceuta;95 años;..
Ambos sexos;Ceuta;96 años;..
Ambos sexos;Ceuta;97 años;..
Ambos sexos;Ceuta;98 años;..
Ambos sexos;Ceuta;99 años;..
Ambos sexos;Ceuta;100 y más años;..
Ambos sexos;Melilla;Total;1.001
Ambos sexos;Melilla;0 años;..
Ambos sexos;Melilla;1 año;..
Ambos sexos;Melilla;2 años;..
Ambos sexos;Melilla;3 años;4
Ambos sexos;Melilla;4 años;4
Ambos sexos;Melilla;5 años;..
Ambos sexos;Melilla;6 años;4
Ambos sexos;Melilla;7 años;4
Ambos sexos;Melilla;8 años;4
Ambos sexos;Melilla;9 años;..
Ambos sexos;Melilla;10 años;8
Ambos sexos;Melilla;11 años;..
Ambos sexos;Melilla;12 años;..
Ambos sexos;Melilla;13 años;8
Ambos sexos;Melilla;14 años;4
Ambos sexos;Melilla;15 años;12
Ambos sexos;Melilla;16 años;12
Ambos sexos;Melilla;17 años;16
