Comunidades autónomas;Tipo de dato;Periodo;Total
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM32;4,93
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM31;4,79
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM30;5,03
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM29;5,42
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM28;5,65
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM27;6,01
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM26;6,12
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM25;6,22
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM24;6,46
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM23;6,89
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM22;6,86
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM21;7,01
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM20;7,45
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM19;7,71
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM18;7,69
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM17;7,79
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM16;8,19
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM15;8,32
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM14;8,63
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM13;8,66
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM12;8,97
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM11;9,08
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM10;9,42
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM09;9,53
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM08;8,24
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM07;8,01
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM06;6,60
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM05;4,96
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM04;5,53
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM03;8,14
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM02;10,75
01 Andalucía;Variación anual del acumulado en lo que va de año;2018SM01;12,89
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM52;2,99
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM51;2,93
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM50;2,72
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM49;2,55
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM48;2,48
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM47;2,56
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM46;2,72
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM45;2,72
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM44;2,93
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM43;2,80
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM42;2,88
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM41;2,80
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM40;2,78
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM39;2,72
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM38;2,74
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM37;2,78
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM36;2,94
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM35;3,30
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM34;3,40
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM33;3,46
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM32;3,51
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM31;3,69
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM30;3,75
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM29;3,86
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM28;4,06
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM27;4,36
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM26;4,84
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM25;5,28
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM24;5,38
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM23;5,21
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM22;6,01
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM21;6,35
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM20;6,41
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM19;6,88
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM18;7,05
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM17;7,62
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM16;7,66
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM15;7,76
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM14;8,39
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM13;9,57
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM12;10,96
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM11;12,42
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM10;15,09
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM09;17,67
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM08;20,97
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM07;23,48
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM06;26,06
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM05;28,96
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM04;30,76
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM03;27,83
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM02;25,01
01 Andalucía;Variación anual del acumulado en lo que va de año;2017SM01;20,31
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM52;-4,21
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM51;-4,81
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM50;-4,97
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM49;-5,21
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM48;-5,27
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM47;-5,49
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM46;-5,76
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM45;-5,93
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM44;-6,28
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM43;-6,31
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM42;-6,42
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM41;-6,57
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM40;-6,64
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM39;-6,77
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM38;-7,08
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM37;-7,43
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM36;-7,72
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM35;-8,07
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM34;-8,46
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM33;-8,76
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM32;-8,90
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM31;-9,05
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM30;-9,13
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM29;-9,15
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM28;-9,23
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM27;-9,41
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM26;-9,66
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM25;-10,11
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM24;-10,46
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM23;-10,87
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM22;-11,57
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM21;-11,96
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM20;-12,55
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM19;-13,31
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM18;-13,63
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM17;-14,32
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM16;-14,79
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM15;-15,56
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM14;-16,55
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM13;-17,14
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM12;-18,18
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM11;-19,31
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM10;-21,18
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM09;-22,57
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM08;-23,97
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM07;-25,02
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM06;-25,57
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM05;-25,89
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM04;-25,89
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM03;-24,51
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM02;-22,66
01 Andalucía;Variación anual del acumulado en lo que va de año;2016SM01;-16,84
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM53;11,08
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM52;8,96
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM51;9,35
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM50;9,54
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM49;9,91
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM48;9,98
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM47;10,02
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM46;10,31
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM45;10,55
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM44;10,90
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM43;11,06
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM42;11,30
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM41;11,55
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM40;11,67
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM39;11,94
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM38;12,23
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM37;12,62
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM36;12,93
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM35;13,46
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM34;14,01
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM33;14,41
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM32;14,57
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM31;14,61
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM30;14,37
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM29;14,33
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM28;14,33
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM27;14,29
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM26;14,27
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM25;14,42
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM24;14,81
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM23;15,66
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM22;16,13
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM21;16,53
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM20;16,76
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM19;17,35
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM18;18,01
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM17;18,82
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM16;19,36
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM15;20,07
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM14;21,52
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM13;22,31
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM12;22,40
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM11;23,95
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM10;24,16
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM09;24,75
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM08;25,17
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM07;25,29
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM06;25,89
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM05;26,14
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM04;25,89
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM03;26,66
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM02;26,07
01 Andalucía;Variación anual del acumulado en lo que va de año;2015SM01;21,06
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM52;0,84
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM51;0,77
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM50;0,69
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM49;0,56
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM48;0,68
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM47;0,91
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM46;0,89
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM45;0,90
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM44;0,93
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM43;0,79
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM42;0,81
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM41;0,76
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM40;0,78
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM39;0,67
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM38;0,68
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM37;0,57
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM36;0,60
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM35;0,42
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM34;0,34
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM33;0,47
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM32;0,60
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM31;0,62
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM30;0,72
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM29;0,63
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM28;0,46
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM27;0,77
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM26;0,94
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM25;1,25
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM24;0,97
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM23;0,92
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM22;1,06
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM21;1,28
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM20;1,54
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM19;1,68
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM18;1,63
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM17;1,66
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM16;1,72
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM15;2,28
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM14;2,45
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM13;2,56
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM12;3,28
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM11;3,66
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM10;4,16
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM09;5,59
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM08;6,87
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM07;8,07
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM06;9,10
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM05;8,78
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM04;9,02
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM03;7,94
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM02;7,44
01 Andalucía;Variación anual del acumulado en lo que va de año;2014SM01;12,33
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM52;-3,66
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM51;-4,03
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM50;-4,25
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM49;-4,35
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM48;-4,34
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM47;-4,62
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM46;-4,84
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM45;-5,05
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM44;-5,24
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM43;-5,15
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM42;-5,49
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM41;-5,57
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM40;-5,63
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM39;-5,61
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM38;-5,75
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM37;-5,74
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM36;-5,91
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM35;-6,07
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM34;-6,33
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM33;-6,56
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM32;-6,77
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM31;-6,97
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM30;-7,17
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM29;-7,31
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM28;-7,50
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM27;-8,23
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM26;-8,80
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM25;-9,11
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM24;-9,38
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM23;-10,06
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM22;-10,48
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM21;-10,91
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM20;-11,27
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM19;-11,63
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM18;-11,93
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM17;-12,57
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM16;-12,87
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM15;-13,57
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM14;-14,39
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM13;-15,53
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM12;-16,43
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM11;-17,49
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM10;-17,22
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM09;-18,16
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM08;-17,72
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM07;-15,79
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM06;-12,63
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM05;-9,98
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM04;-9,54
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM03;-10,39
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM02;-10,52
01 Andalucía;Variación anual del acumulado en lo que va de año;2013SM01;-13,11
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM52;3,69
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM51;4,20
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM50;4,49
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM49;4,67
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM48;4,60
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM47;4,79
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM46;4,95
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM45;5,19
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM44;5,35
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM43;5,37
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM42;5,62
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM41;5,75
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM40;5,96
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM39;6,09
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM38;6,34
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM37;6,35
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM36;6,57
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM35;6,70
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM34;6,83
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM33;6,88
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM32;7,03
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM31;7,41
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM30;7,75
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM29;8,06
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM28;8,28
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM27;8,81
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM26;9,31
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM25;9,90
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM24;10,43
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM23;10,97
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM22;11,22
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM21;11,59
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM20;12,41
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM19;12,77
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM18;13,34
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM17;13,73
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM16;14,40
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM15;14,42
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM14;14,86
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM13;15,63
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM12;16,61
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM11;17,43
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM10;17,87
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM09;18,15
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM08;15,73
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM07;11,82
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM06;7,14
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM05;5,24
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM04;6,05
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM03;8,26
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM02;8,11
01 Andalucía;Variación anual del acumulado en lo que va de año;2012SM01;4,88
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM52;1,89
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM51;1,72
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM50;1,52
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM49;1,34
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM48;1,33
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM47;1,32
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM46;1,52
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM45;1,55
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM44;1,51
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM43;1,60
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM42;1,84
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM41;2,02
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM40;1,87
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM39;2,03
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM38;1,87
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM37;2,11
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM36;1,91
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM35;2,13
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM34;2,30
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM33;2,38
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM32;2,29
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM31;2,47
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM30;2,56
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM29;2,54
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM28;2,83
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM27;2,97
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM26;3,44
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM25;3,27
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM24;3,06
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM23;3,02
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM22;2,97
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM21;3,61
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM20;3,60
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM19;3,73
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM18;3,58
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM17;4,01
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM16;4,26
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM15;4,68
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM14;5,18
01 Andalucía;Variación anual del acumulado en lo que va de año;2011SM13;5,61
