Comunidades Autónomas y Provincias;Tipo de establecimiento colectivo (agrupado);Sexo;Total
León;Otros tipos de establecimientos colectivos;Hombre;1.324
León;Otros tipos de establecimientos colectivos;Mujer;211
Palencia;Total;Ambos sexos;6.400
Palencia;Total;Hombre;3.338
Palencia;Total;Mujer;3.062
Palencia;Instituciones sanitarias;Ambos sexos;1.121
Palencia;Instituciones sanitarias;Hombre;613
Palencia;Instituciones sanitarias;Mujer;508
Palencia;Residencias de personas mayores;Ambos sexos;3.021
Palencia;Residencias de personas mayores;Hombre;1.037
Palencia;Residencias de personas mayores;Mujer;1.985
Palencia;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;538
Palencia;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;289
Palencia;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;248
Palencia;Instituciones religiosas o militares;Ambos sexos;370
Palencia;Instituciones religiosas o militares;Hombre;63
Palencia;Instituciones religiosas o militares;Mujer;307
Palencia;Otros tipos de establecimientos colectivos;Ambos sexos;1.350
Palencia;Otros tipos de establecimientos colectivos;Hombre;1.335
Palencia;Otros tipos de establecimientos colectivos;Mujer;15
Salamanca;Total;Ambos sexos;7.369
Salamanca;Total;Hombre;3.532
Salamanca;Total;Mujer;3.838
Salamanca;Instituciones sanitarias;Ambos sexos;..
Salamanca;Instituciones sanitarias;Hombre;..
Salamanca;Instituciones sanitarias;Mujer;..
Salamanca;Residencias de personas mayores;Ambos sexos;4.628
Salamanca;Residencias de personas mayores;Hombre;1.580
Salamanca;Residencias de personas mayores;Mujer;3.048
Salamanca;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;402
Salamanca;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;190
Salamanca;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;213
Salamanca;Instituciones religiosas o militares;Ambos sexos;787
Salamanca;Instituciones religiosas o militares;Hombre;319
Salamanca;Instituciones religiosas o militares;Mujer;468
Salamanca;Otros tipos de establecimientos colectivos;Ambos sexos;1.552
Salamanca;Otros tipos de establecimientos colectivos;Hombre;1.443
Salamanca;Otros tipos de establecimientos colectivos;Mujer;109
Segovia;Total;Ambos sexos;3.027
Segovia;Total;Hombre;1.536
Segovia;Total;Mujer;1.491
Segovia;Instituciones sanitarias;Ambos sexos;..
Segovia;Instituciones sanitarias;Hombre;..
Segovia;Instituciones sanitarias;Mujer;..
Segovia;Residencias de personas mayores;Ambos sexos;1.877
Segovia;Residencias de personas mayores;Hombre;641
Segovia;Residencias de personas mayores;Mujer;1.235
Segovia;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;125
Segovia;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;89
Segovia;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;36
Segovia;Instituciones religiosas o militares;Ambos sexos;458
Segovia;Instituciones religiosas o militares;Hombre;255
Segovia;Instituciones religiosas o militares;Mujer;202
Segovia;Otros tipos de establecimientos colectivos;Ambos sexos;567
Segovia;Otros tipos de establecimientos colectivos;Hombre;550
Segovia;Otros tipos de establecimientos colectivos;Mujer;17
Soria;Total;Ambos sexos;2.288
Soria;Total;Hombre;1.028
Soria;Total;Mujer;1.260
Soria;Instituciones sanitarias;Ambos sexos;39
Soria;Instituciones sanitarias;Hombre;12
Soria;Instituciones sanitarias;Mujer;27
Soria;Residencias de personas mayores;Ambos sexos;1.788
Soria;Residencias de personas mayores;Hombre;751
Soria;Residencias de personas mayores;Mujer;1.037
Soria;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;143
Soria;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;72
Soria;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;70
Soria;Instituciones religiosas o militares;Ambos sexos;140
Soria;Instituciones religiosas o militares;Hombre;17
Soria;Instituciones religiosas o militares;Mujer;123
Soria;Otros tipos de establecimientos colectivos;Ambos sexos;179
Soria;Otros tipos de establecimientos colectivos;Hombre;176
Soria;Otros tipos de establecimientos colectivos;Mujer;3
Valladolid;Total;Ambos sexos;7.336
Valladolid;Total;Hombre;2.946
Valladolid;Total;Mujer;4.390
Valladolid;Instituciones sanitarias;Ambos sexos;158
Valladolid;Instituciones sanitarias;Hombre;95
Valladolid;Instituciones sanitarias;Mujer;63
Valladolid;Residencias de personas mayores;Ambos sexos;4.845
Valladolid;Residencias de personas mayores;Hombre;1.508
Valladolid;Residencias de personas mayores;Mujer;3.337
Valladolid;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;514
Valladolid;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;162
Valladolid;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;352
Valladolid;Instituciones religiosas o militares;Ambos sexos;1.121
Valladolid;Instituciones religiosas o militares;Hombre;633
Valladolid;Instituciones religiosas o militares;Mujer;488
Valladolid;Otros tipos de establecimientos colectivos;Ambos sexos;699
Valladolid;Otros tipos de establecimientos colectivos;Hombre;548
Valladolid;Otros tipos de establecimientos colectivos;Mujer;150
Zamora;Total;Ambos sexos;3.693
Zamora;Total;Hombre;1.355
Zamora;Total;Mujer;2.339
Zamora;Instituciones sanitarias;Ambos sexos;..
Zamora;Instituciones sanitarias;Hombre;..
Zamora;Instituciones sanitarias;Mujer;..
Zamora;Residencias de personas mayores;Ambos sexos;3.016
Zamora;Residencias de personas mayores;Hombre;1.144
Zamora;Residencias de personas mayores;Mujer;1.872
Zamora;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;274
Zamora;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;177
Zamora;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;97
Zamora;Instituciones religiosas o militares;Ambos sexos;380
Zamora;Instituciones religiosas o militares;Hombre;22
Zamora;Instituciones religiosas o militares;Mujer;358
Zamora;Otros tipos de establecimientos colectivos;Ambos sexos;24
Zamora;Otros tipos de establecimientos colectivos;Hombre;12
Zamora;Otros tipos de establecimientos colectivos;Mujer;12
CASTILLA-LA MANCHA;Total;Ambos sexos;27.793
CASTILLA-LA MANCHA;Total;Hombre;11.940
CASTILLA-LA MANCHA;Total;Mujer;15.854
CASTILLA-LA MANCHA;Instituciones sanitarias;Ambos sexos;268
CASTILLA-LA MANCHA;Instituciones sanitarias;Hombre;176
CASTILLA-LA MANCHA;Instituciones sanitarias;Mujer;92
CASTILLA-LA MANCHA;Residencias de personas mayores;Ambos sexos;20.949
CASTILLA-LA MANCHA;Residencias de personas mayores;Hombre;7.649
CASTILLA-LA MANCHA;Residencias de personas mayores;Mujer;13.300
CASTILLA-LA MANCHA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;1.859
CASTILLA-LA MANCHA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;1.074
CASTILLA-LA MANCHA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;785
CASTILLA-LA MANCHA;Instituciones religiosas o militares;Ambos sexos;1.307
CASTILLA-LA MANCHA;Instituciones religiosas o militares;Hombre;283
CASTILLA-LA MANCHA;Instituciones religiosas o militares;Mujer;1.024
CASTILLA-LA MANCHA;Otros tipos de establecimientos colectivos;Ambos sexos;3.411
CASTILLA-LA MANCHA;Otros tipos de establecimientos colectivos;Hombre;2.758
CASTILLA-LA MANCHA;Otros tipos de establecimientos colectivos;Mujer;653
Albacete;Total;Ambos sexos;3.933
Albacete;Total;Hombre;1.860
Albacete;Total;Mujer;2.073
Albacete;Instituciones sanitarias;Ambos sexos;..
Albacete;Instituciones sanitarias;Hombre;..
Albacete;Instituciones sanitarias;Mujer;..
Albacete;Residencias de personas mayores;Ambos sexos;2.649
Albacete;Residencias de personas mayores;Hombre;950
Albacete;Residencias de personas mayores;Mujer;1.699
Albacete;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;457
Albacete;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;285
Albacete;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;173
Albacete;Instituciones religiosas o militares;Ambos sexos;228
Albacete;Instituciones religiosas o militares;Hombre;162
Albacete;Instituciones religiosas o militares;Mujer;66
Albacete;Otros tipos de establecimientos colectivos;Ambos sexos;598
Albacete;Otros tipos de establecimientos colectivos;Hombre;463
Albacete;Otros tipos de establecimientos colectivos;Mujer;135
Ciudad Real;Total;Ambos sexos;6.462
Ciudad Real;Total;Hombre;2.772
Ciudad Real;Total;Mujer;3.690
Ciudad Real;Instituciones sanitarias;Ambos sexos;49
Ciudad Real;Instituciones sanitarias;Hombre;32
Ciudad Real;Instituciones sanitarias;Mujer;17
Ciudad Real;Residencias de personas mayores;Ambos sexos;4.802
Ciudad Real;Residencias de personas mayores;Hombre;1.661
Ciudad Real;Residencias de personas mayores;Mujer;3.141
Ciudad Real;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;562
Ciudad Real;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;323
Ciudad Real;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;240
Ciudad Real;Instituciones religiosas o militares;Ambos sexos;123
Ciudad Real;Instituciones religiosas o militares;Hombre;..
Ciudad Real;Instituciones religiosas o militares;Mujer;123
Ciudad Real;Otros tipos de establecimientos colectivos;Ambos sexos;926
Ciudad Real;Otros tipos de establecimientos colectivos;Hombre;756
Ciudad Real;Otros tipos de establecimientos colectivos;Mujer;169
Cuenca;Total;Ambos sexos;3.492
Cuenca;Total;Hombre;1.428
Cuenca;Total;Mujer;2.064
Cuenca;Instituciones sanitarias;Ambos sexos;..
Cuenca;Instituciones sanitarias;Hombre;..
Cuenca;Instituciones sanitarias;Mujer;..
Cuenca;Residencias de personas mayores;Ambos sexos;2.849
Cuenca;Residencias de personas mayores;Hombre;1.106
Cuenca;Residencias de personas mayores;Mujer;1.743
Cuenca;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;190
Cuenca;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;118
Cuenca;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;71
Cuenca;Instituciones religiosas o militares;Ambos sexos;145
Cuenca;Instituciones religiosas o militares;Hombre;..
Cuenca;Instituciones religiosas o militares;Mujer;145
Cuenca;Otros tipos de establecimientos colectivos;Ambos sexos;308
Cuenca;Otros tipos de establecimientos colectivos;Hombre;204
Cuenca;Otros tipos de establecimientos colectivos;Mujer;104
Guadalajara;Total;Ambos sexos;3.877
Guadalajara;Total;Hombre;1.547
Guadalajara;Total;Mujer;2.330
Guadalajara;Instituciones sanitarias;Ambos sexos;192
Guadalajara;Instituciones sanitarias;Hombre;128
Guadalajara;Instituciones sanitarias;Mujer;64
Guadalajara;Residencias de personas mayores;Ambos sexos;2.881
Guadalajara;Residencias de personas mayores;Hombre;1.019
Guadalajara;Residencias de personas mayores;Mujer;1.862
Guadalajara;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;356
Guadalajara;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;226
Guadalajara;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;130
Guadalajara;Instituciones religiosas o militares;Ambos sexos;221
Guadalajara;Instituciones religiosas o militares;Hombre;42
Guadalajara;Instituciones religiosas o militares;Mujer;179
Guadalajara;Otros tipos de establecimientos colectivos;Ambos sexos;227
Guadalajara;Otros tipos de establecimientos colectivos;Hombre;132
Guadalajara;Otros tipos de establecimientos colectivos;Mujer;95
Toledo;Total;Ambos sexos;10.029
Toledo;Total;Hombre;4.333
Toledo;Total;Mujer;5.696
Toledo;Instituciones sanitarias;Ambos sexos;27
Toledo;Instituciones sanitarias;Hombre;16
Toledo;Instituciones sanitarias;Mujer;11
Toledo;Residencias de personas mayores;Ambos sexos;7.769
Toledo;Residencias de personas mayores;Hombre;2.913
Toledo;Residencias de personas mayores;Mujer;4.856
Toledo;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;293
Toledo;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;122
Toledo;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;171
Toledo;Instituciones religiosas o militares;Ambos sexos;589
Toledo;Instituciones religiosas o militares;Hombre;80
Toledo;Instituciones religiosas o militares;Mujer;510
Toledo;Otros tipos de establecimientos colectivos;Ambos sexos;1.351
Toledo;Otros tipos de establecimientos colectivos;Hombre;1.202
Toledo;Otros tipos de establecimientos colectivos;Mujer;149
CATALUÑA;Total;Ambos sexos;75.710
CATALUÑA;Total;Hombre;31.528
CATALUÑA;Total;Mujer;44.182
CATALUÑA;Instituciones sanitarias;Ambos sexos;3.490
CATALUÑA;Instituciones sanitarias;Hombre;1.837
CATALUÑA;Instituciones sanitarias;Mujer;1.653
CATALUÑA;Residencias de personas mayores;Ambos sexos;47.988
CATALUÑA;Residencias de personas mayores;Hombre;12.489
CATALUÑA;Residencias de personas mayores;Mujer;35.499
CATALUÑA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;6.978
CATALUÑA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;3.977
CATALUÑA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;3.001
CATALUÑA;Instituciones religiosas o militares;Ambos sexos;2.999
CATALUÑA;Instituciones religiosas o militares;Hombre;1.453
CATALUÑA;Instituciones religiosas o militares;Mujer;1.546
CATALUÑA;Otros tipos de establecimientos colectivos;Ambos sexos;14.255
CATALUÑA;Otros tipos de establecimientos colectivos;Hombre;11.772
CATALUÑA;Otros tipos de establecimientos colectivos;Mujer;2.483
Barcelona;Total;Ambos sexos;54.820
Barcelona;Total;Hombre;22.512
Barcelona;Total;Mujer;32.308
Barcelona;Instituciones sanitarias;Ambos sexos;2.404
Barcelona;Instituciones sanitarias;Hombre;1.356
Barcelona;Instituciones sanitarias;Mujer;1.048
Barcelona;Residencias de personas mayores;Ambos sexos;34.849
Barcelona;Residencias de personas mayores;Hombre;8.529
Barcelona;Residencias de personas mayores;Mujer;26.320
Barcelona;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;4.990
Barcelona;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;2.835
Barcelona;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;2.156
Barcelona;Instituciones religiosas o militares;Ambos sexos;1.708
Barcelona;Instituciones religiosas o militares;Hombre;656
Barcelona;Instituciones religiosas o militares;Mujer;1.052
Barcelona;Otros tipos de establecimientos colectivos;Ambos sexos;10.870
Barcelona;Otros tipos de establecimientos colectivos;Hombre;9.137
Barcelona;Otros tipos de establecimientos colectivos;Mujer;1.733
Girona;Total;Ambos sexos;7.155
Girona;Total;Hombre;2.834
Girona;Total;Mujer;4.321
Girona;Instituciones sanitarias;Ambos sexos;452
Girona;Instituciones sanitarias;Hombre;146
Girona;Instituciones sanitarias;Mujer;306
Girona;Residencias de personas mayores;Ambos sexos;4.740
Girona;Residencias de personas mayores;Hombre;1.430
Girona;Residencias de personas mayores;Mujer;3.310
Girona;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;559
Girona;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;285
Girona;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;274
Girona;Instituciones religiosas o militares;Ambos sexos;340
Girona;Instituciones religiosas o militares;Hombre;237
Girona;Instituciones religiosas o militares;Mujer;103
Girona;Otros tipos de establecimientos colectivos;Ambos sexos;1.064
Girona;Otros tipos de establecimientos colectivos;Hombre;736
Girona;Otros tipos de establecimientos colectivos;Mujer;328
Lleida;Total;Ambos sexos;7.543
Lleida;Total;Hombre;3.670
Lleida;Total;Mujer;3.874
Lleida;Instituciones sanitarias;Ambos sexos;298
Lleida;Instituciones sanitarias;Hombre;139
Lleida;Instituciones sanitarias;Mujer;159
Lleida;Residencias de personas mayores;Ambos sexos;4.077
Lleida;Residencias de personas mayores;Hombre;1.213
Lleida;Residencias de personas mayores;Mujer;2.865
Lleida;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;996
Lleida;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;616
Lleida;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;380
Lleida;Instituciones religiosas o militares;Ambos sexos;556
Lleida;Instituciones religiosas o militares;Hombre;409
Lleida;Instituciones religiosas o militares;Mujer;147
Lleida;Otros tipos de establecimientos colectivos;Ambos sexos;1.615
Lleida;Otros tipos de establecimientos colectivos;Hombre;1.293
Lleida;Otros tipos de establecimientos colectivos;Mujer;322
Tarragona;Total;Ambos sexos;6.191
Tarragona;Total;Hombre;2.513
Tarragona;Total;Mujer;3.678
Tarragona;Instituciones sanitarias;Ambos sexos;336
Tarragona;Instituciones sanitarias;Hombre;196
Tarragona;Instituciones sanitarias;Mujer;140
Tarragona;Residencias de personas mayores;Ambos sexos;4.322
Tarragona;Residencias de personas mayores;Hombre;1.318
Tarragona;Residencias de personas mayores;Mujer;3.004
Tarragona;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;433
Tarragona;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;241
Tarragona;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;191
Tarragona;Instituciones religiosas o militares;Ambos sexos;394
Tarragona;Instituciones religiosas o militares;Hombre;150
Tarragona;Instituciones religiosas o militares;Mujer;244
Tarragona;Otros tipos de establecimientos colectivos;Ambos sexos;706
Tarragona;Otros tipos de establecimientos colectivos;Hombre;606
Tarragona;Otros tipos de establecimientos colectivos;Mujer;100
COMUNITAT VALENCIANA;Total;Ambos sexos;35.220
COMUNITAT VALENCIANA;Total;Hombre;17.381
COMUNITAT VALENCIANA;Total;Mujer;17.839
COMUNITAT VALENCIANA;Instituciones sanitarias;Ambos sexos;420
COMUNITAT VALENCIANA;Instituciones sanitarias;Hombre;252
COMUNITAT VALENCIANA;Instituciones sanitarias;Mujer;168
COMUNITAT VALENCIANA;Residencias de personas mayores;Ambos sexos;20.345
COMUNITAT VALENCIANA;Residencias de personas mayores;Hombre;6.506
COMUNITAT VALENCIANA;Residencias de personas mayores;Mujer;13.839
COMUNITAT VALENCIANA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;3.381
COMUNITAT VALENCIANA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;1.970
COMUNITAT VALENCIANA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;1.411
COMUNITAT VALENCIANA;Instituciones religiosas o militares;Ambos sexos;2.284
COMUNITAT VALENCIANA;Instituciones religiosas o militares;Hombre;1.305
COMUNITAT VALENCIANA;Instituciones religiosas o militares;Mujer;979
COMUNITAT VALENCIANA;Otros tipos de establecimientos colectivos;Ambos sexos;8.790
COMUNITAT VALENCIANA;Otros tipos de establecimientos colectivos;Hombre;7.348
COMUNITAT VALENCIANA;Otros tipos de establecimientos colectivos;Mujer;1.442
Alicante/Alacant;Total;Ambos sexos;12.380
Alicante/Alacant;Total;Hombre;6.049
Alicante/Alacant;Total;Mujer;6.331
Alicante/Alacant;Instituciones sanitarias;Ambos sexos;221
Alicante/Alacant;Instituciones sanitarias;Hombre;132
Alicante/Alacant;Instituciones sanitarias;Mujer;88
Alicante/Alacant;Residencias de personas mayores;Ambos sexos;6.912
Alicante/Alacant;Residencias de personas mayores;Hombre;2.328
Alicante/Alacant;Residencias de personas mayores;Mujer;4.584
Alicante/Alacant;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;1.299
Alicante/Alacant;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;804
Alicante/Alacant;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;495
Alicante/Alacant;Instituciones religiosas o militares;Ambos sexos;598
Alicante/Alacant;Instituciones religiosas o militares;Hombre;346
Alicante/Alacant;Instituciones religiosas o militares;Mujer;252
Alicante/Alacant;Otros tipos de establecimientos colectivos;Ambos sexos;3.349
Alicante/Alacant;Otros tipos de establecimientos colectivos;Hombre;2.438
Alicante/Alacant;Otros tipos de establecimientos colectivos;Mujer;911
Castellón/Castelló;Total;Ambos sexos;5.214
Castellón/Castelló;Total;Hombre;3.201
Castellón/Castelló;Total;Mujer;2.013
Castellón/Castelló;Instituciones sanitarias;Ambos sexos;28
Castellón/Castelló;Instituciones sanitarias;Hombre;15
Castellón/Castelló;Instituciones sanitarias;Mujer;12
Castellón/Castelló;Residencias de personas mayores;Ambos sexos;2.378
Castellón/Castelló;Residencias de personas mayores;Hombre;725
Castellón/Castelló;Residencias de personas mayores;Mujer;1.652
Castellón/Castelló;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;345
Castellón/Castelló;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;205
Castellón/Castelló;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;140
Castellón/Castelló;Instituciones religiosas o militares;Ambos sexos;159
Castellón/Castelló;Instituciones religiosas o militares;Hombre;..
Castellón/Castelló;Instituciones religiosas o militares;Mujer;159
Castellón/Castelló;Otros tipos de establecimientos colectivos;Ambos sexos;2.304
Castellón/Castelló;Otros tipos de establecimientos colectivos;Hombre;2.255
Castellón/Castelló;Otros tipos de establecimientos colectivos;Mujer;49
Valencia/València;Total;Ambos sexos;17.626
Valencia/València;Total;Hombre;8.131
Valencia/València;Total;Mujer;9.495
Valencia/València;Instituciones sanitarias;Ambos sexos;172
Valencia/València;Instituciones sanitarias;Hombre;104
Valencia/València;Instituciones sanitarias;Mujer;67
Valencia/València;Residencias de personas mayores;Ambos sexos;11.055
Valencia/València;Residencias de personas mayores;Hombre;3.452
Valencia/València;Residencias de personas mayores;Mujer;7.603
Valencia/València;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;1.737
Valencia/València;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;961
Valencia/València;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;776
Valencia/València;Instituciones religiosas o militares;Ambos sexos;1.527
Valencia/València;Instituciones religiosas o militares;Hombre;959
Valencia/València;Instituciones religiosas o militares;Mujer;568
Valencia/València;Otros tipos de establecimientos colectivos;Ambos sexos;3.136
Valencia/València;Otros tipos de establecimientos colectivos;Hombre;2.655
Valencia/València;Otros tipos de establecimientos colectivos;Mujer;481
EXTREMADURA;Total;Ambos sexos;12.512
EXTREMADURA;Total;Hombre;5.655
EXTREMADURA;Total;Mujer;6.857
EXTREMADURA;Instituciones sanitarias;Ambos sexos;687
EXTREMADURA;Instituciones sanitarias;Hombre;469
EXTREMADURA;Instituciones sanitarias;Mujer;218
EXTREMADURA;Residencias de personas mayores;Ambos sexos;8.668
EXTREMADURA;Residencias de personas mayores;Hombre;3.165
EXTREMADURA;Residencias de personas mayores;Mujer;5.502
EXTREMADURA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;1.104
EXTREMADURA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;684
EXTREMADURA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;421
EXTREMADURA;Instituciones religiosas o militares;Ambos sexos;676
EXTREMADURA;Instituciones religiosas o militares;Hombre;191
EXTREMADURA;Instituciones religiosas o militares;Mujer;485
EXTREMADURA;Otros tipos de establecimientos colectivos;Ambos sexos;1.377
EXTREMADURA;Otros tipos de establecimientos colectivos;Hombre;1.145
EXTREMADURA;Otros tipos de establecimientos colectivos;Mujer;232
Badajoz;Total;Ambos sexos;6.348
Badajoz;Total;Hombre;2.969
Badajoz;Total;Mujer;3.379
Badajoz;Instituciones sanitarias;Ambos sexos;389
Badajoz;Instituciones sanitarias;Hombre;245
Badajoz;Instituciones sanitarias;Mujer;143
Badajoz;Residencias de personas mayores;Ambos sexos;4.165
Badajoz;Residencias de personas mayores;Hombre;1.579
Badajoz;Residencias de personas mayores;Mujer;2.587
Badajoz;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;546
Badajoz;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;324
Badajoz;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;222
Badajoz;Instituciones religiosas o militares;Ambos sexos;380
Badajoz;Instituciones religiosas o militares;Hombre;92
Badajoz;Instituciones religiosas o militares;Mujer;288
Badajoz;Otros tipos de establecimientos colectivos;Ambos sexos;868
Badajoz;Otros tipos de establecimientos colectivos;Hombre;729
Badajoz;Otros tipos de establecimientos colectivos;Mujer;139
Cáceres;Total;Ambos sexos;6.164
Cáceres;Total;Hombre;2.685
Cáceres;Total;Mujer;3.479
Cáceres;Instituciones sanitarias;Ambos sexos;298
Cáceres;Instituciones sanitarias;Hombre;224
Cáceres;Instituciones sanitarias;Mujer;75
Cáceres;Residencias de personas mayores;Ambos sexos;4.502
Cáceres;Residencias de personas mayores;Hombre;1.587
Cáceres;Residencias de personas mayores;Mujer;2.915
Cáceres;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;558
Cáceres;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;360
Cáceres;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;198
Cáceres;Instituciones religiosas o militares;Ambos sexos;296
Cáceres;Instituciones religiosas o militares;Hombre;99
Cáceres;Instituciones religiosas o militares;Mujer;197
Cáceres;Otros tipos de establecimientos colectivos;Ambos sexos;509
Cáceres;Otros tipos de establecimientos colectivos;Hombre;416
Cáceres;Otros tipos de establecimientos colectivos;Mujer;93
GALICIA;Total;Ambos sexos;22.037
GALICIA;Total;Hombre;9.984
GALICIA;Total;Mujer;12.053
GALICIA;Instituciones sanitarias;Ambos sexos;113
GALICIA;Instituciones sanitarias;Hombre;58
GALICIA;Instituciones sanitarias;Mujer;55
GALICIA;Residencias de personas mayores;Ambos sexos;14.263
GALICIA;Residencias de personas mayores;Hombre;4.506
GALICIA;Residencias de personas mayores;Mujer;9.757
GALICIA;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;2.164
