Comunidades Autónomas y Provincias;Tipo de establecimiento colectivo (agrupado);Sexo;Total
Córdoba;Instituciones religiosas o militares;Ambos sexos;1.191
Córdoba;Instituciones religiosas o militares;Hombre;686
Córdoba;Instituciones religiosas o militares;Mujer;505
Córdoba;Otros tipos de establecimientos colectivos;Ambos sexos;2.125
Córdoba;Otros tipos de establecimientos colectivos;Hombre;1.836
Córdoba;Otros tipos de establecimientos colectivos;Mujer;289
Granada;Total;Ambos sexos;6.368
Granada;Total;Hombre;2.859
Granada;Total;Mujer;3.510
Granada;Instituciones sanitarias;Ambos sexos;..
Granada;Instituciones sanitarias;Hombre;..
Granada;Instituciones sanitarias;Mujer;..
Granada;Residencias de personas mayores;Ambos sexos;3.534
Granada;Residencias de personas mayores;Hombre;1.111
Granada;Residencias de personas mayores;Mujer;2.423
Granada;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;853
Granada;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;507
Granada;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Mujer;346
Granada;Instituciones religiosas o militares;Ambos sexos;594
Granada;Instituciones religiosas o militares;Hombre;132
Granada;Instituciones religiosas o militares;Mujer;462
Granada;Otros tipos de establecimientos colectivos;Ambos sexos;1.387
Granada;Otros tipos de establecimientos colectivos;Hombre;1.108
Granada;Otros tipos de establecimientos colectivos;Mujer;279
Huelva;Total;Ambos sexos;3.609
Huelva;Total;Hombre;2.138
Huelva;Total;Mujer;1.471
Huelva;Instituciones sanitarias;Ambos sexos;..
Huelva;Instituciones sanitarias;Hombre;..
Huelva;Instituciones sanitarias;Mujer;..
Huelva;Residencias de personas mayores;Ambos sexos;1.590
Huelva;Residencias de personas mayores;Hombre;533
Huelva;Residencias de personas mayores;Mujer;1.058
Huelva;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Ambos sexos;253
Huelva;Instituciones para personas con discapacidad o instituciones de asistencia social a la infancia, juventud, ...;Hombre;121
