Provincias;Sexo;Periodo;Total
11 Cádiz;Hombres;2010;4.767
11 Cádiz;Hombres;2009;4.759
11 Cádiz;Hombres;2008;4.701
11 Cádiz;Hombres;2007;4.376
11 Cádiz;Hombres;2006;4.369
11 Cádiz;Hombres;2005;5.023
11 Cádiz;Hombres;2004;4.853
11 Cádiz;Hombres;2003;4.857
11 Cádiz;Hombres;2002;4.481
11 Cádiz;Hombres;2001;4.465
11 Cádiz;Hombres;2000;4.499
11 Cádiz;Hombres;1999;4.647
11 Cádiz;Hombres;1998;4.435
11 Cádiz;Hombres;1997;4.285
11 Cádiz;Hombres;1996;4.607
11 Cádiz;Hombres;1995;4.503
11 Cádiz;Hombres;1994;4.066
11 Cádiz;Hombres;1993;4.259
11 Cádiz;Hombres;1992;4.087
11 Cádiz;Hombres;1991;4.330
11 Cádiz;Hombres;1990;4.328
11 Cádiz;Hombres;1989;3.947
11 Cádiz;Hombres;1988;3.945
11 Cádiz;Hombres;1987;3.856
11 Cádiz;Hombres;1986;3.877
11 Cádiz;Hombres;1985;3.908
11 Cádiz;Hombres;1984;3.764
11 Cádiz;Hombres;1983;3.633
11 Cádiz;Hombres;1982;3.693
11 Cádiz;Hombres;1981;3.666
11 Cádiz;Hombres;1980;3.544
11 Cádiz;Hombres;1979;3.602
11 Cádiz;Hombres;1978;3.714
11 Cádiz;Hombres;1977;3.826
11 Cádiz;Hombres;1976;3.709
11 Cádiz;Hombres;1975;3.704
11 Cádiz;Mujeres;2018;5.024
11 Cádiz;Mujeres;2017;4.838
11 Cádiz;Mujeres;2016;4.728
11 Cádiz;Mujeres;2015;4.927
11 Cádiz;Mujeres;2014;4.411
11 Cádiz;Mujeres;2013;4.491
11 Cádiz;Mujeres;2012;4.570
11 Cádiz;Mujeres;2011;4.300
11 Cádiz;Mujeres;2010;4.250
11 Cádiz;Mujeres;2009;4.234
11 Cádiz;Mujeres;2008;4.209
11 Cádiz;Mujeres;2007;4.002
11 Cádiz;Mujeres;2006;4.002
11 Cádiz;Mujeres;2005;4.210
11 Cádiz;Mujeres;2004;4.029
11 Cádiz;Mujeres;2003;4.186
11 Cádiz;Mujeres;2002;3.917
11 Cádiz;Mujeres;2001;3.779
11 Cádiz;Mujeres;2000;3.924
11 Cádiz;Mujeres;1999;3.964
11 Cádiz;Mujeres;1998;3.860
11 Cádiz;Mujeres;1997;3.798
11 Cádiz;Mujeres;1996;3.731
11 Cádiz;Mujeres;1995;3.801
11 Cádiz;Mujeres;1994;3.577
11 Cádiz;Mujeres;1993;3.628
11 Cádiz;Mujeres;1992;3.440
11 Cádiz;Mujeres;1991;3.552
11 Cádiz;Mujeres;1990;3.598
11 Cádiz;Mujeres;1989;3.362
11 Cádiz;Mujeres;1988;3.439
11 Cádiz;Mujeres;1987;3.384
11 Cádiz;Mujeres;1986;3.270
11 Cádiz;Mujeres;1985;3.273
11 Cádiz;Mujeres;1984;3.306
11 Cádiz;Mujeres;1983;3.202
11 Cádiz;Mujeres;1982;3.179
11 Cádiz;Mujeres;1981;3.109
11 Cádiz;Mujeres;1980;3.275
11 Cádiz;Mujeres;1979;3.064
11 Cádiz;Mujeres;1978;3.276
11 Cádiz;Mujeres;1977;3.209
11 Cádiz;Mujeres;1976;3.380
11 Cádiz;Mujeres;1975;3.293
39 Cantabria;Total;2018;6.096
39 Cantabria;Total;2017;5.958
39 Cantabria;Total;2016;5.936
39 Cantabria;Total;2015;6.041
39 Cantabria;Total;2014;5.899
39 Cantabria;Total;2013;5.603
39 Cantabria;Total;2012;5.812
39 Cantabria;Total;2011;5.606
39 Cantabria;Total;2010;5.466
39 Cantabria;Total;2009;5.513
39 Cantabria;Total;2008;5.522
39 Cantabria;Total;2007;5.615
39 Cantabria;Total;2006;5.449
39 Cantabria;Total;2005;5.370
39 Cantabria;Total;2004;5.214
39 Cantabria;Total;2003;5.399
39 Cantabria;Total;2002;5.278
39 Cantabria;Total;2001;5.077
39 Cantabria;Total;2000;5.335
39 Cantabria;Total;1999;5.385
39 Cantabria;Total;1998;5.167
39 Cantabria;Total;1997;5.086
39 Cantabria;Total;1996;5.189
39 Cantabria;Total;1995;5.031
39 Cantabria;Total;1994;4.862
39 Cantabria;Total;1993;4.929
39 Cantabria;Total;1992;4.817
39 Cantabria;Total;1991;4.740
39 Cantabria;Total;1990;4.725
39 Cantabria;Total;1989;4.662
39 Cantabria;Total;1988;4.544
39 Cantabria;Total;1987;4.285
39 Cantabria;Total;1986;4.408
39 Cantabria;Total;1985;4.472
39 Cantabria;Total;1984;4.304
39 Cantabria;Total;1983;4.344
39 Cantabria;Total;1982;4.056
39 Cantabria;Total;1981;4.149
39 Cantabria;Total;1980;4.156
39 Cantabria;Total;1979;4.145
39 Cantabria;Total;1978;3.870
39 Cantabria;Total;1977;4.153
39 Cantabria;Total;1976;4.150
39 Cantabria;Total;1975;4.271
39 Cantabria;Hombres;2018;3.095
39 Cantabria;Hombres;2017;2.993
39 Cantabria;Hombres;2016;3.003
39 Cantabria;Hombres;2015;2.984
39 Cantabria;Hombres;2014;2.939
39 Cantabria;Hombres;2013;2.815
39 Cantabria;Hombres;2012;2.911
39 Cantabria;Hombres;2011;2.883
39 Cantabria;Hombres;2010;2.858
39 Cantabria;Hombres;2009;2.876
39 Cantabria;Hombres;2008;2.840
39 Cantabria;Hombres;2007;2.904
39 Cantabria;Hombres;2006;2.827
39 Cantabria;Hombres;2005;2.838
39 Cantabria;Hombres;2004;2.751
39 Cantabria;Hombres;2003;2.812
39 Cantabria;Hombres;2002;2.790
39 Cantabria;Hombres;2001;2.656
39 Cantabria;Hombres;2000;2.761
39 Cantabria;Hombres;1999;2.827
39 Cantabria;Hombres;1998;2.763
39 Cantabria;Hombres;1997;2.656
39 Cantabria;Hombres;1996;2.710
39 Cantabria;Hombres;1995;2.707
39 Cantabria;Hombres;1994;2.629
39 Cantabria;Hombres;1993;2.603
39 Cantabria;Hombres;1992;2.599
39 Cantabria;Hombres;1991;2.563
39 Cantabria;Hombres;1990;2.492
39 Cantabria;Hombres;1989;2.472
39 Cantabria;Hombres;1988;2.385
39 Cantabria;Hombres;1987;2.274
39 Cantabria;Hombres;1986;2.312
39 Cantabria;Hombres;1985;2.425
39 Cantabria;Hombres;1984;2.279
39 Cantabria;Hombres;1983;2.232
39 Cantabria;Hombres;1982;2.118
39 Cantabria;Hombres;1981;2.199
39 Cantabria;Hombres;1980;2.272
39 Cantabria;Hombres;1979;2.222
39 Cantabria;Hombres;1978;2.039
39 Cantabria;Hombres;1977;2.154
39 Cantabria;Hombres;1976;2.163
39 Cantabria;Hombres;1975;2.223
39 Cantabria;Mujeres;2018;3.001
39 Cantabria;Mujeres;2017;2.965
39 Cantabria;Mujeres;2016;2.933
39 Cantabria;Mujeres;2015;3.057
39 Cantabria;Mujeres;2014;2.960
39 Cantabria;Mujeres;2013;2.788
39 Cantabria;Mujeres;2012;2.901
39 Cantabria;Mujeres;2011;2.723
39 Cantabria;Mujeres;2010;2.608
39 Cantabria;Mujeres;2009;2.637
39 Cantabria;Mujeres;2008;2.682
39 Cantabria;Mujeres;2007;2.711
39 Cantabria;Mujeres;2006;2.622
39 Cantabria;Mujeres;2005;2.532
39 Cantabria;Mujeres;2004;2.463
39 Cantabria;Mujeres;2003;2.587
39 Cantabria;Mujeres;2002;2.488
39 Cantabria;Mujeres;2001;2.421
39 Cantabria;Mujeres;2000;2.574
39 Cantabria;Mujeres;1999;2.558
39 Cantabria;Mujeres;1998;2.404
39 Cantabria;Mujeres;1997;2.430
39 Cantabria;Mujeres;1996;2.479
39 Cantabria;Mujeres;1995;2.324
39 Cantabria;Mujeres;1994;2.233
39 Cantabria;Mujeres;1993;2.326
39 Cantabria;Mujeres;1992;2.218
39 Cantabria;Mujeres;1991;2.177
39 Cantabria;Mujeres;1990;2.233
39 Cantabria;Mujeres;1989;2.190
39 Cantabria;Mujeres;1988;2.159
39 Cantabria;Mujeres;1987;2.011
39 Cantabria;Mujeres;1986;2.096
39 Cantabria;Mujeres;1985;2.047
39 Cantabria;Mujeres;1984;2.025
39 Cantabria;Mujeres;1983;2.112
39 Cantabria;Mujeres;1982;1.938
39 Cantabria;Mujeres;1981;1.950
39 Cantabria;Mujeres;1980;1.884
39 Cantabria;Mujeres;1979;1.923
39 Cantabria;Mujeres;1978;1.831
39 Cantabria;Mujeres;1977;1.999
39 Cantabria;Mujeres;1976;1.987
39 Cantabria;Mujeres;1975;2.048
12 Castellón/Castelló;Total;2018;5.595
12 Castellón/Castelló;Total;2017;5.293
12 Castellón/Castelló;Total;2016;5.139
12 Castellón/Castelló;Total;2015;5.382
12 Castellón/Castelló;Total;2014;5.036
12 Castellón/Castelló;Total;2013;4.971
12 Castellón/Castelló;Total;2012;4.984
12 Castellón/Castelló;Total;2011;4.965
12 Castellón/Castelló;Total;2010;4.837
12 Castellón/Castelló;Total;2009;5.030
12 Castellón/Castelló;Total;2008;4.957
12 Castellón/Castelló;Total;2007;4.837
12 Castellón/Castelló;Total;2006;4.832
12 Castellón/Castelló;Total;2005;5.030
12 Castellón/Castelló;Total;2004;4.757
12 Castellón/Castelló;Total;2003;5.057
12 Castellón/Castelló;Total;2002;4.794
12 Castellón/Castelló;Total;2001;4.775
12 Castellón/Castelló;Total;2000;4.633
12 Castellón/Castelló;Total;1999;4.945
12 Castellón/Castelló;Total;1998;4.796
12 Castellón/Castelló;Total;1997;4.709
12 Castellón/Castelló;Total;1996;4.682
12 Castellón/Castelló;Total;1995;4.607
12 Castellón/Castelló;Total;1994;4.567
12 Castellón/Castelló;Total;1993;4.465
12 Castellón/Castelló;Total;1992;4.394
12 Castellón/Castelló;Total;1991;4.663
12 Castellón/Castelló;Total;1990;4.475
12 Castellón/Castelló;Total;1989;4.281
12 Castellón/Castelló;Total;1988;4.318
12 Castellón/Castelló;Total;1987;4.237
12 Castellón/Castelló;Total;1986;4.224
12 Castellón/Castelló;Total;1985;4.295
12 Castellón/Castelló;Total;1984;4.098
12 Castellón/Castelló;Total;1983;4.181
12 Castellón/Castelló;Total;1982;3.935
12 Castellón/Castelló;Total;1981;4.095
12 Castellón/Castelló;Total;1980;3.964
12 Castellón/Castelló;Total;1979;4.150
12 Castellón/Castelló;Total;1978;4.292
12 Castellón/Castelló;Total;1977;4.096
12 Castellón/Castelló;Total;1976;4.089
12 Castellón/Castelló;Total;1975;4.335
12 Castellón/Castelló;Hombres;2018;2.874
12 Castellón/Castelló;Hombres;2017;2.700
12 Castellón/Castelló;Hombres;2016;2.658
12 Castellón/Castelló;Hombres;2015;2.761
12 Castellón/Castelló;Hombres;2014;2.558
12 Castellón/Castelló;Hombres;2013;2.559
12 Castellón/Castelló;Hombres;2012;2.634
12 Castellón/Castelló;Hombres;2011;2.586
12 Castellón/Castelló;Hombres;2010;2.493
12 Castellón/Castelló;Hombres;2009;2.682
12 Castellón/Castelló;Hombres;2008;2.532
12 Castellón/Castelló;Hombres;2007;2.553
12 Castellón/Castelló;Hombres;2006;2.595
12 Castellón/Castelló;Hombres;2005;2.664
12 Castellón/Castelló;Hombres;2004;2.512
12 Castellón/Castelló;Hombres;2003;2.626
12 Castellón/Castelló;Hombres;2002;2.463
12 Castellón/Castelló;Hombres;2001;2.516
12 Castellón/Castelló;Hombres;2000;2.476
12 Castellón/Castelló;Hombres;1999;2.599
12 Castellón/Castelló;Hombres;1998;2.540
12 Castellón/Castelló;Hombres;1997;2.460
12 Castellón/Castelló;Hombres;1996;2.559
12 Castellón/Castelló;Hombres;1995;2.424
12 Castellón/Castelló;Hombres;1994;2.342
12 Castellón/Castelló;Hombres;1993;2.283
12 Castellón/Castelló;Hombres;1992;2.318
12 Castellón/Castelló;Hombres;1991;2.451
12 Castellón/Castelló;Hombres;1990;2.351
12 Castellón/Castelló;Hombres;1989;2.242
12 Castellón/Castelló;Hombres;1988;2.260
12 Castellón/Castelló;Hombres;1987;2.252
12 Castellón/Castelló;Hombres;1986;2.154
12 Castellón/Castelló;Hombres;1985;2.210
12 Castellón/Castelló;Hombres;1984;2.162
12 Castellón/Castelló;Hombres;1983;2.153
12 Castellón/Castelló;Hombres;1982;2.061
12 Castellón/Castelló;Hombres;1981;2.104
12 Castellón/Castelló;Hombres;1980;2.063
12 Castellón/Castelló;Hombres;1979;2.183
12 Castellón/Castelló;Hombres;1978;2.215
12 Castellón/Castelló;Hombres;1977;2.096
12 Castellón/Castelló;Hombres;1976;2.130
12 Castellón/Castelló;Hombres;1975;2.251
12 Castellón/Castelló;Mujeres;2018;2.721
12 Castellón/Castelló;Mujeres;2017;2.593
12 Castellón/Castelló;Mujeres;2016;2.481
12 Castellón/Castelló;Mujeres;2015;2.621
12 Castellón/Castelló;Mujeres;2014;2.478
12 Castellón/Castelló;Mujeres;2013;2.412
12 Castellón/Castelló;Mujeres;2012;2.350
12 Castellón/Castelló;Mujeres;2011;2.379
12 Castellón/Castelló;Mujeres;2010;2.344
12 Castellón/Castelló;Mujeres;2009;2.348
12 Castellón/Castelló;Mujeres;2008;2.425
12 Castellón/Castelló;Mujeres;2007;2.284
12 Castellón/Castelló;Mujeres;2006;2.237
12 Castellón/Castelló;Mujeres;2005;2.366
12 Castellón/Castelló;Mujeres;2004;2.245
12 Castellón/Castelló;Mujeres;2003;2.431
12 Castellón/Castelló;Mujeres;2002;2.331
12 Castellón/Castelló;Mujeres;2001;2.259
12 Castellón/Castelló;Mujeres;2000;2.157
12 Castellón/Castelló;Mujeres;1999;2.346
12 Castellón/Castelló;Mujeres;1998;2.256
12 Castellón/Castelló;Mujeres;1997;2.249
12 Castellón/Castelló;Mujeres;1996;2.123
12 Castellón/Castelló;Mujeres;1995;2.183
12 Castellón/Castelló;Mujeres;1994;2.225
12 Castellón/Castelló;Mujeres;1993;2.182
12 Castellón/Castelló;Mujeres;1992;2.076
12 Castellón/Castelló;Mujeres;1991;2.212
12 Castellón/Castelló;Mujeres;1990;2.124
12 Castellón/Castelló;Mujeres;1989;2.039
12 Castellón/Castelló;Mujeres;1988;2.058
12 Castellón/Castelló;Mujeres;1987;1.985
12 Castellón/Castelló;Mujeres;1986;2.070
12 Castellón/Castelló;Mujeres;1985;2.085
12 Castellón/Castelló;Mujeres;1984;1.936
12 Castellón/Castelló;Mujeres;1983;2.028
12 Castellón/Castelló;Mujeres;1982;1.874
12 Castellón/Castelló;Mujeres;1981;1.991
12 Castellón/Castelló;Mujeres;1980;1.901
12 Castellón/Castelló;Mujeres;1979;1.967
12 Castellón/Castelló;Mujeres;1978;2.077
12 Castellón/Castelló;Mujeres;1977;2.000
12 Castellón/Castelló;Mujeres;1976;1.959
12 Castellón/Castelló;Mujeres;1975;2.084
13 Ciudad Real;Total;2018;5.131
13 Ciudad Real;Total;2017;5.419
13 Ciudad Real;Total;2016;5.117
13 Ciudad Real;Total;2015;5.602
13 Ciudad Real;Total;2014;5.039
13 Ciudad Real;Total;2013;5.020
13 Ciudad Real;Total;2012;5.305
13 Ciudad Real;Total;2011;5.005
13 Ciudad Real;Total;2010;4.730
13 Ciudad Real;Total;2009;5.000
13 Ciudad Real;Total;2008;5.101
13 Ciudad Real;Total;2007;5.025
13 Ciudad Real;Total;2006;4.852
13 Ciudad Real;Total;2005;5.218
13 Ciudad Real;Total;2004;4.907
13 Ciudad Real;Total;2003;5.060
13 Ciudad Real;Total;2002;5.062
13 Ciudad Real;Total;2001;4.814
13 Ciudad Real;Total;2000;4.746
13 Ciudad Real;Total;1999;5.103
13 Ciudad Real;Total;1998;4.980
13 Ciudad Real;Total;1997;4.684
13 Ciudad Real;Total;1996;4.863
13 Ciudad Real;Total;1995;4.813
13 Ciudad Real;Total;1994;4.794
13 Ciudad Real;Total;1993;4.876
13 Ciudad Real;Total;1992;4.660
13 Ciudad Real;Total;1991;5.009
13 Ciudad Real;Total;1990;4.747
13 Ciudad Real;Total;1989;4.623
13 Ciudad Real;Total;1988;4.492
13 Ciudad Real;Total;1987;4.406
13 Ciudad Real;Total;1986;4.527
13 Ciudad Real;Total;1985;4.501
13 Ciudad Real;Total;1984;4.482
13 Ciudad Real;Total;1983;4.633
13 Ciudad Real;Total;1982;4.312
13 Ciudad Real;Total;1981;4.537
13 Ciudad Real;Total;1980;4.274
13 Ciudad Real;Total;1979;4.451
13 Ciudad Real;Total;1978;4.588
13 Ciudad Real;Total;1977;4.505
13 Ciudad Real;Total;1976;4.359
13 Ciudad Real;Total;1975;4.578
13 Ciudad Real;Hombres;2018;2.577
13 Ciudad Real;Hombres;2017;2.735
13 Ciudad Real;Hombres;2016;2.699
13 Ciudad Real;Hombres;2015;2.841
13 Ciudad Real;Hombres;2014;2.581
13 Ciudad Real;Hombres;2013;2.570
13 Ciudad Real;Hombres;2012;2.663
13 Ciudad Real;Hombres;2011;2.467
13 Ciudad Real;Hombres;2010;2.456
13 Ciudad Real;Hombres;2009;2.555
13 Ciudad Real;Hombres;2008;2.580
13 Ciudad Real;Hombres;2007;2.545
13 Ciudad Real;Hombres;2006;2.463
13 Ciudad Real;Hombres;2005;2.564
13 Ciudad Real;Hombres;2004;2.506
13 Ciudad Real;Hombres;2003;2.586
13 Ciudad Real;Hombres;2002;2.589
13 Ciudad Real;Hombres;2001;2.424
13 Ciudad Real;Hombres;2000;2.333
13 Ciudad Real;Hombres;1999;2.535
13 Ciudad Real;Hombres;1998;2.509
13 Ciudad Real;Hombres;1997;2.381
13 Ciudad Real;Hombres;1996;2.474
13 Ciudad Real;Hombres;1995;2.424
13 Ciudad Real;Hombres;1994;2.412
13 Ciudad Real;Hombres;1993;2.416
13 Ciudad Real;Hombres;1992;2.390
13 Ciudad Real;Hombres;1991;2.506
13 Ciudad Real;Hombres;1990;2.441
13 Ciudad Real;Hombres;1989;2.310
13 Ciudad Real;Hombres;1988;2.295
13 Ciudad Real;Hombres;1987;2.234
13 Ciudad Real;Hombres;1986;2.321
13 Ciudad Real;Hombres;1985;2.287
13 Ciudad Real;Hombres;1984;2.266
13 Ciudad Real;Hombres;1983;2.327
13 Ciudad Real;Hombres;1982;2.114
13 Ciudad Real;Hombres;1981;2.336
13 Ciudad Real;Hombres;1980;2.126
13 Ciudad Real;Hombres;1979;2.253
13 Ciudad Real;Hombres;1978;2.297
13 Ciudad Real;Hombres;1977;2.247
13 Ciudad Real;Hombres;1976;2.220
13 Ciudad Real;Hombres;1975;2.350
13 Ciudad Real;Mujeres;2018;2.554
13 Ciudad Real;Mujeres;2017;2.684
13 Ciudad Real;Mujeres;2016;2.418
13 Ciudad Real;Mujeres;2015;2.761
13 Ciudad Real;Mujeres;2014;2.458
13 Ciudad Real;Mujeres;2013;2.450
13 Ciudad Real;Mujeres;2012;2.642
13 Ciudad Real;Mujeres;2011;2.538
13 Ciudad Real;Mujeres;2010;2.274
13 Ciudad Real;Mujeres;2009;2.445
13 Ciudad Real;Mujeres;2008;2.521
13 Ciudad Real;Mujeres;2007;2.480
13 Ciudad Real;Mujeres;2006;2.389
13 Ciudad Real;Mujeres;2005;2.654
13 Ciudad Real;Mujeres;2004;2.401
13 Ciudad Real;Mujeres;2003;2.474
13 Ciudad Real;Mujeres;2002;2.473
13 Ciudad Real;Mujeres;2001;2.390
13 Ciudad Real;Mujeres;2000;2.413
13 Ciudad Real;Mujeres;1999;2.568
13 Ciudad Real;Mujeres;1998;2.471
13 Ciudad Real;Mujeres;1997;2.303
13 Ciudad Real;Mujeres;1996;2.389
13 Ciudad Real;Mujeres;1995;2.389
13 Ciudad Real;Mujeres;1994;2.382
13 Ciudad Real;Mujeres;1993;2.460
13 Ciudad Real;Mujeres;1992;2.270
13 Ciudad Real;Mujeres;1991;2.503
13 Ciudad Real;Mujeres;1990;2.306
13 Ciudad Real;Mujeres;1989;2.313
13 Ciudad Real;Mujeres;1988;2.197
13 Ciudad Real;Mujeres;1987;2.172
13 Ciudad Real;Mujeres;1986;2.206
13 Ciudad Real;Mujeres;1985;2.214
13 Ciudad Real;Mujeres;1984;2.216
13 Ciudad Real;Mujeres;1983;2.306
13 Ciudad Real;Mujeres;1982;2.198
13 Ciudad Real;Mujeres;1981;2.201
13 Ciudad Real;Mujeres;1980;2.148
13 Ciudad Real;Mujeres;1979;2.198
13 Ciudad Real;Mujeres;1978;2.291
13 Ciudad Real;Mujeres;1977;2.258
13 Ciudad Real;Mujeres;1976;2.139
13 Ciudad Real;Mujeres;1975;2.228
14 Córdoba;Total;2018;7.822
14 Córdoba;Total;2017;7.873
14 Córdoba;Total;2016;7.499
14 Córdoba;Total;2015;7.873
14 Córdoba;Total;2014;7.158
14 Córdoba;Total;2013;7.160
14 Córdoba;Total;2012;7.548
14 Córdoba;Total;2011;7.215
14 Córdoba;Total;2010;7.006
14 Córdoba;Total;2009;6.988
14 Córdoba;Total;2008;7.211
14 Córdoba;Total;2007;7.206
14 Córdoba;Total;2006;6.948
14 Córdoba;Total;2005;7.340
14 Córdoba;Total;2004;7.089
14 Córdoba;Total;2003;7.178
14 Córdoba;Total;2002;7.105
14 Córdoba;Total;2001;6.795
14 Córdoba;Total;2000;6.749
14 Córdoba;Total;1999;6.991
14 Córdoba;Total;1998;7.138
14 Córdoba;Total;1997;6.620
14 Córdoba;Total;1996;6.674
14 Córdoba;Total;1995;6.874
14 Córdoba;Total;1994;6.691
14 Córdoba;Total;1993;6.791
14 Córdoba;Total;1992;6.321
14 Córdoba;Total;1991;6.738
14 Córdoba;Total;1990;6.402
14 Córdoba;Total;1989;6.418
14 Córdoba;Total;1988;6.274
14 Córdoba;Total;1987;6.121
14 Córdoba;Total;1986;6.309
14 Córdoba;Total;1985;6.184
14 Córdoba;Total;1984;6.011
14 Córdoba;Total;1983;5.946
14 Córdoba;Total;1982;5.725
14 Córdoba;Total;1981;6.074
14 Córdoba;Total;1980;5.994
14 Córdoba;Total;1979;5.708
14 Córdoba;Total;1978;5.951
14 Córdoba;Total;1977;5.641
14 Córdoba;Total;1976;6.055
14 Córdoba;Total;1975;5.925
14 Córdoba;Hombres;2018;3.877
14 Córdoba;Hombres;2017;3.986
14 Córdoba;Hombres;2016;3.835
14 Córdoba;Hombres;2015;3.942
14 Córdoba;Hombres;2014;3.686
14 Córdoba;Hombres;2013;3.672
14 Córdoba;Hombres;2012;3.832
14 Córdoba;Hombres;2011;3.689
14 Córdoba;Hombres;2010;3.643
14 Córdoba;Hombres;2009;3.663
14 Córdoba;Hombres;2008;3.733
14 Córdoba;Hombres;2007;3.709
14 Córdoba;Hombres;2006;3.607
14 Córdoba;Hombres;2005;3.790
14 Córdoba;Hombres;2004;3.664
14 Córdoba;Hombres;2003;3.727
14 Córdoba;Hombres;2002;3.643
14 Córdoba;Hombres;2001;3.493
14 Córdoba;Hombres;2000;3.439
14 Córdoba;Hombres;1999;3.592
14 Córdoba;Hombres;1998;3.705
14 Córdoba;Hombres;1997;3.410
14 Córdoba;Hombres;1996;3.495
14 Córdoba;Hombres;1995;3.544
14 Córdoba;Hombres;1994;3.488
14 Córdoba;Hombres;1993;3.522
14 Córdoba;Hombres;1992;3.305
14 Córdoba;Hombres;1991;3.522
14 Córdoba;Hombres;1990;3.385
14 Córdoba;Hombres;1989;3.357
14 Córdoba;Hombres;1988;3.155
14 Córdoba;Hombres;1987;3.199
14 Córdoba;Hombres;1986;3.261
14 Córdoba;Hombres;1985;3.236
14 Córdoba;Hombres;1984;3.144
14 Córdoba;Hombres;1983;3.048
14 Córdoba;Hombres;1982;2.996
14 Córdoba;Hombres;1981;3.091
14 Córdoba;Hombres;1980;3.110
14 Córdoba;Hombres;1979;2.933
14 Córdoba;Hombres;1978;3.040
14 Córdoba;Hombres;1977;2.987
14 Córdoba;Hombres;1976;3.151
14 Córdoba;Hombres;1975;2.972
14 Córdoba;Mujeres;2018;3.945
14 Córdoba;Mujeres;2017;3.887
14 Córdoba;Mujeres;2016;3.664
14 Córdoba;Mujeres;2015;3.931
14 Córdoba;Mujeres;2014;3.472
14 Córdoba;Mujeres;2013;3.488
14 Córdoba;Mujeres;2012;3.716
14 Córdoba;Mujeres;2011;3.526
14 Córdoba;Mujeres;2010;3.363
14 Córdoba;Mujeres;2009;3.325
14 Córdoba;Mujeres;2008;3.478
14 Córdoba;Mujeres;2007;3.497
14 Córdoba;Mujeres;2006;3.341
14 Córdoba;Mujeres;2005;3.550
14 Córdoba;Mujeres;2004;3.425
14 Córdoba;Mujeres;2003;3.451
14 Córdoba;Mujeres;2002;3.462
14 Córdoba;Mujeres;2001;3.302
14 Córdoba;Mujeres;2000;3.310
14 Córdoba;Mujeres;1999;3.399
14 Córdoba;Mujeres;1998;3.433
14 Córdoba;Mujeres;1997;3.210
14 Córdoba;Mujeres;1996;3.179
14 Córdoba;Mujeres;1995;3.330
14 Córdoba;Mujeres;1994;3.203
14 Córdoba;Mujeres;1993;3.269
14 Córdoba;Mujeres;1992;3.016
14 Córdoba;Mujeres;1991;3.216
14 Córdoba;Mujeres;1990;3.017
14 Córdoba;Mujeres;1989;3.061
14 Córdoba;Mujeres;1988;3.119
14 Córdoba;Mujeres;1987;2.922
14 Córdoba;Mujeres;1986;3.048
14 Córdoba;Mujeres;1985;2.948
14 Córdoba;Mujeres;1984;2.867
14 Córdoba;Mujeres;1983;2.898
14 Córdoba;Mujeres;1982;2.729
14 Córdoba;Mujeres;1981;2.983
14 Córdoba;Mujeres;1980;2.884
14 Córdoba;Mujeres;1979;2.775
14 Córdoba;Mujeres;1978;2.911
14 Córdoba;Mujeres;1977;2.654
14 Córdoba;Mujeres;1976;2.904
14 Córdoba;Mujeres;1975;2.953
15 Coruña, A;Total;2018;13.098
15 Coruña, A;Total;2017;12.657
15 Coruña, A;Total;2016;12.575
15 Coruña, A;Total;2015;12.601
15 Coruña, A;Total;2014;12.036
15 Coruña, A;Total;2013;12.147
15 Coruña, A;Total;2012;11.992
15 Coruña, A;Total;2011;11.708
15 Coruña, A;Total;2010;11.708
15 Coruña, A;Total;2009;12.050
15 Coruña, A;Total;2008;11.618
15 Coruña, A;Total;2007;11.862
15 Coruña, A;Total;2006;11.403
15 Coruña, A;Total;2005;11.463
15 Coruña, A;Total;2004;11.292
15 Coruña, A;Total;2003;11.665
15 Coruña, A;Total;2002;10.818
15 Coruña, A;Total;2001;10.926
15 Coruña, A;Total;2000;11.028
15 Coruña, A;Total;1999;11.384
15 Coruña, A;Total;1998;10.747
15 Coruña, A;Total;1997;10.696
15 Coruña, A;Total;1996;11.192
15 Coruña, A;Total;1995;10.959
15 Coruña, A;Total;1994;10.702
15 Coruña, A;Total;1993;10.640
15 Coruña, A;Total;1992;10.490
15 Coruña, A;Total;1991;10.533
15 Coruña, A;Total;1990;10.664
15 Coruña, A;Total;1989;10.187
15 Coruña, A;Total;1988;10.102
15 Coruña, A;Total;1987;9.874
15 Coruña, A;Total;1986;10.228
15 Coruña, A;Total;1985;9.964
15 Coruña, A;Total;1984;9.506
15 Coruña, A;Total;1983;9.530
15 Coruña, A;Total;1982;9.575
15 Coruña, A;Total;1981;9.402
15 Coruña, A;Total;1980;9.017
15 Coruña, A;Total;1979;9.407
15 Coruña, A;Total;1978;9.473
15 Coruña, A;Total;1977;9.707
15 Coruña, A;Total;1976;9.486
15 Coruña, A;Total;1975;9.513
15 Coruña, A;Hombres;2018;6.558
15 Coruña, A;Hombres;2017;6.272
15 Coruña, A;Hombres;2016;6.404
15 Coruña, A;Hombres;2015;6.365
15 Coruña, A;Hombres;2014;6.018
15 Coruña, A;Hombres;2013;6.014
15 Coruña, A;Hombres;2012;5.952
15 Coruña, A;Hombres;2011;5.936
15 Coruña, A;Hombres;2010;5.800
15 Coruña, A;Hombres;2009;6.043
15 Coruña, A;Hombres;2008;5.898
15 Coruña, A;Hombres;2007;6.012
15 Coruña, A;Hombres;2006;5.751
15 Coruña, A;Hombres;2005;5.889
15 Coruña, A;Hombres;2004;5.798
