,Plazas residenciales privadas según tamaño del centro (plazas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2019,,,,,,2017,,,,,,2015,,,,,,2013,,,,,,2012,,,,,,2011,,,,,,2010,,,,,,2009,,,,,,2008,,,,,,2007,,,,,,2006,,,,
,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,,,Distribución de plazas según tamaño del centro 1,,,,
,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL,,< 25, 25 - 49,50 - 99,>= 100,TOTAL
,Asturias (Principado de),919,1444,1980,4094,8437,,924,1476,1997,3779,8176,,892,1208,1811,3646,7557,,1288,1276,1764,3539,7867,,1381,1244,1818,3274,7717,,1384,1228,1890,3083,7585,,1517,1232,1662,2792,7203,,1510,1197,1564,2792,7063,,1635,1169,1716,2245,6765,,1323,1193,1555,2244,6315,,,,,,6643
,Balears (Illes),0,269,555,2190,3014,,10,312,549,2076,2947,,10,309,450,2202,2971,,32,269,566,2033,2900,,22,294,538,2436,3290,,22,337,538,2316,3213,,38,342,538,1522,2440,,38,342,538,1522,2440,,38,342,632,1522,2534,,42,337,528,1182,2089,,,,,,1954
,Canarias,157,510,874,1931,3472,,129,501,959,1741,3330,,132,353,893,1899,3277,,167,456,796,2589,4008,,209,514,489,2701,3913,,238,508,390,2669,3805,,254,540,390,2669,3853,,254,519,422,2279,3474,,237,504,422,2279,3442,,327,729,295,2678,4029,,,,,,4044
,Palmas (Las),0,169,255,820,1244,,0,160,255,742,1157,,17,123,198,742,1080,,40,226,198,982,1446,,40,252,198,982,1472,,64,252,99,1108,1523,,78,278,99,1108,1563,,78,228,132,718,1156,,78,228,132,718,1156,,135,402,82,1054,1673,,,,,,
,Santa Cruz de Tenerife,157,341,619,1111,2228,,129,341,704,999,2173,,115,230,695,1157,2197,,127,230,598,1607,2562,,169,262,291,1719,2441,,174,256,291,1561,2282,,176,262,291,1561,2290,,176,291,290,1561,2318,,159,276,290,1561,2286,,192,327,213,1624,2356,,,,,,
,Cantabria,124,304,1460,3288,5176,,124,261,1388,3202,4975,,124,300,1336,3058,4818,,130,335,1143,2452,4060,,175,339,1073,2732,4319,,175,339,1073,2732,4319,,175,339,1073,2717,4304,,175,339,1073,2717,4304,,151,297,979,2717,4144,,117,285,623,2582,3607,,,,,,3892
,Castilla y León,1239,6446,10649,16130,34464,,1410,6510,10357,15311,33588,,1492,6329,9782,15164,32767,,1608,5947,9277,14250,31082,,1637,6076,8882,14182,30777,,1637,6057,8882,14265,30841,,1807,5669,8120,13059,28655,,1807,5669,8120,13059,28655,,1832,5773,8254,12907,28766,,1820,5708,7470,12350,27348,,,,,,23997
,Ávila,34,606,950,1153,2743,,75,532,1026,1153,2786,,75,535,905,1131,2646,,75,460,813,1331,2679,,75,508,818,1272,2673,,75,459,818,1355,2707,,72,509,578,1355,2514,,72,509,578,1355,2514,,72,506,646,1324,2548,,70,506,497,956,2029,,,,,,
,Burgos,190,1255,1790,1614,4849,,233,1297,2017,1306,4853,,233,1209,1716,1296,4454,,209,1204,1746,1274,4433,,241,1204,1643,1274,4362,,241,1247,1643,1274,4405,,221,1164,1548,1274,4207,,221,1164,1548,1274,4207,,221,1173,1634,1102,4130,,221,1097,1282,1332,3932,,,,,,
,León,214,973,1865,2523,5575,,203,1057,1592,2391,5243,,215,1044,1576,2391,5226,,313,895,1408,2042,4658,,289,881,1379,2042,4591,,289,881,1379,2042,4591,,336,802,1091,1917,4146,,336,802,1091,1917,4146,,336,802,1091,1921,4150,,299,778,1091,1921,4089,,,,,,
,Palencia,108,679,686,2024,3497,,108,728,619,2024,3479,,132,727,664,1918,3441,,157,664,609,1889,3319,,147,664,609,1889,3309,,147,664,609,1889,3309,,184,624,609,1676,3093,,184,624,609,1676,3093,,184,624,609,1676,3093,,184,624,520,1718,3046,,,,,,
,Salamanca,117,556,1867,2919,5459,,136,520,1757,2806,5219,,151,495,1746,2673,5065,,122,520,1522,2599,4763,,122,562,1359,2599,4642,,122,562,1359,2599,4642,,166,479,1282,2067,3994,,166,479,1282,2067,3994,,180,479,1207,2087,3953,,180,508,1027,2087,3802,,,,,,
,Segovia,46,395,755,642,1838,,46,393,755,642,1836,,46,392,674,642,1754,,46,349,676,632,1703,,46,349,659,632,1686,,46,349,659,632,1686,,58,349,695,632,1734,,58,349,695,632,1734,,58,350,750,482,1640,,58,366,638,482,1544,,,,,,
