,,2019,,,,,,,,,,2017,,,,,,,,,,2015,,,,,,,,,,2013,,,,,,,,,,2012,,,,,,,,,,2011,,,,,,,,,,2010,,,,,,,,,,2009,,,,,,,,,,2008,,,,,,,,,,2007,,,,,,,,,,2006,,,,,,,,,,2005,,,,,,,,,,2004,,,,,,,,
,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,,,Total centros,,,,Distribución de centros 1 según tamaño,,,,
,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL,,Absoluto,Centros 1,N. S. 2,,< 25, 25 - 49,50-99,>= 100,TOTAL
,Badajoz,81,81,0,,37,22,18,4,81,,72,72,0,,35,18,15,4,72,,72,72,0,,36,17,15,4,72,,72,72,0,,36,17,15,4,72,,73,73,0,,38,18,13,4,73,,69,69,0,,37,18,11,3,69,,71,71,0,,40,17,11,3,71,,41,41,0,,19,10,9,3,41,,40,40,0,,18,10,9,3,40,,40,38,2,,18,9,9,2,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cáceres,107,106,1,,47,37,18,4,106,,87,87,0,,43,27,14,3,87,,88,88,0,,45,25,15,3,88,,88,88,0,,49,21,15,3,88,,87,87,0,,49,21,14,3,87,,84,84,0,,46,21,14,3,84,,85,85,0,,47,21,14,3,85,,55,53,2,,27,12,11,3,53,,52,51,1,,27,12,9,3,51,,52,51,1,,29,12,7,3,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Galicia,74,74,0,,25,17,17,15,74,,63,63,0,,23,13,12,15,63,,61,61,0,,22,12,12,15,61,,53,53,0,,15,11,13,14,53,,52,51,1,,14,10,14,13,51,,53,52,1,,12,10,15,15,52,,54,53,1,,12,10,16,15,53,,42,41,1,,4,10,15,12,41,,40,39,1,,4,11,14,10,39,,39,38,1,,3,11,14,10,38,,37,37,0,,3,10,14,10,37,,,,,,,,,,,,,,,,,,,,
,Coruña (A),20,20,0,,5,3,5,7,20,,19,19,0,,6,3,3,7,19,,19,19,0,,6,3,3,7,19,,17,17,0,,3,3,4,7,17,,16,16,0,,3,2,5,6,16,,17,17,0,,3,2,5,7,17,,16,16,0,,2,2,5,7,16,,14,13,1,,2,2,5,4,13,,13,12,1,,2,3,4,3,12,,12,11,1,,1,3,4,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lugo,19,19,0,,8,4,5,2,19,,13,13,0,,7,1,3,2,13,,13,13,0,,7,1,3,2,13,,11,11,0,,4,2,3,2,11,,11,11,0,,4,2,3,2,11,,12,12,0,,3,2,4,3,12,,13,13,0,,4,2,4,3,13,,11,11,0,,2,2,4,3,11,,11,11,0,,2,2,4,3,11,,11,11,0,,2,2,4,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ourense,24,24,0,,10,6,6,2,24,,21,21,0,,9,5,5,2,21,,19,19,0,,8,4,5,2,19,,15,15,0,,7,2,4,2,15,,15,14,1,,6,2,4,2,14,,14,13,1,,5,2,4,2,13,,15,14,1,,5,2,5,2,14,,8,8,0,,0,2,4,2,8,,8,8,0,,0,2,4,2,8,,8,8,0,,0,2,4,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pontevedra,11,11,0,,2,4,1,4,11,,10,10,0,,1,4,1,4,10,,10,10,0,,1,4,1,4,10,,10,10,0,,1,4,2,3,10,,10,10,0,,1,4,2,3,10,,10,10,0,,1,4,2,3,10,,10,10,0,,1,4,2,3,10,,9,9,0,,0,4,2,3,9,,8,8,0,,0,4,2,2,8,,8,8,0,,0,4,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Madrid (Comunidad de),72,72,0,,1,8,22,41,72,,73,73,0,,1,8,23,41,73,,74,73,1,,1,8,22,42,73,,72,72,0,,1,10,22,39,72,,73,73,0,,1,10,23,39,73,,68,68,0,,1,9,20,38,68,,78,77,1,,1,9,20,47,77,,70,69,1,,1,9,20,39,69,,68,66,2,,1,10,20,35,66,,62,61,1,,0,10,18,33,61,,59,54,5,,1,8,17,28,54,,,,,,,,,,,,,,,,,,,,
,Murcia (Región de),14,14,0,,2,1,5,6,14,,13,13,0,,2,1,5,5,13,,11,11,0,,2,1,5,3,11,,11,11,0,,2,1,5,3,11,,13,13,0,,3,1,5,4,13,,14,14,0,,3,1,6,4,14,,14,14,0,,3,1,6,4,14,,13,13,0,,3,1,5,4,13,,13,13,0,,3,1,5,4,13,,14,13,1,,4,1,5,3,13,,13,12,1,,3,0,6,3,12,,,,,,,,,,,,,,,,,,,,
,Navarra (Comunidad Foral de),35,35,0,,5,15,10,5,35,,33,33,0,,4,16,8,5,33,,35,35,0,,5,18,6,6,35,,36,36,0,,6,18,6,6,36,,37,37,0,,8,17,6,6,37,,37,37,0,,8,17,7,5,37,,37,34,3,,6,16,7,5,34,,37,34,3,,6,16,7,5,34,,33,30,3,,5,13,7,5,30,,28,26,2,,5,10,6,5,26,,30,27,3,,6,11,5,5,27,,,,,,,,,,,,,,,,,,,,
,País Vasco,93,93,0,,16,21,27,29,93,,93,93,0,,18,21,25,29,93,,95,94,1,,20,22,23,29,94,,94,92,2,,21,22,21,28,92,,94,92,2,,21,22,21,28,92,,95,92,3,,20,22,21,29,92,,95,92,3,,21,22,21,28,92,,95,92,3,,21,22,21,28,92,,87,82,5,,19,22,19,22,82,,70,66,4,,15,16,19,16,66,,77,73,4,,17,18,22,16,73,,,,,,,,,,,,,,,,,,,,
,Araba/Álava,27,27,0,,9,9,4,5,27,,27,27,0,,9,10,3,5,27,,26,26,0,,9,10,2,5,26,,27,27,0,,9,10,3,5,27,,26,26,0,,9,10,2,5,26,,26,26,0,,9,10,2,5,26,,28,28,0,,10,10,3,5,28,,28,28,0,,10,10,3,5,28,,27,27,0,,9,10,3,5,27,,22,22,0,,8,9,0,5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bizkaia,35,35,0,,5,5,10,15,35,,34,34,0,,4,5,10,15,34,,34,34,0,,4,6,10,14,34,,31,30,1,,4,5,9,12,30,,31,30,1,,4,5,9,12,30,,32,31,1,,4,5,9,13,31,,31,30,1,,4,5,9,12,30,,31,30,1,,4,5,9,12,30,,28,27,1,,4,5,9,9,27,,16,16,0,,1,2,10,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gipuzkoa,31,31,0,,2,7,13,9,31,,32,32,0,,5,6,12,9,32,,35,34,1,,7,6,11,10,34,,36,35,1,,8,7,9,11,35,,37,36,1,,8,7,10,11,36,,37,35,2,,7,7,10,11,35,,36,34,2,,7,7,9,11,34,,36,34,2,,7,7,9,11,34,,32,28,4,,6,7,7,8,28,,32,28,4,,6,5,9,8,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rioja (La),9,9,0,,0,2,1,6,9,,9,9,0,,0,2,1,6,9,,9,9,0,,0,2,1,6,9,,9,9,0,,0,2,1,6,9,,10,10,0,,3,0,1,6,10,,11,11,0,,0,3,2,6,11,,10,10,0,,0,3,2,5,10,,10,10,0,,0,3,2,5,10,,9,9,0,,1,2,1,5,9,,8,8,0,,1,2,2,3,8,,8,8,0,,1,2,2,3,8,,,,,,,,,,,,,,,,,,,,
,Ceuta,1,1,0,,0,0,1,0,1,,1,1,0,,0,0,1,0,1,,1,1,0,,0,0,1,0,1,,1,1,0,,0,0,1,0,1,,1,1,0,,0,0,1,0,1,,1,1,0,,0,0,1,0,1,,1,1,0,,0,0,1,0,1,,1,1,0,,0,0,1,0,1,,1,1,0,,0,0,1,0,1,,1,1,0,,0,0,1,0,1,,1,1,0,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,Melilla,1,1,0,,0,0,0,1,1,,1,1,0,,0,0,0,1,1,,1,1,0,,0,0,0,1,1,,1,1,0,,0,0,0,1,1,,1,1,0,,0,0,0,1,1,,1,1,0,,0,0,0,1,1,,2,2,0,,0,0,1,1,2,,2,2,0,,0,0,1,1,2,,2,2,0,,0,0,1,1,2,,2,1,1,,0,0,1,0,1,,1,1,0,,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(1) Centros residenciales de los que se conoce el número de plazas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en 2005 y 2004 no se hizo la separación centros según titularidad,,,,,,,,,,,,,,,,,,
,(2) N.S. Centros residenciales de los que no se sabe el número de plazas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nota: No tenemos estudios de los centros según su titularidad anteriores a 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tamaño del centro según número de plazas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
