,,,,,,,,
"Statistical table extracted on July 26, 2020 (01:08:57)",,,,,,,,
http://www.ine.pt,,,,,,,,
,,,,,,,,
,,,,,,,,
Data reference period,Place of residence (NUTS - 2013),,"Deaths (No.) by Place of residence (NUTS - 2013), Sex and Age group; Weekly",,,,,
,,,Sex,,,,,
,,,MF,,M,,F,
,,,Age group,,,,,
,,,Total,,,,,
,,,No. ,,No. ,,No. ,
,Foreigner,YY,11,,9,,2,
36th Week 2019,Total,T,1946,,997,,949,
,Portugal,PT,1933,,992,,941,
,Foreigner,YY,13,,5,,8,
35th Week 2019,Total,T,1890,,983,,907,
,Portugal,PT,1880,,976,,904,
,Foreigner,YY,10,,7,,3,
34th Week 2019,Total,T,1946,,951,,995,
,Portugal,PT,1938,,945,,993,
,Foreigner,YY,8,,6,,2,
33th Week 2019,Total,T,1781,,892,,889,
,Portugal,PT,1769,,884,,885,
,Foreigner,YY,12,,8,,4,
32th Week 2019,Total,T,1847,,965,,882,
,Portugal,PT,1838,,959,,879,
,Foreigner,YY,9,,6,,3,
31th Week 2019,Total,T,1859,,968,,891,
,Portugal,PT,1843,,956,,887,
,Foreigner,YY,16,,12,,4,
30th Week 2019,Total,T,1855,,958,,897,
,Portugal,PT,1841,,948,,893,
,Foreigner,YY,14,,10,,4,
29th Week 2019,Total,T,1830,,907,,923,
,Portugal,PT,1821,,901,,920,
,Foreigner,YY,9,,6,,3,
28th Week 2019,Total,T,1901,,944,,957,
,Portugal,PT,1898,,942,,956,
,Foreigner,YY,3,,2,,1,
27th Week 2019,Total,T,1890,,968,,922,
,Portugal,PT,1882,,962,,920,
,Foreigner,YY,8,,6,,2,
26th Week 2019,Total,T,1923,,979,,944,
,Portugal,PT,1919,,975,,944,
,Foreigner,YY,4,,4,,0,
25th Week 2019,Total,T,1923,,966,,957,
,Portugal,PT,1916,,962,,954,
,Foreigner,YY,7,,4,,3,
24th Week 2019,Total,T,1879,,962,,917,
,Portugal,PT,1873,,956,,917,
,Foreigner,YY,6,,6,,0,
23th Week 2019,Total,T,1852,,899,,953,
,Portugal,PT,1841,,891,,950,
,Foreigner,YY,11,,8,,3,
22th Week 2019,Total,T,1962,,981,,981,
,Portugal,PT,1948,,972,,976,
,Foreigner,YY,14,,9,,5,
21th Week 2019,Total,T,1930,,951,,979,
,Portugal,PT,1919,,943,,976,
,Foreigner,YY,11,,8,,3,
20th Week 2019,Total,T,1941,,932,,1009,
,Portugal,PT,1931,,924,,1007,
,Foreigner,YY,10,,8,,2,
19th Week 2019,Total,T,2002,,1040,,962,
,Portugal,PT,1988,,1028,,960,
,Foreigner,YY,14,,12,,2,
18th Week 2019,Total,T,2088,,1009,,1079,
,Portugal,PT,2081,,1005,,1076,
,Foreigner,YY,7,,4,,3,
17th Week 2019,Total,T,2091,,1026,,1065,
,Portugal,PT,2084,,1019,,1065,
,Foreigner,YY,7,,7,,0,
16th Week 2019,Total,T,2129,,1055,,1074,
,Portugal,PT,2096,,1041,,1055,
,Foreigner,YY,33,,14,,19,
15th Week 2019,Total,T,2137,,1059,,1078,
,Portugal,PT,2132,,1056,,1076,
,Foreigner,YY,5,,3,,2,
14th Week 2019,Total,T,2107,,1068,,1039,
,Portugal,PT,2097,,1062,,1035,
,Foreigner,YY,10,,6,,4,
