Mes de defunción;Lugar de ocurrencia;Edad;año;Total
Abril;Domicilio particular;Total;2018;8.646
Abril;Domicilio particular;De 0 a 64 años;2019;1.089
Abril;Domicilio particular;De 0 a 64 años;2018;1.019
Abril;Domicilio particular;De 65 a 69 años;2019;452
Abril;Domicilio particular;De 65 a 69 años;2018;407
Abril;Domicilio particular;De 70 a 74 años;2019;598
Abril;Domicilio particular;De 70 a 74 años;2018;572
Abril;Domicilio particular;De  75 a 79 años;2019;747
Abril;Domicilio particular;De  75 a 79 años;2018;775
Abril;Domicilio particular;De 80 a 84 años;2019;1.274
Abril;Domicilio particular;De 80 a 84 años;2018;1.419
Abril;Domicilio particular;De 85 a 89 años;2019;1.816
Abril;Domicilio particular;De 85 a 89 años;2018;1.939
Abril;Domicilio particular;De 90 a 94 años;2019;1.577
Abril;Domicilio particular;De 90 a 94 años;2018;1.638
Abril;Domicilio particular;De  95 y más años;2019;824
Abril;Domicilio particular;De  95 y más años;2018;877
Abril;Domicilio particular;No consta;2019;..
Abril;Domicilio particular;No consta;2018;..
Abril;Residencia socio-sanitaria;Total;2019;4.488
Abril;Residencia socio-sanitaria;Total;2018;4.703
Abril;Residencia socio-sanitaria;De 0 a 64 años;2019;126
Abril;Residencia socio-sanitaria;De 0 a 64 años;2018;117
Abril;Residencia socio-sanitaria;De 65 a 69 años;2019;97
Abril;Residencia socio-sanitaria;De 65 a 69 años;2018;100
Abril;Residencia socio-sanitaria;De 70 a 74 años;2019;189
Abril;Residencia socio-sanitaria;De 70 a 74 años;2018;165
Abril;Residencia socio-sanitaria;De  75 a 79 años;2019;312
Abril;Residencia socio-sanitaria;De  75 a 79 años;2018;279
Abril;Residencia socio-sanitaria;De 80 a 84 años;2019;642
Abril;Residencia socio-sanitaria;De 80 a 84 años;2018;712
Abril;Residencia socio-sanitaria;De 85 a 89 años;2019;1.177
Abril;Residencia socio-sanitaria;De 85 a 89 años;2018;1.286
Abril;Residencia socio-sanitaria;De 90 a 94 años;2019;1.194
Abril;Residencia socio-sanitaria;De 90 a 94 años;2018;1.296
Abril;Residencia socio-sanitaria;De  95 y más años;2019;751
Abril;Residencia socio-sanitaria;De  95 y más años;2018;748
Abril;Residencia socio-sanitaria;No consta;2019;..
Abril;Residencia socio-sanitaria;No consta;2018;..
Abril;Otro Lugar;Total;2019;273
Abril;Otro Lugar;Total;2018;286
Abril;Otro Lugar;De 0 a 64 años;2019;94
Abril;Otro Lugar;De 0 a 64 años;2018;101
Abril;Otro Lugar;De 65 a 69 años;2019;24
Abril;Otro Lugar;De 65 a 69 años;2018;30
Abril;Otro Lugar;De 70 a 74 años;2019;19
Abril;Otro Lugar;De 70 a 74 años;2018;23
Abril;Otro Lugar;De  75 a 79 años;2019;24
Abril;Otro Lugar;De  75 a 79 años;2018;32
Abril;Otro Lugar;De 80 a 84 años;2019;39
Abril;Otro Lugar;De 80 a 84 años;2018;32
Abril;Otro Lugar;De 85 a 89 años;2019;39
Abril;Otro Lugar;De 85 a 89 años;2018;36
Abril;Otro Lugar;De 90 a 94 años;2019;29
Abril;Otro Lugar;De 90 a 94 años;2018;21
Abril;Otro Lugar;De  95 y más años;2019;5
Abril;Otro Lugar;De  95 y más años;2018;11
Abril;Otro Lugar;No consta;2019;..
Abril;Otro Lugar;No consta;2018;..
Abril;No consta;Total;2019;2.018
Abril;No consta;Total;2018;2.061
Abril;No consta;De 0 a 64 años;2019;671
Abril;No consta;De 0 a 64 años;2018;736
Abril;No consta;De 65 a 69 años;2019;126
Abril;No consta;De 65 a 69 años;2018;142
Abril;No consta;De 70 a 74 años;2019;172
Abril;No consta;De 70 a 74 años;2018;157
Abril;No consta;De  75 a 79 años;2019;192
Abril;No consta;De  75 a 79 años;2018;171
Abril;No consta;De 80 a 84 años;2019;249
Abril;No consta;De 80 a 84 años;2018;229
Abril;No consta;De 85 a 89 años;2019;280
Abril;No consta;De 85 a 89 años;2018;339
Abril;No consta;De 90 a 94 años;2019;222
Abril;No consta;De 90 a 94 años;2018;214
Abril;No consta;De  95 y más años;2019;98
Abril;No consta;De  95 y más años;2018;73
Abril;No consta;No consta;2019;8
Abril;No consta;No consta;2018;..
Mayo;Total;Total;2019;33.734
Mayo;Total;Total;2018;33.421
Mayo;Total;De 0 a 64 años;2019;4.762
Mayo;Total;De 0 a 64 años;2018;4.827
Mayo;Total;De 65 a 69 años;2019;1.959
Mayo;Total;De 65 a 69 años;2018;1.940
Mayo;Total;De 70 a 74 años;2019;2.657
Mayo;Total;De 70 a 74 años;2018;2.660
Mayo;Total;De  75 a 79 años;2019;3.429
Mayo;Total;De  75 a 79 años;2018;3.249
Mayo;Total;De 80 a 84 años;2019;5.198
Mayo;Total;De 80 a 84 años;2018;5.528
Mayo;Total;De 85 a 89 años;2019;7.205
Mayo;Total;De 85 a 89 años;2018;7.148
Mayo;Total;De 90 a 94 años;2019;5.738
Mayo;Total;De 90 a 94 años;2018;5.494
Mayo;Total;De  95 y más años;2019;2.778
Mayo;Total;De  95 y más años;2018;2.575
Mayo;Total;No consta;2019;8
Mayo;Total;No consta;2018;..
Mayo;Centro hospitalario;Total;2019;18.830
Mayo;Centro hospitalario;Total;2018;18.267
Mayo;Centro hospitalario;De 0 a 64 años;2019;2.753
Mayo;Centro hospitalario;De 0 a 64 años;2018;2.803
Mayo;Centro hospitalario;De 65 a 69 años;2019;1.280
Mayo;Centro hospitalario;De 65 a 69 años;2018;1.210
Mayo;Centro hospitalario;De 70 a 74 años;2019;1.764
Mayo;Centro hospitalario;De 70 a 74 años;2018;1.696
Mayo;Centro hospitalario;De  75 a 79 años;2019;2.179
Mayo;Centro hospitalario;De  75 a 79 años;2018;2.044
Mayo;Centro hospitalario;De 80 a 84 años;2019;3.094
Mayo;Centro hospitalario;De 80 a 84 años;2018;3.209
Mayo;Centro hospitalario;De 85 a 89 años;2019;4.000
Mayo;Centro hospitalario;De 85 a 89 años;2018;3.807
Mayo;Centro hospitalario;De 90 a 94 años;2019;2.732
Mayo;Centro hospitalario;De 90 a 94 años;2018;2.555
Mayo;Centro hospitalario;De  95 y más años;2019;1.024
Mayo;Centro hospitalario;De  95 y más años;2018;943
Mayo;Centro hospitalario;No consta;2019;4
Mayo;Centro hospitalario;No consta;2018;..
Mayo;Domicilio particular;Total;2019;8.138
Mayo;Domicilio particular;Total;2018;8.444
Mayo;Domicilio particular;De 0 a 64 años;2019;1.072
Mayo;Domicilio particular;De 0 a 64 años;2018;1.056
Mayo;Domicilio particular;De 65 a 69 años;2019;440
Mayo;Domicilio particular;De 65 a 69 años;2018;481
Mayo;Domicilio particular;De 70 a 74 años;2019;548
Mayo;Domicilio particular;De 70 a 74 años;2018;588
Mayo;Domicilio particular;De  75 a 79 años;2019;747
Mayo;Domicilio particular;De  75 a 79 años;2018;755
Mayo;Domicilio particular;De 80 a 84 años;2019;1.222
Mayo;Domicilio particular;De 80 a 84 años;2018;1.317
Mayo;Domicilio particular;De 85 a 89 años;2019;1.738
Mayo;Domicilio particular;De 85 a 89 años;2018;1.817
Mayo;Domicilio particular;De 90 a 94 años;2019;1.515
Mayo;Domicilio particular;De 90 a 94 años;2018;1.578
Mayo;Domicilio particular;De  95 y más años;2019;855
Mayo;Domicilio particular;De  95 y más años;2018;852
Mayo;Domicilio particular;No consta;2019;1
Mayo;Domicilio particular;No consta;2018;..
Mayo;Residencia socio-sanitaria;Total;2019;4.432
Mayo;Residencia socio-sanitaria;Total;2018;4.488
Mayo;Residencia socio-sanitaria;De 0 a 64 años;2019;120
Mayo;Residencia socio-sanitaria;De 0 a 64 años;2018;137
Mayo;Residencia socio-sanitaria;De 65 a 69 años;2019;83
Mayo;Residencia socio-sanitaria;De 65 a 69 años;2018;91
Mayo;Residencia socio-sanitaria;De 70 a 74 años;2019;166
Mayo;Residencia socio-sanitaria;De 70 a 74 años;2018;179
Mayo;Residencia socio-sanitaria;De  75 a 79 años;2019;299
Mayo;Residencia socio-sanitaria;De  75 a 79 años;2018;265
Mayo;Residencia socio-sanitaria;De 80 a 84 años;2019;612
Mayo;Residencia socio-sanitaria;De 80 a 84 años;2018;726
Mayo;Residencia socio-sanitaria;De 85 a 89 años;2019;1.141
Mayo;Residencia socio-sanitaria;De 85 a 89 años;2018;1.225
Mayo;Residencia socio-sanitaria;De 90 a 94 años;2019;1.239
Mayo;Residencia socio-sanitaria;De 90 a 94 años;2018;1.173
Mayo;Residencia socio-sanitaria;De  95 y más años;2019;771
Mayo;Residencia socio-sanitaria;De  95 y más años;2018;692
Mayo;Residencia socio-sanitaria;No consta;2019;1
Mayo;Residencia socio-sanitaria;No consta;2018;..
Mayo;Otro Lugar;Total;2019;282
Mayo;Otro Lugar;Total;2018;268
Mayo;Otro Lugar;De 0 a 64 años;2019;116
Mayo;Otro Lugar;De 0 a 64 años;2018;115
Mayo;Otro Lugar;De 65 a 69 años;2019;21
Mayo;Otro Lugar;De 65 a 69 años;2018;16
Mayo;Otro Lugar;De 70 a 74 años;2019;15
Mayo;Otro Lugar;De 70 a 74 años;2018;30
Mayo;Otro Lugar;De  75 a 79 años;2019;21
Mayo;Otro Lugar;De  75 a 79 años;2018;23
Mayo;Otro Lugar;De 80 a 84 años;2019;34
Mayo;Otro Lugar;De 80 a 84 años;2018;32
Mayo;Otro Lugar;De 85 a 89 años;2019;34
Mayo;Otro Lugar;De 85 a 89 años;2018;23
Mayo;Otro Lugar;De 90 a 94 años;2019;26
Mayo;Otro Lugar;De 90 a 94 años;2018;20
Mayo;Otro Lugar;De  95 y más años;2019;15
Mayo;Otro Lugar;De  95 y más años;2018;9
Mayo;Otro Lugar;No consta;2019;..
Mayo;Otro Lugar;No consta;2018;..
Mayo;No consta;Total;2019;2.052
Mayo;No consta;Total;2018;1.954
Mayo;No consta;De 0 a 64 años;2019;701
Mayo;No consta;De 0 a 64 años;2018;716
Mayo;No consta;De 65 a 69 años;2019;135
Mayo;No consta;De 65 a 69 años;2018;142
Mayo;No consta;De 70 a 74 años;2019;164
Mayo;No consta;De 70 a 74 años;2018;167
Mayo;No consta;De  75 a 79 años;2019;183
Mayo;No consta;De  75 a 79 años;2018;162
Mayo;No consta;De 80 a 84 años;2019;236
Mayo;No consta;De 80 a 84 años;2018;244
Mayo;No consta;De 85 a 89 años;2019;292
Mayo;No consta;De 85 a 89 años;2018;276
Mayo;No consta;De 90 a 94 años;2019;226
Mayo;No consta;De 90 a 94 años;2018;168
Mayo;No consta;De  95 y más años;2019;113
Mayo;No consta;De  95 y más años;2018;79
Mayo;No consta;No consta;2019;2
Mayo;No consta;No consta;2018;..
Junio;Total;Total;2019;31.764
Junio;Total;Total;2018;31.970
Junio;Total;De 0 a 64 años;2019;4.692
Junio;Total;De 0 a 64 años;2018;4.770
Junio;Total;De 65 a 69 años;2019;1.888
Junio;Total;De 65 a 69 años;2018;1.839
Junio;Total;De 70 a 74 años;2019;2.565
Junio;Total;De 70 a 74 años;2018;2.568
Junio;Total;De  75 a 79 años;2019;3.202
Junio;Total;De  75 a 79 años;2018;3.009
Junio;Total;De 80 a 84 años;2019;4.749
Junio;Total;De 80 a 84 años;2018;5.349
Junio;Total;De 85 a 89 años;2019;6.742
Junio;Total;De 85 a 89 años;2018;6.890
Junio;Total;De 90 a 94 años;2019;5.382
Junio;Total;De 90 a 94 años;2018;5.182
Junio;Total;De  95 y más años;2019;2.533
Junio;Total;De  95 y más años;2018;2.363
Junio;Total;No consta;2019;11
Junio;Total;No consta;2018;..
Junio;Centro hospitalario;Total;2019;17.342
Junio;Centro hospitalario;Total;2018;17.158
Junio;Centro hospitalario;De 0 a 64 años;2019;2.728
Junio;Centro hospitalario;De 0 a 64 años;2018;2.676
Junio;Centro hospitalario;De 65 a 69 años;2019;1.233
Junio;Centro hospitalario;De 65 a 69 años;2018;1.173
Junio;Centro hospitalario;De 70 a 74 años;2019;1.678
Junio;Centro hospitalario;De 70 a 74 años;2018;1.655
Junio;Centro hospitalario;De  75 a 79 años;2019;1.940
Junio;Centro hospitalario;De  75 a 79 años;2018;1.862
Junio;Centro hospitalario;De 80 a 84 años;2019;2.759
Junio;Centro hospitalario;De 80 a 84 años;2018;3.033
Junio;Centro hospitalario;De 85 a 89 años;2019;3.559
Junio;Centro hospitalario;De 85 a 89 años;2018;3.551
Junio;Centro hospitalario;De 90 a 94 años;2019;2.475
Junio;Centro hospitalario;De 90 a 94 años;2018;2.363
Junio;Centro hospitalario;De  95 y más años;2019;969
Junio;Centro hospitalario;De  95 y más años;2018;845
Junio;Centro hospitalario;No consta;2019;1
Junio;Centro hospitalario;No consta;2018;..
Junio;Domicilio particular;Total;2019;7.829
Junio;Domicilio particular;Total;2018;7.977
Junio;Domicilio particular;De 0 a 64 años;2019;1.006
Junio;Domicilio particular;De 0 a 64 años;2018;1.080
Junio;Domicilio particular;De 65 a 69 años;2019;398
Junio;Domicilio particular;De 65 a 69 años;2018;388
Junio;Domicilio particular;De 70 a 74 años;2019;530
Junio;Domicilio particular;De 70 a 74 años;2018;552
Junio;Domicilio particular;De  75 a 79 años;2019;721
Junio;Domicilio particular;De  75 a 79 años;2018;663
Junio;Domicilio particular;De 80 a 84 años;2019;1.161
Junio;Domicilio particular;De 80 a 84 años;2018;1.294
Junio;Domicilio particular;De 85 a 89 años;2019;1.729
Junio;Domicilio particular;De 85 a 89 años;2018;1.794
Junio;Domicilio particular;De 90 a 94 años;2019;1.502
Junio;Domicilio particular;De 90 a 94 años;2018;1.448
Junio;Domicilio particular;De  95 y más años;2019;779
Junio;Domicilio particular;De  95 y más años;2018;758
Junio;Domicilio particular;No consta;2019;3
Junio;Domicilio particular;No consta;2018;..
Junio;Residencia socio-sanitaria;Total;2019;4.253
Junio;Residencia socio-sanitaria;Total;2018;4.451
Junio;Residencia socio-sanitaria;De 0 a 64 años;2019;110
Junio;Residencia socio-sanitaria;De 0 a 64 años;2018;147
Junio;Residencia socio-sanitaria;De 65 a 69 años;2019;101
Junio;Residencia socio-sanitaria;De 65 a 69 años;2018;113
Junio;Residencia socio-sanitaria;De 70 a 74 años;2019;162
Junio;Residencia socio-sanitaria;De 70 a 74 años;2018;159
Junio;Residencia socio-sanitaria;De  75 a 79 años;2019;339
Junio;Residencia socio-sanitaria;De  75 a 79 años;2018;274
Junio;Residencia socio-sanitaria;De 80 a 84 años;2019;600
Junio;Residencia socio-sanitaria;De 80 a 84 años;2018;709
Junio;Residencia socio-sanitaria;De 85 a 89 años;2019;1.101
Junio;Residencia socio-sanitaria;De 85 a 89 años;2018;1.217
Junio;Residencia socio-sanitaria;De 90 a 94 años;2019;1.154
Junio;Residencia socio-sanitaria;De 90 a 94 años;2018;1.166
Junio;Residencia socio-sanitaria;De  95 y más años;2019;685
Junio;Residencia socio-sanitaria;De  95 y más años;2018;666
Junio;Residencia socio-sanitaria;No consta;2019;1
Junio;Residencia socio-sanitaria;No consta;2018;..
Junio;Otro Lugar;Total;2019;256
Junio;Otro Lugar;Total;2018;298
Junio;Otro Lugar;De 0 a 64 años;2019;93
Junio;Otro Lugar;De 0 a 64 años;2018;132
Junio;Otro Lugar;De 65 a 69 años;2019;20
Junio;Otro Lugar;De 65 a 69 años;2018;17
Junio;Otro Lugar;De 70 a 74 años;2019;26
Junio;Otro Lugar;De 70 a 74 años;2018;22
Junio;Otro Lugar;De  75 a 79 años;2019;24
Junio;Otro Lugar;De  75 a 79 años;2018;24
Junio;Otro Lugar;De 80 a 84 años;2019;26
Junio;Otro Lugar;De 80 a 84 años;2018;52
Junio;Otro Lugar;De 85 a 89 años;2019;27
Junio;Otro Lugar;De 85 a 89 años;2018;24
Junio;Otro Lugar;De 90 a 94 años;2019;27
Junio;Otro Lugar;De 90 a 94 años;2018;18
Junio;Otro Lugar;De  95 y más años;2019;13
Junio;Otro Lugar;De  95 y más años;2018;9
Junio;Otro Lugar;No consta;2019;..
Junio;Otro Lugar;No consta;2018;..
Junio;No consta;Total;2019;2.084
Junio;No consta;Total;2018;2.086
Junio;No consta;De 0 a 64 años;2019;755
Junio;No consta;De 0 a 64 años;2018;735
Junio;No consta;De 65 a 69 años;2019;136
Junio;No consta;De 65 a 69 años;2018;148
Junio;No consta;De 70 a 74 años;2019;169
Junio;No consta;De 70 a 74 años;2018;180
Junio;No consta;De  75 a 79 años;2019;178
Junio;No consta;De  75 a 79 años;2018;186
Junio;No consta;De 80 a 84 años;2019;203
Junio;No consta;De 80 a 84 años;2018;261
Junio;No consta;De 85 a 89 años;2019;326
Junio;No consta;De 85 a 89 años;2018;304
Junio;No consta;De 90 a 94 años;2019;224
Junio;No consta;De 90 a 94 años;2018;187
Junio;No consta;De  95 y más años;2019;87
Junio;No consta;De  95 y más años;2018;85
Junio;No consta;No consta;2019;6
Junio;No consta;No consta;2018;..
Julio;Total;Total;2019;33.383
Julio;Total;Total;2018;32.215
Julio;Total;De 0 a 64 años;2019;4.952
Julio;Total;De 0 a 64 años;2018;4.824
Julio;Total;De 65 a 69 años;2019;1.829
Julio;Total;De 65 a 69 años;2018;1.910
Julio;Total;De 70 a 74 años;2019;2.675
Julio;Total;De 70 a 74 años;2018;2.534
Julio;Total;De  75 a 79 años;2019;3.355
Julio;Total;De  75 a 79 años;2018;3.186
Julio;Total;De 80 a 84 años;2019;5.016
Julio;Total;De 80 a 84 años;2018;5.238
Julio;Total;De 85 a 89 años;2019;7.091
Julio;Total;De 85 a 89 años;2018;6.788
Julio;Total;De 90 a 94 años;2019;5.688
Julio;Total;De 90 a 94 años;2018;5.201
Julio;Total;De  95 y más años;2019;2.759
Julio;Total;De  95 y más años;2018;2.534
Julio;Total;No consta;2019;18
Julio;Total;No consta;2018;..
Julio;Centro hospitalario;Total;2019;17.999
Julio;Centro hospitalario;Total;2018;17.230
Julio;Centro hospitalario;De 0 a 64 años;2019;2.810
Julio;Centro hospitalario;De 0 a 64 años;2018;2.786
Julio;Centro hospitalario;De 65 a 69 años;2019;1.177
Julio;Centro hospitalario;De 65 a 69 años;2018;1.237
Julio;Centro hospitalario;De 70 a 74 años;2019;1.680
Julio;Centro hospitalario;De 70 a 74 años;2018;1.604
Julio;Centro hospitalario;De  75 a 79 años;2019;2.062
Julio;Centro hospitalario;De  75 a 79 años;2018;1.917
Julio;Centro hospitalario;De 80 a 84 años;2019;2.888
Julio;Centro hospitalario;De 80 a 84 años;2018;2.933
Julio;Centro hospitalario;De 85 a 89 años;2019;3.678
Julio;Centro hospitalario;De 85 a 89 años;2018;3.545
Julio;Centro hospitalario;De 90 a 94 años;2019;2.661
Julio;Centro hospitalario;De 90 a 94 años;2018;2.313
Julio;Centro hospitalario;De  95 y más años;2019;1.039
Julio;Centro hospitalario;De  95 y más años;2018;895
Julio;Centro hospitalario;No consta;2019;4
Julio;Centro hospitalario;No consta;2018;..
Julio;Domicilio particular;Total;2019;8.234
Julio;Domicilio particular;Total;2018;8.092
Julio;Domicilio particular;De 0 a 64 años;2019;1.072
Julio;Domicilio particular;De 0 a 64 años;2018;1.028
Julio;Domicilio particular;De 65 a 69 años;2019;394
Julio;Domicilio particular;De 65 a 69 años;2018;408
Julio;Domicilio particular;De 70 a 74 años;2019;615
Julio;Domicilio particular;De 70 a 74 años;2018;577
Julio;Domicilio particular;De  75 a 79 años;2019;754
Julio;Domicilio particular;De  75 a 79 años;2018;759
Julio;Domicilio particular;De 80 a 84 años;2019;1.202
Julio;Domicilio particular;De 80 a 84 años;2018;1.326
Julio;Domicilio particular;De 85 a 89 años;2019;1.856
Julio;Domicilio particular;De 85 a 89 años;2018;1.714
Julio;Domicilio particular;De 90 a 94 años;2019;1.515
Julio;Domicilio particular;De 90 a 94 años;2018;1.477
Julio;Domicilio particular;De  95 y más años;2019;823
Julio;Domicilio particular;De  95 y más años;2018;803
Julio;Domicilio particular;No consta;2019;3
Julio;Domicilio particular;No consta;2018;..
Julio;Residencia socio-sanitaria;Total;2019;4.571
Julio;Residencia socio-sanitaria;Total;2018;4.555
Julio;Residencia socio-sanitaria;De 0 a 64 años;2019;115
Julio;Residencia socio-sanitaria;De 0 a 64 años;2018;109
Julio;Residencia socio-sanitaria;De 65 a 69 años;2019;90
Julio;Residencia socio-sanitaria;De 65 a 69 años;2018;96
Julio;Residencia socio-sanitaria;De 70 a 74 años;2019;167
Julio;Residencia socio-sanitaria;De 70 a 74 años;2018;176
Julio;Residencia socio-sanitaria;De  75 a 79 años;2019;311
Julio;Residencia socio-sanitaria;De  75 a 79 años;2018;306
Julio;Residencia socio-sanitaria;De 80 a 84 años;2019;631
Julio;Residencia socio-sanitaria;De 80 a 84 años;2018;710
Julio;Residencia socio-sanitaria;De 85 a 89 años;2019;1.213
Julio;Residencia socio-sanitaria;De 85 a 89 años;2018;1.227
Julio;Residencia socio-sanitaria;De 90 a 94 años;2019;1.262
Julio;Residencia socio-sanitaria;De 90 a 94 años;2018;1.205
Julio;Residencia socio-sanitaria;De  95 y más años;2019;782
Julio;Residencia socio-sanitaria;De  95 y más años;2018;726
Julio;Residencia socio-sanitaria;No consta;2019;..
Julio;Residencia socio-sanitaria;No consta;2018;..
Julio;Otro Lugar;Total;2019;350
Julio;Otro Lugar;Total;2018;332
Julio;Otro Lugar;De 0 a 64 años;2019;162
Julio;Otro Lugar;De 0 a 64 años;2018;139
Julio;Otro Lugar;De 65 a 69 años;2019;22
Julio;Otro Lugar;De 65 a 69 años;2018;33
Julio;Otro Lugar;De 70 a 74 años;2019;21
Julio;Otro Lugar;De 70 a 74 años;2018;21
Julio;Otro Lugar;De  75 a 79 años;2019;38
Julio;Otro Lugar;De  75 a 79 años;2018;28
Julio;Otro Lugar;De 80 a 84 años;2019;37
Julio;Otro Lugar;De 80 a 84 años;2018;35
Julio;Otro Lugar;De 85 a 89 años;2019;34
Julio;Otro Lugar;De 85 a 89 años;2018;39
Julio;Otro Lugar;De 90 a 94 años;2019;28
Julio;Otro Lugar;De 90 a 94 años;2018;25
Julio;Otro Lugar;De  95 y más años;2019;8
Julio;Otro Lugar;De  95 y más años;2018;12
Julio;Otro Lugar;No consta;2019;..
Julio;Otro Lugar;No consta;2018;..
Julio;No consta;Total;2019;2.229
Julio;No consta;Total;2018;2.006
Julio;No consta;De 0 a 64 años;2019;793
Julio;No consta;De 0 a 64 años;2018;762
Julio;No consta;De 65 a 69 años;2019;146
Julio;No consta;De 65 a 69 años;2018;136
Julio;No consta;De 70 a 74 años;2019;192
Julio;No consta;De 70 a 74 años;2018;156
Julio;No consta;De  75 a 79 años;2019;190
Julio;No consta;De  75 a 79 años;2018;176
Julio;No consta;De 80 a 84 años;2019;258
Julio;No consta;De 80 a 84 años;2018;234
Julio;No consta;De 85 a 89 años;2019;310
Julio;No consta;De 85 a 89 años;2018;263
Julio;No consta;De 90 a 94 años;2019;222
Julio;No consta;De 90 a 94 años;2018;181
Julio;No consta;De  95 y más años;2019;107
Julio;No consta;De  95 y más años;2018;98
Julio;No consta;No consta;2019;11
Julio;No consta;No consta;2018;..
Agosto;Total;Total;2019;31.453
Agosto;Total;Total;2018;33.177
Agosto;Total;De 0 a 64 años;2019;4.772
Agosto;Total;De 0 a 64 años;2018;4.875
Agosto;Total;De 65 a 69 años;2019;1.867
Agosto;Total;De 65 a 69 años;2018;1.962
Agosto;Total;De 70 a 74 años;2019;2.655
Agosto;Total;De 70 a 74 años;2018;2.734
Agosto;Total;De  75 a 79 años;2019;3.147
Agosto;Total;De  75 a 79 años;2018;3.230
Agosto;Total;De 80 a 84 años;2019;4.674
Agosto;Total;De 80 a 84 años;2018;5.277
Agosto;Total;De 85 a 89 años;2019;6.558
Agosto;Total;De 85 a 89 años;2018;7.026
Agosto;Total;De 90 a 94 años;2019;5.180
Agosto;Total;De 90 a 94 años;2018;5.468
Agosto;Total;De  95 y más años;2019;2.587
Agosto;Total;De  95 y más años;2018;2.605
Agosto;Total;No consta;2019;13
Agosto;Total;No consta;2018;..
Agosto;Centro hospitalario;Total;2019;17.435
Agosto;Centro hospitalario;Total;2018;17.588
Agosto;Centro hospitalario;De 0 a 64 años;2019;2.785
Agosto;Centro hospitalario;De 0 a 64 años;2018;2.713
Agosto;Centro hospitalario;De 65 a 69 años;2019;1.230
Agosto;Centro hospitalario;De 65 a 69 años;2018;1.201
Agosto;Centro hospitalario;De 70 a 74 años;2019;1.635
Agosto;Centro hospitalario;De 70 a 74 años;2018;1.713
Agosto;Centro hospitalario;De  75 a 79 años;2019;1.985
Agosto;Centro hospitalario;De  75 a 79 años;2018;1.936
Agosto;Centro hospitalario;De 80 a 84 años;2019;2.764
Agosto;Centro hospitalario;De 80 a 84 años;2018;3.051
Agosto;Centro hospitalario;De 85 a 89 años;2019;3.601
Agosto;Centro hospitalario;De 85 a 89 años;2018;3.615
Agosto;Centro hospitalario;De 90 a 94 años;2019;2.443
Agosto;Centro hospitalario;De 90 a 94 años;2018;2.409
Agosto;Centro hospitalario;De  95 y más años;2019;988
Agosto;Centro hospitalario;De  95 y más años;2018;950
Agosto;Centro hospitalario;No consta;2019;4
Agosto;Centro hospitalario;No consta;2018;..
Agosto;Domicilio particular;Total;2019;7.683
Agosto;Domicilio particular;Total;2018;8.479
Agosto;Domicilio particular;De 0 a 64 años;2019;993
Agosto;Domicilio particular;De 0 a 64 años;2018;1.115
Agosto;Domicilio particular;De 65 a 69 años;2019;415
Agosto;Domicilio particular;De 65 a 69 años;2018;457
Agosto;Domicilio particular;De 70 a 74 años;2019;645
Agosto;Domicilio particular;De 70 a 74 años;2018;633
Agosto;Domicilio particular;De  75 a 79 años;2019;759
Agosto;Domicilio particular;De  75 a 79 años;2018;754
Agosto;Domicilio particular;De 80 a 84 años;2019;1.081
Agosto;Domicilio particular;De 80 a 84 años;2018;1.262
Agosto;Domicilio particular;De 85 a 89 años;2019;1.607
Agosto;Domicilio particular;De 85 a 89 años;2018;1.868
Agosto;Domicilio particular;De 90 a 94 años;2019;1.373
Agosto;Domicilio particular;De 90 a 94 años;2018;1.575
Agosto;Domicilio particular;De  95 y más años;2019;809
Agosto;Domicilio particular;De  95 y más años;2018;815
Agosto;Domicilio particular;No consta;2019;1
Agosto;Domicilio particular;No consta;2018;..
Agosto;Residencia socio-sanitaria;Total;2019;4.023
Agosto;Residencia socio-sanitaria;Total;2018;4.621
Agosto;Residencia socio-sanitaria;De 0 a 64 años;2019;98
Agosto;Residencia socio-sanitaria;De 0 a 64 años;2018;119
Agosto;Residencia socio-sanitaria;De 65 a 69 años;2019;73
Agosto;Residencia socio-sanitaria;De 65 a 69 años;2018;106
Agosto;Residencia socio-sanitaria;De 70 a 74 años;2019;183
Agosto;Residencia socio-sanitaria;De 70 a 74 años;2018;183
Agosto;Residencia socio-sanitaria;De  75 a 79 años;2019;218
Agosto;Residencia socio-sanitaria;De  75 a 79 años;2018;323
Agosto;Residencia socio-sanitaria;De 80 a 84 años;2019;580
Agosto;Residencia socio-sanitaria;De 80 a 84 años;2018;686
Agosto;Residencia socio-sanitaria;De 85 a 89 años;2019;1.040
Agosto;Residencia socio-sanitaria;De 85 a 89 años;2018;1.218
Agosto;Residencia socio-sanitaria;De 90 a 94 años;2019;1.141
Agosto;Residencia socio-sanitaria;De 90 a 94 años;2018;1.259
Agosto;Residencia socio-sanitaria;De  95 y más años;2019;689
Agosto;Residencia socio-sanitaria;De  95 y más años;2018;727
Agosto;Residencia socio-sanitaria;No consta;2019;1
Agosto;Residencia socio-sanitaria;No consta;2018;..
Agosto;Otro Lugar;Total;2019;275
Agosto;Otro Lugar;Total;2018;365
Agosto;Otro Lugar;De 0 a 64 años;2019;123
Agosto;Otro Lugar;De 0 a 64 años;2018;166
Agosto;Otro Lugar;De 65 a 69 años;2019;22
Agosto;Otro Lugar;De 65 a 69 años;2018;24
Agosto;Otro Lugar;De 70 a 74 años;2019;27
Agosto;Otro Lugar;De 70 a 74 años;2018;35
