Mes de defunción;Lugar de ocurrencia;Edad;año;Total
Total;No consta;De 70 a 74 años;2019;2.025
Total;No consta;De 70 a 74 años;2018;2.071
Total;No consta;De  75 a 79 años;2019;2.302
Total;No consta;De  75 a 79 años;2018;2.141
Total;No consta;De 80 a 84 años;2019;2.837
Total;No consta;De 80 a 84 años;2018;3.076
Total;No consta;De 85 a 89 años;2019;3.610
Total;No consta;De 85 a 89 años;2018;3.689
Total;No consta;De 90 a 94 años;2019;2.758
Total;No consta;De 90 a 94 años;2018;2.593
Total;No consta;De  95 y más años;2019;1.241
Total;No consta;De  95 y más años;2018;1.159
Total;No consta;No consta;2019;42
Total;No consta;No consta;2018;..
Enero;Total;Total;2019;44.241
Enero;Total;Total;2018;47.911
Enero;Total;De 0 a 64 años;2019;5.502
Enero;Total;De 0 a 64 años;2018;5.887
Enero;Total;De 65 a 69 años;2019;2.307
Enero;Total;De 65 a 69 años;2018;2.586
Enero;Total;De 70 a 74 años;2019;3.358
Enero;Total;De 70 a 74 años;2018;3.441
Enero;Total;De  75 a 79 años;2019;4.301
Enero;Total;De  75 a 79 años;2018;4.507
Enero;Total;De 80 a 84 años;2019;7.189
Enero;Total;De 80 a 84 años;2018;8.094
Enero;Total;De 85 a 89 años;2019;9.919
Enero;Total;De 85 a 89 años;2018;10.644
Enero;Total;De 90 a 94 años;2019;7.943
Enero;Total;De 90 a 94 años;2018;8.691
Enero;Total;De  95 y más años;2019;3.722
Enero;Total;De  95 y más años;2018;4.061
Enero;Total;No consta;2019;..
Enero;Total;No consta;2018;..
Enero;Centro hospitalario;Total;2019;24.340
Enero;Centro hospitalario;Total;2018;25.948
Enero;Centro hospitalario;De 0 a 64 años;2019;3.193
Enero;Centro hospitalario;De 0 a 64 años;2018;3.403
Enero;Centro hospitalario;De 65 a 69 años;2019;1.468
Enero;Centro hospitalario;De 65 a 69 años;2018;1.623
Enero;Centro hospitalario;De 70 a 74 años;2019;2.115
Enero;Centro hospitalario;De 70 a 74 años;2018;2.180
Enero;Centro hospitalario;De  75 a 79 años;2019;2.670
