Comunidades y Ciudades Autónomas;Periodo;Total
Total;2018M12;37.033
Total;2018M11;34.338
Total;2018M10;32.879
Total;2018M09;30.293
Total;2018M08;33.177
Total;2018M07;32.215
Total;2018M06;31.970
Total;2018M05;33.421
Total;2018M04;34.956
Total;2018M03;39.772
Total;2018M02;39.756
Total;2018M01;47.911
Total;2017M12;41.665
Total;2017M11;34.149
Total;2017M10;32.680
Total;2017M09;30.049
Total;2017M08;32.356
Total;2017M07;31.924
Total;2017M06;32.236
Total;2017M05;33.673
Total;2017M04;33.208
Total;2017M03;35.779
Total;2017M02;37.434
Total;2017M01;49.370
Total;2016M12;39.188
Total;2016M11;33.759
Total;2016M10;32.060
Total;2016M09;30.095
Total;2016M08;32.248
Total;2016M07;32.961
Total;2016M06;31.512
Total;2016M05;33.001
Total;2016M04;33.707
Total;2016M03;38.198
Total;2016M02;35.548
Total;2016M01;38.334
Total;2015M12;36.423
Total;2015M11;32.346
Total;2015M10;31.898
Total;2015M09;""
Total;2015M08;""
Total;2015M07;""
Total;2015M06;""
Total;2015M05;""
Total;2015M04;""
Total;2015M03;""
Total;2015M02;""
Total;2015M01;""
Total;2014M12;""
Total;2014M11;""
Total;2014M10;""
Total;2014M09;""
Total;2014M08;""
Total;2014M07;""
Total;2014M06;""
Total;2014M05;""
Total;2014M04;""
Total;2014M03;""
Total;2014M02;""
Total;2014M01;""
Total;2013M12;""
Total;2013M11;""
Total;2013M10;""
Total;2013M09;""
Total;2013M08;""
Total;2013M07;""
Total;2013M06;""
Total;2013M05;""
Total;2013M04;""
Total;2013M03;""
Total;2013M02;""
Total;2013M01;""
Total;2012M12;""
Total;2012M11;""
Total;2012M10;""
Total;2012M09;""
Total;2012M08;""
Total;2012M07;""
Total;2012M06;""
Total;2012M05;""
Total;2012M04;""
Total;2012M03;""
Total;2012M02;""
Total;2012M01;""
Total;2011M12;""
Total;2011M11;""
Total;2011M10;""
Total;2011M09;""
Total;2011M08;""
Total;2011M07;""
Total;2011M06;""
Total;2011M05;""
Total;2011M04;""
Total;2011M03;""
Total;2011M02;""
Total;2011M01;""
Total;2010M12;""
Total;2010M11;""
Total;2010M10;""
Total;2010M09;""
Total;2010M08;""
Total;2010M07;""
Total;2010M06;""
Total;2010M05;""
Total;2010M04;""
Total;2010M03;""
Total;2010M02;""
Total;2010M01;""
Total;2009M12;""
Total;2009M11;""
Total;2009M10;""
Total;2009M09;""
Total;2009M08;""
Total;2009M07;""
Total;2009M06;""
Total;2009M05;""
Total;2009M04;""
Total;2009M03;""
Total;2009M02;""
Total;2009M01;""
Total;2008M12;""
Total;2008M11;""
Total;2008M10;""
Total;2008M09;""
Total;2008M08;""
Total;2008M07;""
Total;2008M06;""
Total;2008M05;""
Total;2008M04;""
Total;2008M03;""
Total;2008M02;""
Total;2008M01;""
Total;2007M12;""
Total;2007M11;""
Total;2007M10;""
Total;2007M09;""
Total;2007M08;""
Total;2007M07;""
Total;2007M06;""
Total;2007M05;""
Total;2007M04;""
Total;2007M03;""
Total;2007M02;""
Total;2007M01;""
Total;2006M12;""
Total;2006M11;""
Total;2006M10;""
Total;2006M09;""
Total;2006M08;""
Total;2006M07;""
Total;2006M06;""
Total;2006M05;""
Total;2006M04;""
Total;2006M03;""
Total;2006M02;""
Total;2006M01;""
Total;2005M12;""
Total;2005M11;""
Total;2005M10;""
Total;2005M09;""
Total;2005M08;""
Total;2005M07;""
Total;2005M06;""
Total;2005M05;""
Total;2005M04;""
Total;2005M03;""
Total;2005M02;""
Total;2005M01;""
Total;2004M12;""
Total;2004M11;""
Total;2004M10;""
Total;2004M09;""
Total;2004M08;""
Total;2004M07;""
Total;2004M06;""
Total;2004M05;""
Total;2004M04;""
Total;2004M03;""
Total;2004M02;""
Total;2004M01;""
Total;2003M12;""
Total;2003M11;""
Total;2003M10;""
Total;2003M09;""
Total;2003M08;""
Total;2003M07;""
Total;2003M06;""
Total;2003M05;""
Total;2003M04;""
Total;2003M03;""
Total;2003M02;""
Total;2003M01;""
Total;2002M12;""
Total;2002M11;""
Total;2002M10;""
Total;2002M09;""
Total;2002M08;""
Total;2002M07;""
Total;2002M06;""
Total;2002M05;""
Total;2002M04;""
Total;2002M03;""
Total;2002M02;""
Total;2002M01;""
Total;2001M12;""
Total;2001M11;""
Total;2001M10;""
Total;2001M09;""
Total;2001M08;""
Total;2001M07;""
Total;2001M06;""
Total;2001M05;""
Total;2001M04;""
Total;2001M03;""
Total;2001M02;""
Total;2001M01;""
Total;2000M12;""
Total;2000M11;""
Total;2000M10;""
Total;2000M09;""
Total;2000M08;""
Total;2000M07;""
Total;2000M06;""
Total;2000M05;""
Total;2000M04;""
Total;2000M03;""
Total;2000M02;""
Total;2000M01;""
Total;1999M12;""
Total;1999M11;""
Total;1999M10;""
Total;1999M09;""
Total;1999M08;""
Total;1999M07;""
Total;1999M06;""
Total;1999M05;""
Total;1999M04;""
Total;1999M03;""
Total;1999M02;""
Total;1999M01;""
Total;1998M12;""
Total;1998M11;""
Total;1998M10;""
Total;1998M09;""
Total;1998M08;""
Total;1998M07;""
Total;1998M06;""
Total;1998M05;""
Total;1998M04;""
Total;1998M03;""
Total;1998M02;""
Total;1998M01;""
Total;1997M12;""
Total;1997M11;""
Total;1997M10;""
Total;1997M09;""
Total;1997M08;""
Total;1997M07;""
Total;1997M06;""
Total;1997M05;""
Total;1997M04;""
Total;1997M03;""
Total;1997M02;""
Total;1997M01;""
Total;1996M12;""
Total;1996M11;""
Total;1996M10;""
Total;1996M09;""
Total;1996M08;""
Total;1996M07;""
Total;1996M06;""
Total;1996M05;""
Total;1996M04;""
Total;1996M03;""
Total;1996M02;""
Total;1996M01;""
Total;1995M12;""
Total;1995M11;""
Total;1995M10;""
Total;1995M09;""
Total;1995M08;""
Total;1995M07;""
Total;1995M06;""
Total;1995M05;""
Total;1995M04;""
Total;1995M03;""
Total;1995M02;""
Total;1995M01;""
Total;1994M12;""
Total;1994M11;""
Total;1994M10;""
Total;1994M09;""
Total;1994M08;""
Total;1994M07;""
Total;1994M06;""
Total;1994M05;""
Total;1994M04;""
Total;1994M03;""
Total;1994M02;""
Total;1994M01;""
Total;1993M12;""
Total;1993M11;""
Total;1993M10;""
Total;1993M09;""
Total;1993M08;""
Total;1993M07;""
Total;1993M06;""
Total;1993M05;""
Total;1993M04;""
Total;1993M03;""
Total;1993M02;""
Total;1993M01;""
Total;1992M12;""
Total;1992M11;""
Total;1992M10;""
Total;1992M09;""
Total;1992M08;""
Total;1992M07;""
Total;1992M06;""
Total;1992M05;""
Total;1992M04;""
Total;1992M03;""
Total;1992M02;""
Total;1992M01;""
Total;1991M12;""
Total;1991M11;""
Total;1991M10;""
Total;1991M09;""
Total;1991M08;""
Total;1991M07;""
Total;1991M06;""
Total;1991M05;""
Total;1991M04;""
Total;1991M03;""
Total;1991M02;""
Total;1991M01;""
Total;1990M12;""
Total;1990M11;""
Total;1990M10;""
Total;1990M09;""
Total;1990M08;""
Total;1990M07;""
Total;1990M06;""
Total;1990M05;""
Total;1990M04;""
Total;1990M03;""
Total;1990M02;""
Total;1990M01;""
Total;1989M12;""
Total;1989M11;""
Total;1989M10;""
Total;1989M09;""
Total;1989M08;""
Total;1989M07;""
Total;1989M06;""
Total;1989M05;""
Total;1989M04;""
Total;1989M03;""
Total;1989M02;""
Total;1989M01;""
Total;1988M12;""
Total;1988M11;""
Total;1988M10;""
Total;1988M09;""
Total;1988M08;""
Total;1988M07;""
Total;1988M06;""
Total;1988M05;""
Total;1988M04;""
Total;1988M03;""
Total;1988M02;""
Total;1988M01;""
Total;1987M12;""
Total;1987M11;""
Total;1987M10;""
Total;1987M09;""
Total;1987M08;""
Total;1987M07;""
Total;1987M06;""
Total;1987M05;""
Total;1987M04;""
Total;1987M03;""
Total;1987M02;""
Total;1987M01;""
Total;1986M12;""
Total;1986M11;""
Total;1986M10;""
Total;1986M09;""
Total;1986M08;""
Total;1986M07;""
Total;1986M06;""
Total;1986M05;""
Total;1986M04;""
Total;1986M03;""
Total;1986M02;""
Total;1986M01;""
Total;1985M12;""
Total;1985M11;""
Total;1985M10;""
Total;1985M09;""
Total;1985M08;""
Total;1985M07;""
Total;1985M06;""
Total;1985M05;""
Total;1985M04;""
Total;1985M03;""
Total;1985M02;""
Total;1985M01;""
Total;1984M12;""
Total;1984M11;""
Total;1984M10;""
Total;1984M09;""
Total;1984M08;""
Total;1984M07;""
Total;1984M06;""
Total;1984M05;""
Total;1984M04;""
Total;1984M03;""
Total;1984M02;""
Total;1984M01;""
Total;1983M12;""
Total;1983M11;""
Total;1983M10;""
Total;1983M09;""
Total;1983M08;""
Total;1983M07;""
Total;1983M06;""
Total;1983M05;""
Total;1983M04;""
Total;1983M03;""
Total;1983M02;""
Total;1983M01;""
Total;1982M12;""
Total;1982M11;""
Total;1982M10;""
Total;1982M09;""
Total;1982M08;""
Total;1982M07;""
Total;1982M06;""
Total;1982M05;""
Total;1982M04;""
Total;1982M03;""
Total;1982M02;""
Total;1982M01;""
Total;1981M12;""
Total;1981M11;""
Total;1981M10;""
Total;1981M09;""
Total;1981M08;""
Total;1981M07;""
Total;1981M06;""
Total;1981M05;""
Total;1981M04;""
Total;1981M03;""
Total;1981M02;""
Total;1981M01;""
Total;1980M12;""
Total;1980M11;""
Total;1980M10;""
Total;1980M09;""
Total;1980M08;""
Total;1980M07;""
Total;1980M06;""
Total;1980M05;""
Total;1980M04;""
Total;1980M03;""
Total;1980M02;""
Total;1980M01;""
Total;1979M12;""
Total;1979M11;""
Total;1979M10;""
Total;1979M09;""
Total;1979M08;""
Total;1979M07;""
Total;1979M06;""
Total;1979M05;""
Total;1979M04;""
Total;1979M03;""
Total;1979M02;""
Total;1979M01;""
Total;1978M12;""
Total;1978M11;""
Total;1978M10;""
Total;1978M09;""
Total;1978M08;""
Total;1978M07;""
Total;1978M06;""
Total;1978M05;""
Total;1978M04;""
Total;1978M03;""
Total;1978M02;""
Total;1978M01;""
Total;1977M12;""
Total;1977M11;""
Total;1977M10;""
Total;1977M09;""
Total;1977M08;""
Total;1977M07;""
Total;1977M06;""
Total;1977M05;""
Total;1977M04;""
Total;1977M03;""
Total;1977M02;""
Total;1977M01;""
Total;1976M12;""
Total;1976M11;""
Total;1976M10;""
Total;1976M09;""
Total;1976M08;""
Total;1976M07;""
Total;1976M06;""
Total;1976M05;""
Total;1976M04;""
Total;1976M03;""
Total;1976M02;""
Total;1976M01;""
Total;1975M12;""
Total;1975M11;""
Total;1975M10;""
Total;1975M09;""
Total;1975M08;""
Total;1975M07;""
Total;1975M06;""
Total;1975M05;""
Total;1975M04;""
Total;1975M03;""
Total;1975M02;""
Total;1975M01;""
01 Andalucía;2018M12;6.400
01 Andalucía;2018M11;5.857
01 Andalucía;2018M10;5.378
01 Andalucía;2018M09;5.028
01 Andalucía;2018M08;5.433
01 Andalucía;2018M07;5.210
01 Andalucía;2018M06;5.361
01 Andalucía;2018M05;5.751
01 Andalucía;2018M04;5.918
01 Andalucía;2018M03;6.563
01 Andalucía;2018M02;7.234
01 Andalucía;2018M01;8.673
01 Andalucía;2017M12;7.218
01 Andalucía;2017M11;5.644
01 Andalucía;2017M10;5.325
01 Andalucía;2017M09;4.936
01 Andalucía;2017M08;5.374
01 Andalucía;2017M07;5.434
01 Andalucía;2017M06;5.229
01 Andalucía;2017M05;5.625
01 Andalucía;2017M04;5.688
01 Andalucía;2017M03;6.064
01 Andalucía;2017M02;6.484
01 Andalucía;2017M01;8.213
01 Andalucía;2016M12;6.679
01 Andalucía;2016M11;5.612
01 Andalucía;2016M10;5.146
01 Andalucía;2016M09;5.054
01 Andalucía;2016M08;5.387
01 Andalucía;2016M07;5.621
01 Andalucía;2016M06;5.394
01 Andalucía;2016M05;5.565
01 Andalucía;2016M04;5.725
01 Andalucía;2016M03;6.655
01 Andalucía;2016M02;6.088
01 Andalucía;2016M01;6.305
01 Andalucía;2015M12;6.243
01 Andalucía;2015M11;5.446
01 Andalucía;2015M10;5.282
01 Andalucía;2015M09;4.659
01 Andalucía;2015M08;5.298
01 Andalucía;2015M07;5.958
01 Andalucía;2015M06;5.220
01 Andalucía;2015M05;5.527
01 Andalucía;2015M04;5.625
01 Andalucía;2015M03;6.761
01 Andalucía;2015M02;7.297
01 Andalucía;2015M01;8.685
01 Andalucía;2014M12;6.465
01 Andalucía;2014M11;5.387
01 Andalucía;2014M10;5.179
01 Andalucía;2014M09;4.808
01 Andalucía;2014M08;5.043
01 Andalucía;2014M07;5.157
01 Andalucía;2014M06;5.041
01 Andalucía;2014M05;5.225
01 Andalucía;2014M04;5.439
01 Andalucía;2014M03;5.767
01 Andalucía;2014M02;6.004
01 Andalucía;2014M01;6.807
01 Andalucía;2013M12;6.229
01 Andalucía;2013M11;5.418
01 Andalucía;2013M10;5.008
01 Andalucía;2013M09;4.674
01 Andalucía;2013M08;5.156
01 Andalucía;2013M07;5.172
01 Andalucía;2013M06;5.059
01 Andalucía;2013M05;5.305
01 Andalucía;2013M04;5.508
01 Andalucía;2013M03;6.128
01 Andalucía;2013M02;5.778
01 Andalucía;2013M01;6.255
01 Andalucía;2012M12;5.906
01 Andalucía;2012M11;5.234
01 Andalucía;2012M10;5.015
01 Andalucía;2012M09;4.710
01 Andalucía;2012M08;5.035
01 Andalucía;2012M07;4.872
01 Andalucía;2012M06;4.935
01 Andalucía;2012M05;5.380
01 Andalucía;2012M04;5.532
01 Andalucía;2012M03;6.831
01 Andalucía;2012M02;8.028
01 Andalucía;2012M01;6.883
01 Andalucía;2011M12;6.225
01 Andalucía;2011M11;5.294
01 Andalucía;2011M10;5.117
01 Andalucía;2011M09;4.679
01 Andalucía;2011M08;5.063
01 Andalucía;2011M07;5.128
01 Andalucía;2011M06;5.002
01 Andalucía;2011M05;5.317
01 Andalucía;2011M04;5.231
01 Andalucía;2011M03;6.123
01 Andalucía;2011M02;6.069
01 Andalucía;2011M01;6.454
01 Andalucía;2010M12;5.764
01 Andalucía;2010M11;5.385
01 Andalucía;2010M10;5.213
01 Andalucía;2010M09;4.665
01 Andalucía;2010M08;5.090
01 Andalucía;2010M07;5.305
01 Andalucía;2010M06;4.826
01 Andalucía;2010M05;5.274
01 Andalucía;2010M04;5.312
01 Andalucía;2010M03;5.790
01 Andalucía;2010M02;5.596
01 Andalucía;2010M01;6.251
01 Andalucía;2009M12;6.035
01 Andalucía;2009M11;5.313
01 Andalucía;2009M10;4.967
01 Andalucía;2009M09;4.680
01 Andalucía;2009M08;4.922
01 Andalucía;2009M07;4.882
01 Andalucía;2009M06;4.832
01 Andalucía;2009M05;5.264
01 Andalucía;2009M04;5.097
01 Andalucía;2009M03;5.691
01 Andalucía;2009M02;5.737
01 Andalucía;2009M01;7.310
01 Andalucía;2008M12;6.528
01 Andalucía;2008M11;5.482
01 Andalucía;2008M10;4.980
01 Andalucía;2008M09;4.461
01 Andalucía;2008M08;4.928
01 Andalucía;2008M07;5.238
01 Andalucía;2008M06;5.172
01 Andalucía;2008M05;5.173
01 Andalucía;2008M04;5.367
01 Andalucía;2008M03;5.806
01 Andalucía;2008M02;5.827
01 Andalucía;2008M01;6.621
01 Andalucía;2007M12;6.080
01 Andalucía;2007M11;5.428
01 Andalucía;2007M10;4.982
01 Andalucía;2007M09;4.616
01 Andalucía;2007M08;4.884
01 Andalucía;2007M07;5.087
01 Andalucía;2007M06;4.862
01 Andalucía;2007M05;5.297
01 Andalucía;2007M04;5.408
01 Andalucía;2007M03;5.624
01 Andalucía;2007M02;5.986
01 Andalucía;2007M01;6.970
01 Andalucía;2006M12;5.855
01 Andalucía;2006M11;4.938
01 Andalucía;2006M10;4.849
01 Andalucía;2006M09;4.737
01 Andalucía;2006M08;4.924
01 Andalucía;2006M07;5.216
01 Andalucía;2006M06;4.735
01 Andalucía;2006M05;5.069
01 Andalucía;2006M04;5.047
01 Andalucía;2006M03;5.735
01 Andalucía;2006M02;5.415
01 Andalucía;2006M01;5.908
01 Andalucía;2005M12;5.680
01 Andalucía;2005M11;5.072
01 Andalucía;2005M10;4.759
01 Andalucía;2005M09;4.308
01 Andalucía;2005M08;4.617
01 Andalucía;2005M07;4.829
01 Andalucía;2005M06;4.686
01 Andalucía;2005M05;5.088
01 Andalucía;2005M04;5.159
01 Andalucía;2005M03;6.438
01 Andalucía;2005M02;6.785
01 Andalucía;2005M01;8.483
01 Andalucía;2004M12;6.091
01 Andalucía;2004M11;5.161
01 Andalucía;2004M10;4.851
01 Andalucía;2004M09;4.372
01 Andalucía;2004M08;4.779
01 Andalucía;2004M07;5.024
01 Andalucía;2004M06;4.747
01 Andalucía;2004M05;5.084
01 Andalucía;2004M04;5.186
01 Andalucía;2004M03;5.874
01 Andalucía;2004M02;5.475
01 Andalucía;2004M01;6.392
01 Andalucía;2003M12;6.374
01 Andalucía;2003M11;5.271
01 Andalucía;2003M10;4.728
01 Andalucía;2003M09;4.537
01 Andalucía;2003M08;6.104
01 Andalucía;2003M07;5.107
01 Andalucía;2003M06;5.198
01 Andalucía;2003M05;5.065
01 Andalucía;2003M04;5.000
01 Andalucía;2003M03;5.487
01 Andalucía;2003M02;5.590
01 Andalucía;2003M01;6.382
01 Andalucía;2002M12;5.654
01 Andalucía;2002M11;4.976
01 Andalucía;2002M10;4.786
01 Andalucía;2002M09;4.241
01 Andalucía;2002M08;4.484
01 Andalucía;2002M07;4.964
01 Andalucía;2002M06;4.687
01 Andalucía;2002M05;4.836
01 Andalucía;2002M04;5.039
01 Andalucía;2002M03;5.749
01 Andalucía;2002M02;5.812
01 Andalucía;2002M01;6.514
01 Andalucía;2001M12;5.693
01 Andalucía;2001M11;5.065
01 Andalucía;2001M10;4.768
01 Andalucía;2001M09;4.399
01 Andalucía;2001M08;4.907
01 Andalucía;2001M07;4.785
01 Andalucía;2001M06;4.902
01 Andalucía;2001M05;5.079
01 Andalucía;2001M04;4.694
01 Andalucía;2001M03;5.176
01 Andalucía;2001M02;5.007
01 Andalucía;2001M01;5.484
01 Andalucía;2000M12;5.412
01 Andalucía;2000M11;4.795
01 Andalucía;2000M10;4.587
01 Andalucía;2000M09;4.217
01 Andalucía;2000M08;4.604
01 Andalucía;2000M07;4.660
01 Andalucía;2000M06;4.533
01 Andalucía;2000M05;4.891
01 Andalucía;2000M04;4.968
01 Andalucía;2000M03;5.143
01 Andalucía;2000M02;5.511
01 Andalucía;2000M01;7.045
01 Andalucía;1999M12;5.538
01 Andalucía;1999M11;4.833
01 Andalucía;1999M10;4.517
01 Andalucía;1999M09;4.188
01 Andalucía;1999M08;4.388
01 Andalucía;1999M07;4.688
01 Andalucía;1999M06;4.312
01 Andalucía;1999M05;4.600
01 Andalucía;1999M04;4.933
01 Andalucía;1999M03;6.102
01 Andalucía;1999M02;6.934
01 Andalucía;1999M01;7.130
01 Andalucía;1998M12;6.204
01 Andalucía;1998M11;4.432
01 Andalucía;1998M10;4.553
01 Andalucía;1998M09;4.105
01 Andalucía;1998M08;4.716
01 Andalucía;1998M07;4.873
01 Andalucía;1998M06;4.464
01 Andalucía;1998M05;4.696
01 Andalucía;1998M04;4.924
01 Andalucía;1998M03;5.940
01 Andalucía;1998M02;6.195
01 Andalucía;1998M01;6.041
01 Andalucía;1997M12;5.419
01 Andalucía;1997M11;4.784
01 Andalucía;1997M10;4.443
01 Andalucía;1997M09;4.108
01 Andalucía;1997M08;4.555
01 Andalucía;1997M07;4.394
01 Andalucía;1997M06;4.391
01 Andalucía;1997M05;4.598
01 Andalucía;1997M04;4.767
01 Andalucía;1997M03;5.425
01 Andalucía;1997M02;5.070
01 Andalucía;1997M01;6.170
01 Andalucía;1996M12;6.049
01 Andalucía;1996M11;4.610
01 Andalucía;1996M10;4.502
01 Andalucía;1996M09;4.053
01 Andalucía;1996M08;4.284
01 Andalucía;1996M07;4.600
01 Andalucía;1996M06;4.450
01 Andalucía;1996M05;4.787
01 Andalucía;1996M04;4.748
01 Andalucía;1996M03;5.642
01 Andalucía;1996M02;5.422
01 Andalucía;1996M01;5.512
01 Andalucía;1995M12;5.590
01 Andalucía;1995M11;4.368
01 Andalucía;1995M10;4.263
01 Andalucía;1995M09;4.038
01 Andalucía;1995M08;4.565
01 Andalucía;1995M07;5.203
01 Andalucía;1995M06;4.155
01 Andalucía;1995M05;4.736
01 Andalucía;1995M04;4.745
01 Andalucía;1995M03;5.320
01 Andalucía;1995M02;4.970
01 Andalucía;1995M01;5.856
01 Andalucía;1994M12;5.021
01 Andalucía;1994M11;4.364
01 Andalucía;1994M10;4.242
01 Andalucía;1994M09;3.918
01 Andalucía;1994M08;4.334
01 Andalucía;1994M07;5.268
01 Andalucía;1994M06;4.075
01 Andalucía;1994M05;4.506
01 Andalucía;1994M04;4.381
01 Andalucía;1994M03;4.634
01 Andalucía;1994M02;5.138
01 Andalucía;1994M01;6.360
01 Andalucía;1993M12;5.321
01 Andalucía;1993M11;4.399
01 Andalucía;1993M10;4.370
01 Andalucía;1993M09;3.859
01 Andalucía;1993M08;4.498
01 Andalucía;1993M07;4.501
01 Andalucía;1993M06;4.180
01 Andalucía;1993M05;4.427
01 Andalucía;1993M04;4.693
01 Andalucía;1993M03;5.990
01 Andalucía;1993M02;4.941
01 Andalucía;1993M01;5.764
01 Andalucía;1992M12;4.906
01 Andalucía;1992M11;4.312
01 Andalucía;1992M10;4.326
01 Andalucía;1992M09;3.752
01 Andalucía;1992M08;4.592
01 Andalucía;1992M07;4.270
01 Andalucía;1992M06;3.981
01 Andalucía;1992M05;4.231
01 Andalucía;1992M04;4.426
01 Andalucía;1992M03;4.678
01 Andalucía;1992M02;5.241
01 Andalucía;1992M01;5.943
01 Andalucía;1991M12;5.180
01 Andalucía;1991M11;4.545
01 Andalucía;1991M10;4.271
01 Andalucía;1991M09;3.802
01 Andalucía;1991M08;4.298
01 Andalucía;1991M07;4.910
01 Andalucía;1991M06;4.182
01 Andalucía;1991M05;4.365
01 Andalucía;1991M04;4.486
01 Andalucía;1991M03;5.200
01 Andalucía;1991M02;5.305
01 Andalucía;1991M01;5.587
01 Andalucía;1990M12;5.392
01 Andalucía;1990M11;4.324
01 Andalucía;1990M10;4.088
01 Andalucía;1990M09;3.772
01 Andalucía;1990M08;4.347
01 Andalucía;1990M07;4.705
01 Andalucía;1990M06;3.997
01 Andalucía;1990M05;4.298
01 Andalucía;1990M04;4.392
01 Andalucía;1990M03;4.603
01 Andalucía;1990M02;5.110
01 Andalucía;1990M01;6.409
01 Andalucía;1989M12;4.850
01 Andalucía;1989M11;4.340
01 Andalucía;1989M10;3.967
01 Andalucía;1989M09;3.660
01 Andalucía;1989M08;4.466
01 Andalucía;1989M07;5.195
01 Andalucía;1989M06;4.186
01 Andalucía;1989M05;4.321
01 Andalucía;1989M04;4.248
01 Andalucía;1989M03;4.474
01 Andalucía;1989M02;4.704
01 Andalucía;1989M01;5.758
01 Andalucía;1988M12;5.568
01 Andalucía;1988M11;4.104
01 Andalucía;1988M10;4.031
01 Andalucía;1988M09;3.952
01 Andalucía;1988M08;4.461
01 Andalucía;1988M07;4.726
01 Andalucía;1988M06;3.799
01 Andalucía;1988M05;4.103
01 Andalucía;1988M04;4.205
01 Andalucía;1988M03;5.122
01 Andalucía;1988M02;4.686
01 Andalucía;1988M01;4.970
01 Andalucía;1987M12;4.776
01 Andalucía;1987M11;4.365
01 Andalucía;1987M10;4.036
01 Andalucía;1987M09;3.841
01 Andalucía;1987M08;4.195
01 Andalucía;1987M07;3.957
01 Andalucía;1987M06;3.887
01 Andalucía;1987M05;3.983
01 Andalucía;1987M04;4.232
01 Andalucía;1987M03;4.559
01 Andalucía;1987M02;4.633
01 Andalucía;1987M01;6.031
01 Andalucía;1986M12;4.802
01 Andalucía;1986M11;4.222
01 Andalucía;1986M10;3.702
01 Andalucía;1986M09;3.543
01 Andalucía;1986M08;3.702
01 Andalucía;1986M07;4.050
01 Andalucía;1986M06;3.697
01 Andalucía;1986M05;4.197
01 Andalucía;1986M04;4.283
01 Andalucía;1986M03;4.708
01 Andalucía;1986M02;5.178
01 Andalucía;1986M01;6.163
01 Andalucía;1985M12;5.037
01 Andalucía;1985M11;4.152
01 Andalucía;1985M10;3.890
01 Andalucía;1985M09;3.692
01 Andalucía;1985M08;3.991
01 Andalucía;1985M07;4.193
01 Andalucía;1985M06;3.866
01 Andalucía;1985M05;4.240
01 Andalucía;1985M04;4.402
01 Andalucía;1985M03;4.757
01 Andalucía;1985M02;4.342
01 Andalucía;1985M01;5.622
01 Andalucía;1984M12;4.395
01 Andalucía;1984M11;3.954
01 Andalucía;1984M10;3.988
01 Andalucía;1984M09;3.488
01 Andalucía;1984M08;3.829
01 Andalucía;1984M07;4.426
01 Andalucía;1984M06;3.915
01 Andalucía;1984M05;3.894
01 Andalucía;1984M04;4.096
01 Andalucía;1984M03;4.853
01 Andalucía;1984M02;4.606
01 Andalucía;1984M01;5.075
01 Andalucía;1983M12;4.535
01 Andalucía;1983M11;3.827
01 Andalucía;1983M10;3.495
01 Andalucía;1983M09;3.523
01 Andalucía;1983M08;3.658
01 Andalucía;1983M07;3.677
01 Andalucía;1983M06;3.871
01 Andalucía;1983M05;3.960
01 Andalucía;1983M04;3.855
01 Andalucía;1983M03;4.597
01 Andalucía;1983M02;5.516
01 Andalucía;1983M01;6.044
01 Andalucía;1982M12;5.560
01 Andalucía;1982M11;4.229
01 Andalucía;1982M10;3.838
01 Andalucía;1982M09;3.321
01 Andalucía;1982M08;3.880
01 Andalucía;1982M07;3.740
01 Andalucía;1982M06;3.715
01 Andalucía;1982M05;3.987
01 Andalucía;1982M04;3.885
01 Andalucía;1982M03;4.326
01 Andalucía;1982M02;4.148
01 Andalucía;1982M01;4.793
01 Andalucía;1981M12;4.393
01 Andalucía;1981M11;3.675
01 Andalucía;1981M10;3.785
01 Andalucía;1981M09;3.419
01 Andalucía;1981M08;3.525
01 Andalucía;1981M07;3.936
01 Andalucía;1981M06;4.219
01 Andalucía;1981M05;3.896
01 Andalucía;1981M04;3.842
01 Andalucía;1981M03;4.409
01 Andalucía;1981M02;4.712
01 Andalucía;1981M01;6.364
01 Andalucía;1980M12;5.814
01 Andalucía;1980M11;3.812
01 Andalucía;1980M10;3.586
01 Andalucía;1980M09;3.606
01 Andalucía;1980M08;3.927
01 Andalucía;1980M07;3.768
01 Andalucía;1980M06;3.683
01 Andalucía;1980M05;3.779
01 Andalucía;1980M04;3.821
01 Andalucía;1980M03;4.277
01 Andalucía;1980M02;4.254
01 Andalucía;1980M01;5.066
01 Andalucía;1979M12;4.648
01 Andalucía;1979M11;4.184
01 Andalucía;1979M10;3.672
01 Andalucía;1979M09;3.406
01 Andalucía;1979M08;4.191
01 Andalucía;1979M07;3.913
01 Andalucía;1979M06;3.652
01 Andalucía;1979M05;3.976
01 Andalucía;1979M04;4.047
01 Andalucía;1979M03;4.650
01 Andalucía;1979M02;4.252
01 Andalucía;1979M01;4.661
01 Andalucía;1978M12;4.834
01 Andalucía;1978M11;4.101
01 Andalucía;1978M10;3.652
01 Andalucía;1978M09;3.520
01 Andalucía;1978M08;3.923
01 Andalucía;1978M07;4.477
01 Andalucía;1978M06;3.739
01 Andalucía;1978M05;3.848
01 Andalucía;1978M04;4.181
01 Andalucía;1978M03;4.734
01 Andalucía;1978M02;4.753
01 Andalucía;1978M01;4.860
01 Andalucía;1977M12;4.684
01 Andalucía;1977M11;3.946
01 Andalucía;1977M10;3.518
01 Andalucía;1977M09;3.491
01 Andalucía;1977M08;3.550
01 Andalucía;1977M07;3.584
01 Andalucía;1977M06;3.692
01 Andalucía;1977M05;4.245
01 Andalucía;1977M04;4.695
01 Andalucía;1977M03;4.450
01 Andalucía;1977M02;4.287
01 Andalucía;1977M01;4.802
01 Andalucía;1976M12;4.518
01 Andalucía;1976M11;4.287
