Operación;Conceptos Demográficos;Periodo;Total
MNP Estadística de Nacimientos;Muertes fetales tardías;2003;1.494
MNP Estadística de Nacimientos;Muertes fetales tardías;2002;1.470
MNP Estadística de Nacimientos;Muertes fetales tardías;2001;1.541
MNP Estadística de Nacimientos;Muertes fetales tardías;2000;1.479
MNP Estadística de Nacimientos;Muertes fetales tardías;1999;1.463
MNP Estadística de Nacimientos;Muertes fetales tardías;1998;1.416
MNP Estadística de Nacimientos;Muertes fetales tardías;1997;1.531
MNP Estadística de Nacimientos;Muertes fetales tardías;1996;1.422
MNP Estadística de Nacimientos;Muertes fetales tardías;1995;1.254
MNP Estadística de Nacimientos;Muertes fetales tardías;1994;1.387
MNP Estadística de Nacimientos;Muertes fetales tardías;1993;1.439
MNP Estadística de Nacimientos;Muertes fetales tardías;1992;1.602
MNP Estadística de Nacimientos;Defunciones de menores de un año;2018;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2017;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2016;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2015;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2014;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2013;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2012;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2011;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2010;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2009;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2008;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2007;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2006;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2005;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2004;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2003;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2002;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2001;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;2000;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;1999;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;1998;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;1997;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;1996;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;1995;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;1994;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;1993;""
MNP Estadística de Nacimientos;Defunciones de menores de un año;1992;""
