Operación;Conceptos Demográficos;Periodo;Total
MNP Estadística de Defunciones;Crecimiento vegetativo;1994;""
MNP Estadística de Defunciones;Crecimiento vegetativo;1993;""
MNP Estadística de Defunciones;Crecimiento vegetativo;1992;""
MNP Estadística de Defunciones;Muertes fetales tardías;2018;""
MNP Estadística de Defunciones;Muertes fetales tardías;2017;""
MNP Estadística de Defunciones;Muertes fetales tardías;2016;""
MNP Estadística de Defunciones;Muertes fetales tardías;2015;""
MNP Estadística de Defunciones;Muertes fetales tardías;2014;""
MNP Estadística de Defunciones;Muertes fetales tardías;2013;""
MNP Estadística de Defunciones;Muertes fetales tardías;2012;""
MNP Estadística de Defunciones;Muertes fetales tardías;2011;""
MNP Estadística de Defunciones;Muertes fetales tardías;2010;""
MNP Estadística de Defunciones;Muertes fetales tardías;2009;""
MNP Estadística de Defunciones;Muertes fetales tardías;2008;""
MNP Estadística de Defunciones;Muertes fetales tardías;2007;""
MNP Estadística de Defunciones;Muertes fetales tardías;2006;""
MNP Estadística de Defunciones;Muertes fetales tardías;2005;""
MNP Estadística de Defunciones;Muertes fetales tardías;2004;""
MNP Estadística de Defunciones;Muertes fetales tardías;2003;""
MNP Estadística de Defunciones;Muertes fetales tardías;2002;""
MNP Estadística de Defunciones;Muertes fetales tardías;2001;""
MNP Estadística de Defunciones;Muertes fetales tardías;2000;""
MNP Estadística de Defunciones;Muertes fetales tardías;1999;""
MNP Estadística de Defunciones;Muertes fetales tardías;1998;""
MNP Estadística de Defunciones;Muertes fetales tardías;1997;""
MNP Estadística de Defunciones;Muertes fetales tardías;1996;""
MNP Estadística de Defunciones;Muertes fetales tardías;1995;""
MNP Estadística de Defunciones;Muertes fetales tardías;1994;""
MNP Estadística de Defunciones;Muertes fetales tardías;1993;""
MNP Estadística de Defunciones;Muertes fetales tardías;1992;""
MNP Estadística de Defunciones;Defunciones de menores de un año;2018;1.027
MNP Estadística de Defunciones;Defunciones de menores de un año;2017;1.092
MNP Estadística de Defunciones;Defunciones de menores de un año;2016;1.120
MNP Estadística de Defunciones;Defunciones de menores de un año;2015;1.139
MNP Estadística de Defunciones;Defunciones de menores de un año;2014;1.232
MNP Estadística de Defunciones;Defunciones de menores de un año;2013;1.164
MNP Estadística de Defunciones;Defunciones de menores de un año;2012;1.404
MNP Estadística de Defunciones;Defunciones de menores de un año;2011;1.505
MNP Estadística de Defunciones;Defunciones de menores de un año;2010;1.553
MNP Estadística de Defunciones;Defunciones de menores de un año;2009;1.609
MNP Estadística de Defunciones;Defunciones de menores de un año;2008;1.741
MNP Estadística de Defunciones;Defunciones de menores de un año;2007;1.704
MNP Estadística de Defunciones;Defunciones de menores de un año;2006;1.704
MNP Estadística de Defunciones;Defunciones de menores de un año;2005;1.765
MNP Estadística de Defunciones;Defunciones de menores de un año;2004;1.813
MNP Estadística de Defunciones;Defunciones de menores de un año;2003;1.733
MNP Estadística de Defunciones;Defunciones de menores de un año;2002;1.737
MNP Estadística de Defunciones;Defunciones de menores de un año;2001;1.657
MNP Estadística de Defunciones;Defunciones de menores de un año;2000;1.740
MNP Estadística de Defunciones;Defunciones de menores de un año;1999;1.700
MNP Estadística de Defunciones;Defunciones de menores de un año;1998;1.774
MNP Estadística de Defunciones;Defunciones de menores de un año;1997;1.856
MNP Estadística de Defunciones;Defunciones de menores de un año;1996;2.008
MNP Estadística de Defunciones;Defunciones de menores de un año;1995;1.996
MNP Estadística de Defunciones;Defunciones de menores de un año;1994;2.239
MNP Estadística de Defunciones;Defunciones de menores de un año;1993;2.581
MNP Estadística de Defunciones;Defunciones de menores de un año;1992;2.798
MNP Estadística de Matrimonios;Nacimiento;2018;""
MNP Estadística de Matrimonios;Nacimiento;2017;""
MNP Estadística de Matrimonios;Nacimiento;2016;""
MNP Estadística de Matrimonios;Nacimiento;2015;""
MNP Estadística de Matrimonios;Nacimiento;2014;""
MNP Estadística de Matrimonios;Nacimiento;2013;""
MNP Estadística de Matrimonios;Nacimiento;2012;""
MNP Estadística de Matrimonios;Nacimiento;2011;""
MNP Estadística de Matrimonios;Nacimiento;2010;""
MNP Estadística de Matrimonios;Nacimiento;2009;""
MNP Estadística de Matrimonios;Nacimiento;2008;""
MNP Estadística de Matrimonios;Nacimiento;2007;""
MNP Estadística de Matrimonios;Nacimiento;2006;""
MNP Estadística de Matrimonios;Nacimiento;2005;""
MNP Estadística de Matrimonios;Nacimiento;2004;""
MNP Estadística de Matrimonios;Nacimiento;2003;""
MNP Estadística de Matrimonios;Nacimiento;2002;""
MNP Estadística de Matrimonios;Nacimiento;2001;""
MNP Estadística de Matrimonios;Nacimiento;2000;""
MNP Estadística de Matrimonios;Nacimiento;1999;""
MNP Estadística de Matrimonios;Nacimiento;1998;""
MNP Estadística de Matrimonios;Nacimiento;1997;""
MNP Estadística de Matrimonios;Nacimiento;1996;""
MNP Estadística de Matrimonios;Nacimiento;1995;""
MNP Estadística de Matrimonios;Nacimiento;1994;""
MNP Estadística de Matrimonios;Nacimiento;1993;""
MNP Estadística de Matrimonios;Nacimiento;1992;""
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2018;167.613
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2017;173.626
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2016;175.343
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2015;168.910
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2014;162.554
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2013;156.446
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2012;168.556
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2011;163.338
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2010;170.440
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2009;177.144
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2008;197.216
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2007;204.772
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2006;207.766
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2005;209.415
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2004;216.149
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2003;212.300
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2002;211.522
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2001;208.057
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;2000;216.451
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;1999;208.129
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;1998;207.041
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;1997;196.499
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;1996;194.084
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;1995;200.688
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;1994;199.731
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;1993;201.463
MNP Estadística de Matrimonios;Matrimonio; mismo y distinto sexo;1992;217.512
MNP Estadística de Matrimonios;Defunción;2018;""
MNP Estadística de Matrimonios;Defunción;2017;""
MNP Estadística de Matrimonios;Defunción;2016;""
MNP Estadística de Matrimonios;Defunción;2015;""
MNP Estadística de Matrimonios;Defunción;2014;""
MNP Estadística de Matrimonios;Defunción;2013;""
MNP Estadística de Matrimonios;Defunción;2012;""
MNP Estadística de Matrimonios;Defunción;2011;""
MNP Estadística de Matrimonios;Defunción;2010;""
MNP Estadística de Matrimonios;Defunción;2009;""
MNP Estadística de Matrimonios;Defunción;2008;""
MNP Estadística de Matrimonios;Defunción;2007;""
